Month,Site,Biodeposition chamber,Treatment,Mesocosm,Clam ID,Length,Height,Dry.weight,AFDW,Duration of collection period,TPM,PIM,POM,Perc_organic,ER,OER,IER,Pseudofaeces TPM,Species standardization coefficient,IER_scaled,OER_scaled,IRR,ORR,RR,p,f,SE,IFR,CR,FR,Perc RR,TIR,OFR,OIR,i,AR,AE,Notes
September,Provincetown,3,N,A,Y,34,25.4,0.2470,0.181,2,3.761,2.439,1.322,35.15,1.881,0.661,1.220,,0.76,3.53,1.91,0.00,0.00,0.00,,0.75,,3.53,4.70,13.22,0.00,13.22,9.69,9.69,0.73,7.77,0.80,
September,Provincetown,4,N,A,GL,35.1,27.1,0.3190,0.236,2,2.910,1.644,1.266,43.51,1.455,0.633,0.822,,0.76,1.96,1.51,0.49,0.40,0.89,0.45,0.75,0.40,2.45,3.26,9.17,9.69,8.28,6.72,6.33,0.76,4.82,0.76,
September,Provincetown,7,N,C,Y,31.4,23.9,0.2420,0.174,2,3.255,1.732,1.523,46.79,1.628,0.762,0.866,,0.76,2.55,2.24,0.00,0.00,0.00,,0.75,,2.55,3.39,9.53,0.00,9.53,6.99,6.99,0.73,4.75,0.68,
September,Provincetown,8,N,C,BL,34.5,26.6,0.3110,0.225,0.866,1.088,0.492,0.596,54.78,1.256,0.688,0.568,,0.76,1.38,1.67,0.00,0.00,0.00,,0.75,,1.38,1.84,5.17,0.00,5.17,3.79,3.79,0.73,2.12,0.56,
September,Provincetown,13,N,F,L,33.8,26.3,0.2970,0.226,2,2.568,1.315,1.253,48.79,1.284,0.626,0.658,,0.76,1.65,1.58,0.00,0.00,0.00,,0.75,,1.65,2.20,6.19,0.00,6.19,4.54,4.54,0.73,2.96,0.65,
September,Provincetown,14,N,F,L,35.6,27.6,0.3540,0.283,2,3.339,1.902,1.437,43.04,1.670,0.719,0.951,,0.76,2.09,1.58,0.00,0.00,0.00,,0.75,,2.09,2.79,7.84,0.00,7.84,5.75,5.75,0.73,4.16,0.72,
September,Provincetown,17,N,H,L,36.9,27.3,0.3820,0.276,2,3.255,1.935,1.320,40.55,1.628,0.660,0.968,,0.76,2.01,1.37,0.00,0.00,0.00,,0.75,,2.01,2.68,7.53,0.00,7.53,5.52,5.52,0.73,4.15,0.75,
September,Provincetown,18,N,H,G,35.3,27.0,0.3030,0.242,2,4.064,2.480,1.584,38.98,2.032,0.792,1.240,,0.76,3.07,1.96,0.00,0.00,0.00,,0.75,,3.07,4.09,11.51,0.00,11.51,8.43,8.43,0.73,6.47,0.77,
September,Provincetown,5,S,B,,34.3,27.5,0.330,0.245,2,2.905,1.548,1.357,46.71,1.453,0.679,0.774,,0.76,1.80,1.58,0.00,0.00,0.00,,0.75,,1.80,2.74,6.99,0.00,6.99,5.19,5.19,0.74,3.62,0.70,
September,Provincetown,6,S,B,BL,31.5,24.5,0.237,0.177,2,1.639,0.808,0.831,50.70,0.820,0.416,0.404,,0.76,1.21,1.24,0.00,0.00,0.00,,0.75,,1.21,1.84,4.69,0.00,4.69,3.49,3.49,0.74,2.24,0.64,
September,Provincetown,9,S,D,,40.4,31.8,0.511,0.380,2,1.871,0.918,0.953,50.94,0.935,0.477,0.459,,0.76,0.76,0.79,0.00,0.00,0.00,,0.75,,0.76,1.16,2.97,0.00,2.97,2.21,2.21,0.74,1.41,0.64,
