"year","station","length","age","strata2","month","day","avgdepth","region","cruise6","lat","lon","depth","stratum","regf","area"
1982,1,148,6,"93",7,26,13,"SVAtoSNE",198204,40.9667,72.0833,13,"5S","SVAtoSNE","SVAtoSNE"
1982,1,144,7,"93",7,26,13,"SVAtoSNE",198204,40.9667,72.0833,13,"5S","SVAtoSNE","SVAtoSNE"
1982,1,168,6,"93",7,26,13,"SVAtoSNE",198204,40.9667,72.0833,13,"5S","SVAtoSNE","SVAtoSNE"
1982,1,145,6,"93",7,26,13,"SVAtoSNE",198204,40.9667,72.0833,13,"5S","SVAtoSNE","SVAtoSNE"
1982,1,153,18,"93",7,26,13,"SVAtoSNE",198204,40.9667,72.0833,13,"5S","SVAtoSNE","SVAtoSNE"
1982,1,160,19,"93",7,26,13,"SVAtoSNE",198204,40.9667,72.0833,13,"5S","SVAtoSNE","SVAtoSNE"
1982,1,158,16,"93",7,26,13,"SVAtoSNE",198204,40.9667,72.0833,13,"5S","SVAtoSNE","SVAtoSNE"
1982,1,154,13,"93",7,26,13,"SVAtoSNE",198204,40.9667,72.0833,13,"5S","SVAtoSNE","SVAtoSNE"
1982,1,151,19,"93",7,26,13,"SVAtoSNE",198204,40.9667,72.0833,13,"5S","SVAtoSNE","SVAtoSNE"
1982,1,162,13,"93",7,26,13,"SVAtoSNE",198204,40.9667,72.0833,13,"5S","SVAtoSNE","SVAtoSNE"
1982,1,143,6,"93",7,26,13,"SVAtoSNE",198204,40.9667,72.0833,13,"5S","SVAtoSNE","SVAtoSNE"
1982,1,157,18,"93",7,26,13,"SVAtoSNE",198204,40.9667,72.0833,13,"5S","SVAtoSNE","SVAtoSNE"
1982,102,152,6,"13",8,1,40,"SVAtoSNE",198204,38.2167,74.3833,39,"3S","SVAtoSNE","SVAtoSNE"
1982,102,158,6,"13",8,1,40,"SVAtoSNE",198204,38.2167,74.3833,39,"3S","SVAtoSNE","SVAtoSNE"
1982,102,174,10,"13",8,1,40,"SVAtoSNE",198204,38.2167,74.3833,39,"3S","SVAtoSNE","SVAtoSNE"
1982,102,151,6,"13",8,1,40,"SVAtoSNE",198204,38.2167,74.3833,39,"3S","SVAtoSNE","SVAtoSNE"
1982,102,161,6,"13",8,1,40,"SVAtoSNE",198204,38.2167,74.3833,39,"3S","SVAtoSNE","SVAtoSNE"
1982,102,150,6,"13",8,1,40,"SVAtoSNE",198204,38.2167,74.3833,39,"3S","SVAtoSNE","SVAtoSNE"
1982,102,157,8,"13",8,1,40,"SVAtoSNE",198204,38.2167,74.3833,39,"3S","SVAtoSNE","SVAtoSNE"
1982,102,175,10,"13",8,1,40,"SVAtoSNE",198204,38.2167,74.3833,39,"3S","SVAtoSNE","SVAtoSNE"
1982,105,115,5,"13",8,1,35,"SVAtoSNE",198204,38.65,74.5167,34,"3S","SVAtoSNE","SVAtoSNE"
1982,105,138,5,"13",8,1,35,"SVAtoSNE",198204,38.65,74.5167,34,"3S","SVAtoSNE","SVAtoSNE"
1982,105,147,6,"13",8,1,35,"SVAtoSNE",198204,38.65,74.5167,34,"3S","SVAtoSNE","SVAtoSNE"
1982,105,172,12,"13",8,1,35,"SVAtoSNE",198204,38.65,74.5167,34,"3S","SVAtoSNE","SVAtoSNE"
1982,105,154,8,"13",8,1,35,"SVAtoSNE",198204,38.65,74.5167,34,"3S","SVAtoSNE","SVAtoSNE"
1982,105,139,6,"13",8,1,35,"SVAtoSNE",198204,38.65,74.5167,34,"3S","SVAtoSNE","SVAtoSNE"
1982,106,141,7,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,66,3,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,173,8,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,167,9,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,168,8,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,166,7,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,158,6,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,146,6,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,194,22,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,168,31,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,174,7,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,177,21,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,159,8,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,154,6,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
