"","x"
"1",312.054407666177
"2",305.476401690339
"3",301.845299288696
"4",293.284379624053
"5",315.239136128153
"6",360.48439928951
"7",369.696575105188
"8",371.597061916822
"9",356.846086265365
"10",352.597753845975
"11",356.68065937698
"12",322.898223022091
"13",310.23723741137
"14",304.14719244231
"15",300.46436447194
"16",283.043642592109
"17",310.137220232627
"18",365.097278297254
"19",375.617287423081
"20",373.528177248911
"21",360.551058217265
"22",353.383710404828
"23",354.634451620455
"24",335.361420730985
"25",310.425679878177
"26",307.532168898305
"27",300.714238244963
"28",283.078492723955
"29",315.602631966012
"30",366.788859298248
"31",375.354243531432
"32",374.533891707033
"33",364.479125367761
"34",355.223049265467
"35",360.836826452777
"36",343.819802940761
"37",314.72551372167
"38",305.892315014843
"39",299.511314307909
"40",283.078783043044
"41",313.501240291323
"42",363.063497978596
"43",373.306557938549
"44",374.203296023047
"45",362.170859156647
"46",358.485818575002
"47",365.877572361343
"48",335.645919246133
"49",311.326600894532
"50",303.524114590784
"51",297.811438172499
"52",291.077904657192
"53",315.764326257502
"54",370.982883164191
"55",380.646044419184
"56",377.314921588922
"57",360.215316054478
"58",355.285428655893
"59",360.672743855029
"60",330.124532362598
"61",318.961811785361
"62",306.149124291214
"63",298.417826437441
"64",293.415712207261
"65",323.62341220899
"66",374.153025672874
"67",383.895328466315
"68",378.089242896256
"69",366.591667728041
"70",358.537607128946
"71",361.508744508247
"72",346.468230258048
"73",313.609542969164
"74",306.223713495469
"75",301.958645028594
"76",294.10410392436
"77",317.410119552964
"78",371.039071789192
"79",384.215939882858
"80",380.466831372361
"81",369.779709600587
"82",360.3154827177
"83",360.174958041312
"84",332.918150455956
"85",310.674177312495
"86",303.956252832765
"87",302.792713237919
"88",287.72691193618
"89",314.283766048131
"90",368.660501749149
"91",382.241332807577
"92",383.171511882403
"93",368.935300958265
"94",362.742947128124
"95",365.390463165643
"96",345.288954149752
"97",313.083280124029
"98",307.371086088272
"99",298.775284210259
"100",294.874482475669
"101",318.058661422878
"102",374.153777174462
"103",383.489217551793
"104",382.97613653618
"105",373.417515121219
"106",363.748207266659
"107",372.763281378895
"108",350.356853424643
"109",314.343750032014
"110",306.792114323375
"111",302.330462853159
"112",300.284802046985
"113",318.385207658125
"114",376.062431734365
"115",380.511799111173
"116",382.493705455913
"117",363.775323138737
"118",361.537307036373
"119",365.41541112906
"120",344.755717497724
"121",312.902676138893
"122",311.814238198217
"123",302.345580948488
"124",299.379846088515
"125",321.091886197591
"126",371.537864731568
"127",377.724489056424
"128",379.528342208013
"129",364.287550060994
"130",363.252896425082
"131",362.705688649714
"132",332.609706192936
"133",313.032584311473
"134",312.086551400857
"135",301.14008368833
"136",298.028269500567
"137",318.86312769777
"138",384.531580157162
"139",384.060880502728
"140",384.637852516105
"141",376.770023862429
"142",367.741089930934
"143",370.37829503679
"144",355.57049804307
"145",317.967434309817
"146",311.774379199545
"147",298.637409959632
"148",286.840635391566
"149",321.480883529553
"150",378.054393838494
"151",386.966946480914
"152",385.268497346133
"153",376.738698695037
"154",362.667891202963
"155",365.940720187467
"156",339.895468810771
"157",312.483235875589
"158",305.877350198817
"159",295.781929318429
"160",288.674914744
"161",315.110641702206
"162",382.162065959888
"163",388.264066414732
"164",387.924832005474
"165",382.424177484546
"166",366.086318292945
"167",385.783832570535
"168",366.98445456659
"169",325.089334694255
"170",304.173726820143
"171",297.720047388846
"172",281.991728471733
"173",315.555855860639
"174",382.7247066904
"175",384.562990399187
"176",387.045573043418
"177",378.910962905583
"178",365.768584634227
"179",372.638320902132
"180",345.296089703194
"181",315.115654100438
"182",304.699281046033
"183",302.513457929728
"184",290.10430629128
"185",317.965267949558
"186",377.210174609293
"187",395.962741355089
"188",386.508090919608
"189",379.139399718695
"190",365.472189661345
"191",364.511368364533
"192",339.772030561946
"193",309.901325659592
"194",303.506462019222
"195",298.654798258659
"196",284.292547449788
"197",318.153107195629
"198",382.470668003208
"199",402.487084682075
"200",394.38034264321
"201",380.828121982979
"202",373.610681990095
"203",372.382333452918
"204",344.343339608792
"205",313.50125609453
"206",303.806062021601
"207",304.912595917887
"208",299.977296690381
"209",325.479142194932
"210",378.613157008213
"211",398.899146632102
"212",399.365295797631
"213",380.856732564471
"214",369.146953808874
"215",372.851037934481
"216",341.181350707984
"217",317.796471579224
"218",306.526662298648
"219",293.835546608118
"220",299.720899221702
"221",332.446296791038
"222",377.689324497349
"223",399.457856387295
"224",397.401037979767
"225",386.141959590259
"226",371.41297194898
"227",385.89057481367
"228",353.173645974573
"229",313.345524970805
"230",302.730015675049
"231",303.109225744095
"232",307.502659690518
"233",331.223991687922
"234",383.289909792544
"235",405.867950984112
"236",403.596824243496
"237",384.636594154466
"238",371.139454659969
"239",371.867462601423
"240",346.149368018457
"241",319.326068801423
"242",307.542148846736
"243",300.068193856566
"244",304.403147643042
"245",326.274923693218
"246",393.028773570438
"247",412.142097668742
"248",412.212028916693
"249",395.553122778872
"250",370.410508390835
"251",397.589048709322
"252",361.109736033963
"253",327.191175027429
"254",307.49645545432
"255",298.577835206427
"256",298.219524895188
"257",332.446918608862
"258",388.070305268861
"259",412.922409005383
"260",413.141008880464
"261",384.578187162099
"262",377.693792839688
"263",379.789768570505
