#,Date-Time (EDT),Ch: 1 - Temperature   (°C ),Ch: 2 - Millivolts   (mv),Ch: 3 - pH   (pH),Button Down,Button Up,Host Connected,End of File
1,08/28/2022 14:03:02,24.65,-178.86,9.93,,,,
2,08/28/2022 14:12:50,,,,Logged,,,
3,08/28/2022 14:12:51,,,,,Logged,,
4,08/28/2022 14:12:53,,,,,,Logged,
5,08/28/2022 14:18:02,24.63,152.60,4.12,,,,
6,08/28/2022 14:33:02,25.09,156.57,4.06,,,,
7,08/28/2022 14:48:02,25.38,156.71,4.06,,,,
8,08/28/2022 15:03:02,25.60,156.75,4.06,,,,
9,08/28/2022 15:18:02,25.67,156.79,4.06,,,,
10,08/28/2022 15:33:02,25.72,156.74,4.06,,,,
11,08/28/2022 15:48:02,25.74,156.77,4.06,,,,
12,08/28/2022 16:03:02,25.74,156.77,4.06,,,,
13,08/28/2022 16:18:02,25.77,156.77,4.06,,,,
14,08/28/2022 16:33:02,25.82,156.75,4.06,,,,
15,08/28/2022 16:48:02,25.89,156.71,4.06,,,,
16,08/28/2022 17:03:02,25.96,156.75,4.06,,,,
17,08/28/2022 17:18:02,26.04,156.75,4.07,,,,
18,08/28/2022 17:33:02,26.11,156.77,4.07,,,,
19,08/28/2022 17:48:02,26.21,156.79,4.07,,,,
20,08/28/2022 18:03:02,26.28,156.86,4.07,,,,
21,08/28/2022 18:18:02,26.38,156.86,4.07,,,,
22,08/28/2022 18:33:02,26.40,156.91,4.07,,,,
23,08/28/2022 18:48:02,26.48,156.94,4.07,,,,
24,08/28/2022 19:03:02,26.55,156.99,4.07,,,,
25,08/28/2022 19:18:02,26.60,157.02,4.07,,,,
26,08/28/2022 19:33:02,26.62,157.07,4.07,,,,
27,08/28/2022 19:48:02,26.62,157.07,4.07,,,,
28,08/28/2022 20:03:02,26.60,157.10,4.06,,,,
29,08/28/2022 20:18:02,26.57,157.19,4.06,,,,
30,08/28/2022 20:33:02,26.50,157.11,4.06,,,,
31,08/28/2022 20:48:02,26.45,156.83,4.07,,,,
32,08/28/2022 21:03:02,26.35,157.15,4.06,,,,
33,08/28/2022 21:18:02,26.28,157.13,4.06,,,,
34,08/28/2022 21:33:02,26.21,157.15,4.06,,,,
35,08/28/2022 21:48:02,26.06,157.13,4.06,,,,
36,08/28/2022 22:03:02,25.87,157.08,4.06,,,,
37,08/28/2022 22:18:02,25.62,157.04,4.06,,,,
38,08/28/2022 22:33:02,25.38,156.99,4.05,,,,
39,08/28/2022 22:48:02,25.14,156.91,4.05,,,,
40,08/28/2022 23:03:02,24.94,156.82,4.05,,,,
41,08/28/2022 23:18:02,24.80,156.75,4.05,,,,
42,08/28/2022 23:33:02,24.48,156.68,4.05,,,,
43,08/28/2022 23:48:02,24.27,156.63,4.05,,,,
44,08/29/2022 00:03:02,24.10,156.60,4.05,,,,
45,08/29/2022 00:18:02,23.95,156.54,4.05,,,,
46,08/29/2022 00:33:02,23.81,156.49,4.05,,,,
47,08/29/2022 00:48:02,23.69,156.43,4.05,,,,
48,08/29/2022 01:03:02,23.54,156.38,4.05,,,,
49,08/29/2022 01:18:02,23.42,156.33,4.05,,,,
50,08/29/2022 01:33:02,23.28,156.29,4.05,,,,
51,08/29/2022 01:48:02,23.14,156.24,4.05,,,,
52,08/29/2022 02:03:02,22.99,156.19,4.04,,,,
53,08/29/2022 02:18:02,22.85,156.15,4.04,,,,
54,08/29/2022 02:33:02,22.70,156.10,4.04,,,,
55,08/29/2022 02:48:02,22.56,156.04,4.04,,,,
56,08/29/2022 03:03:02,22.42,155.99,4.04,,,,
57,08/29/2022 03:18:02,22.25,155.93,4.04,,,,
58,08/29/2022 03:33:02,22.11,155.88,4.04,,,,
59,08/29/2022 03:48:02,21.96,155.82,4.04,,,,
60,08/29/2022 04:03:02,21.80,155.77,4.04,,,,
61,08/29/2022 04:18:02,21.65,155.71,4.04,,,,
62,08/29/2022 04:33:02,21.51,155.66,4.04,,,,
63,08/29/2022 04:48:02,21.39,155.61,4.04,,,,
64,08/29/2022 05:03:02,21.29,155.52,4.04,,,,
65,08/29/2022 05:18:02,21.25,155.46,4.04,,,,
66,08/29/2022 05:33:02,21.22,155.43,4.04,,,,
67,08/29/2022 05:48:02,21.25,155.38,4.04,,,,
68,08/29/2022 06:03:02,21.29,155.33,4.04,,,,
69,08/29/2022 06:18:02,21.37,155.32,4.04,,,,
70,08/29/2022 06:33:02,21.46,155.30,4.05,,,,
71,08/29/2022 06:48:02,21.53,155.29,4.05,,,,
72,08/29/2022 07:03:02,21.60,155.27,4.05,,,,
73,08/29/2022 07:18:02,21.68,155.25,4.05,,,,
74,08/29/2022 07:33:02,21.75,155.24,4.05,,,,
75,08/29/2022 07:48:02,21.84,155.21,4.05,,,,
76,08/29/2022 08:03:02,21.91,155.19,4.05,,,,
77,08/29/2022 08:18:02,22.01,155.18,4.05,,,,
78,08/29/2022 08:33:02,22.13,155.16,4.05,,,,
79,08/29/2022 08:48:02,22.27,155.16,4.06,,,,
80,08/29/2022 09:03:02,22.44,155.18,4.06,,,,
81,08/29/2022 09:18:02,22.63,155.22,4.06,,,,
82,08/29/2022 09:33:02,22.82,155.27,4.06,,,,
83,08/29/2022 09:48:02,23.02,155.30,4.06,,,,
84,08/29/2022 10:03:02,23.21,155.35,4.06,,,,
85,08/29/2022 10:18:02,23.30,155.38,4.06,,,,
86,08/29/2022 10:33:02,23.42,155.41,4.06,,,,
87,08/29/2022 10:48:02,23.57,155.44,4.06,,,,
88,08/29/2022 11:03:02,23.74,155.49,4.06,,,,
89,08/29/2022 11:18:02,23.95,155.54,4.07,,,,
90,08/29/2022 11:33:02,24.12,155.63,4.07,,,,
91,08/29/2022 11:48:02,24.22,155.69,4.07,,,,
92,08/29/2022 12:03:02,24.27,155.74,4.07,,,,
93,08/29/2022 12:18:02,24.34,155.79,4.07,,,,
94,08/29/2022 12:33:02,24.34,155.83,4.06,,,,
95,08/29/2022 12:48:02,24.36,155.86,4.06,,,,
96,08/29/2022 13:03:02,24.39,155.90,4.06,,,,
97,08/29/2022 13:18:02,24.44,155.93,4.06,,,,
98,08/29/2022 13:33:02,24.36,155.93,4.06,,,,
99,08/29/2022 13:48:02,24.24,155.91,4.06,,,,
100,08/29/2022 14:03:02,24.15,155.90,4.06,,,,
101,08/29/2022 14:18:02,24.05,155.88,4.06,,,,
102,08/29/2022 14:33:02,23.95,155.86,4.06,,,,
103,08/29/2022 14:48:02,23.88,155.86,4.06,,,,
104,08/29/2022 15:03:02,23.81,155.86,4.06,,,,
