Date,pH,Length (mm),Dry weight (mg),Length20mm,DW_Pred,DW_diff,DW_corr,time(h),slope,int,sum,feces,TPM,PIM,POM,% organic,ER (mg/h),OER,IER,,pseudofeces,TPM,PIM,POM,% organ,RR (mg/h),ORR,IRR,TSM,PIM,POM
5/15/2019,8,16.47,0.0402,,,,0.0402,1.5,0.01761390723,-0.2692786048,15.91656346,2,1.86,1.557,0.303,16.29,1.24,0.202,1.038,,2,2.912,1.643,1.269,43.5783,1.941,0.846,1.095,15.80361,13.41972,2.383889
5/15/2019,8,16.18,0.0503,,,,0.0503,1.5,,,,3,3.792,3.312,0.48,12.66,2.528,0.32,2.208,,3,2.497,2.184,0.313,12.53504,1.665,0.208667,1.456,15.80361,13.41972,2.383889
5/15/2019,8,17.28,0.0648,,,,0.0648,1.5,,,,4,2.649,2.254,0.395,14.91,1.766,0.263333,1.502667,,4,2.585,2.196,0.389,15.04836,1.723,0.259333,1.464,15.80361,13.41972,2.383889
5/15/2019,8,17.9,0.0819,,,,0.0819,1.5,,,,5,1.88,1.545,0.335,17.82,1.253,0.223333,1.03,,5,3.303,2.874,0.429,12.98819,2.202,0.286,1.916,15.80361,13.41972,2.383889
5/15/2019,8,16.81,0.049,,,,0.049,1.5,,,,6,3.465,3.034,0.431,12.44,2.31,0.287333,2.022667,,6,2.052,1.78,0.272,13.25536,1.368,0.181333,1.187,15.80361,13.41972,2.383889
5/15/2019,8,17.36,0.0717,,,,0.0717,1.5,,,,7,1.104,0.859,0.245,22.19,0.736,0.163333,0.572667,,7,2.201,1.933,0.268,12.17628,1.467,0.178667,1.289,15.80361,13.41972,2.383889
5/15/2019,8,17.01,0.07,,,,0.07,1.5,,,,8,-1.67,-1.798,0.128,-7.66,-1.113,0.085333,-1.19867,,8,1.008,0.803,0.205,20.3373,0.672,0.136667,0.535,15.80361,13.41972,2.383889
5/15/2019,7.5,19.37,0.0802,,,,0.0802,1.5,,,,2,3.096,2.729,0.367,11.85,2.064,0.244667,1.819,,2,4.677,4.13,0.548,11.71691,3.118,0.365333,2.752667,15.80361,13.41972,2.383889
5/15/2019,7.5,17.05,0.0634,,,,0.0634,1.5,,,,3,1.991,1.681,0.31,15.57,1.327,0.206667,1.121,,3,0.467,0.18,0.292,62.52677,0.311,0.194667,0.116667,15.80361,13.41972,2.383889
5/15/2019,7.5,18.87,0.09,,,,0.09,1.5,,,,4,2.461,2.085,0.376,15.28,1.641,0.250667,1.39,,4,2.94,2.61,0.331,11.2585,1.96,0.220667,1.739333,15.80361,13.41972,2.383889
5/15/2019,7.5,15.84,0.0456,,,,0.0456,1.5,,,,5,3.307,2.854,0.453,13.7,2.205,0.302,1.903,,5,1.88,1.65,0.226,12.02128,1.253,0.150667,1.102667,15.80361,13.41972,2.383889
5/15/2019,7.5,16.42,0.0524,,,,0.0524,1.5,,,,6,2.229,1.561,0.668,29.97,1.486,0.445333,1.041,,6,4.297,3.88,0.422,9.820805,2.865,0.281333,2.583333,15.80361,13.41972,2.383889
5/15/2019,7.5,17.07,0.0577,,,,0.0577,1.5,,,,7,4.169,3.584,0.585,14.03,2.779,0.39,2.389,,7,2.036,1.77,0.27,13.2613,1.357,0.18,1.177333,15.80361,13.41972,2.383889
5/15/2019,7.5,16.96,0.0488,,,,0.0488,1.5,,,,8,3.212,2.748,0.464,14.45,2.141,0.309333,1.832,,8,1.347,1.17,0.182,13.51151,0.898,0.121333,0.776667,15.80361,13.41972,2.383889
5/15/2019,7,12.43,0.0252,,,,0.0252,1.5,,,,2,1.869,1.444,0.425,22.74,1.246,0.283333,0.963,,2,2.243,1.79,0.449,20.01783,1.495,0.299333,1.196,15.80361,13.41972,2.383889
5/15/2019,7,15.34,0.0454,,,,0.0454,1.5,,,,3,3.891,3.07,0.821,21.1,2.594,0.547333,2.047,,3,2.011,1.68,0.336,16.70811,1.341,0.224,1.116667,15.80361,13.41972,2.383889
5/15/2019,7,14.51,0.0504,,,,0.0504,1.5,,,,4,3.638,3.003,0.635,17.45,2.4253,0.423333,2.002,,4,3.069,2.66,0.413,13.45715,2.046,0.275333,1.770667,15.80361,13.41972,2.383889
5/15/2019,7,18.57,0.0802,,,,0.0802,1.5,,,,5,3.608,3.049,0.559,15.49,2.4053,0.372667,2.033,,5,2.577,2.18,0.401,15.56073,1.718,0.267333,1.450667,15.80361,13.41972,2.383889
5/15/2019,7,14.28,0.0347,,,,0.0347,1.5,,,,6,2.941,2.407,0.534,18.16,1.9607,0.356,1.605,,6,2.362,1.44,0.918,38.86537,1.575,0.612,0.962667,15.80361,13.41972,2.383889
