,Cond,Date,Chamber,ph,DW,ER,RR,DW,Cond,pH,Day,pH,DW,CR,FR,AE,POM,SFG,
,Fed,1,2,8,0.029,4.6676937,0.08319071,0.0292,1,8,NA,NA,NA,NA,NA,NA,NA,NA,
91,Fed,1,3,8,0.017,NA,NA,0.0168,1,8,NA,NA,NA,NA,NA,NA,NA,NA,
97,Fed,1,4,8,0.031,2.4471283,0.08467335,0.0309,1,8,NA,NA,NA,NA,NA,NA,NA,NA,
103,Fed,1,5,8,0.037,3.5465155,0.10026147,0.037,1,8,NA,NA,NA,NA,NA,NA,NA,NA,
109,Fed,1,6,8,0.03,4.2154749,0.10645217,0.0295,1,8,NA,NA,NA,NA,NA,NA,NA,NA,
115,Fed,1,7,8,0.045,2.5826304,0.06902219,0.0451,1,8,NA,NA,NA,NA,NA,NA,NA,NA,
121,Fed,1,8,8,0.046,NA,NA,0.0462,1,8,NA,NA,NA,NA,NA,NA,NA,NA,
43,Fed,1,2,7.5,0.031,4.0202821,0.1342755,0.0307,1,7.5,NA,NA,NA,NA,NA,NA,NA,NA,
49,Fed,1,3,7.5,0.019,2.7877331,0.16438887,0.0188,1,7.5,NA,NA,NA,NA,NA,NA,NA,NA,
55,Fed,1,4,7.5,0.029,6.2645363,0.13309128,0.0285,1,7.5,NA,NA,NA,NA,NA,NA,NA,NA,
61,Fed,1,5,7.5,0.035,4.9761937,0.17320654,0.0347,1,7.5,NA,NA,NA,NA,NA,NA,NA,NA,
67,Fed,1,6,7.5,0.04,4.597091,0.11722182,0.0396,1,7.5,NA,NA,NA,NA,NA,NA,NA,NA,
73,Fed,1,7,7.5,0.024,3.0667951,0.09018422,0.0238,1,7.5,NA,NA,NA,NA,NA,NA,NA,NA,
79,Fed,1,8,7.5,0.023,4.1305341,0.06399938,0.0231,1,7.5,NA,NA,NA,NA,NA,NA,NA,NA,
1,Fed,1,2,7,0.023,1.7702289,0.0616061,0.0227,1,7,NA,NA,NA,NA,NA,NA,NA,NA,
7,Fed,1,3,7,0.027,2.8267999,0.06511309,0.0267,1,7,NA,NA,NA,NA,NA,NA,NA,NA,
13,Fed,1,4,7,0.021,NA,NA,0.021,1,7,NA,NA,NA,NA,NA,NA,NA,NA,
19,Fed,1,5,7,0.02,NA,NA,0.0204,1,7,NA,NA,NA,NA,NA,NA,NA,NA,
25,Fed,1,6,7,0.027,3.1517194,0.13602983,0.027,1,7,NA,NA,NA,NA,NA,NA,NA,NA,
31,Fed,1,7,7,0.02,2.9653229,0.08361108,0.0197,1,7,NA,NA,NA,NA,NA,NA,NA,NA,
37,Fed,1,8,7,0.017,5.2914778,0.05251885,0.0173,1,7,NA,NA,NA,NA,NA,NA,NA,NA,
86,Fed,2,2,8,0.04,2.0246256,0.08141774,0.0402,1,8,1,8,0.0402,NA,NA,NA,2.38,NA,
92,Fed,2,3,8,0.05,3.1152398,0.07989382,0.0503,1,8,1,8,0.0503,0.6237059,4.459174,0.45,2.38,5.7044613,
98,Fed,2,4,8,0.065,3.4572536,0.07705783,0.0648,1,8,1,8,0.0648,0.414797,3.610503,0.32,2.38,2.0986907,
104,Fed,2,5,8,0.082,3.4989683,0.1001325,0.0819,1,8,1,8,0.0819,0.3460383,3.585351,0.37,2.38,1.6590373,
110,Fed,2,6,8,0.049,3.1653583,0.07478972,0.049,1,8,1,8,0.049,0.5546508,3.905834,0.44,2.38,4.874325,
116,Fed,2,7,8,0.072,3.0990662,0.07862086,0.0717,1,8,1,8,0.0717,NA,NA,NA,2.38,NA,
122,Fed,2,8,8,0.07,2.9698018,0.10880031,0.07,1,8,1,8,0.07,NA,NA,NA,2.38,NA,
44,Fed,2,2,7.5,0.08,2.6862517,0.08669405,0.0802,1,7.5,1,7.5,0.0802,0.5470671,5.564231,0.61,2.38,6.9240003,
