Site,Mesocosm row,Treatment,len,,Additional surfclams found in cages
Ptown,A,,30.93,,
Ptown,A,,14.84,,
Ptown,A,,17.45,,
Ptown,A,,22.65,,
Ptown,A,,22.64,,
Ptown,A,,25.75,,
Ptown,A,,19.46,,
Ptown,A,,21.46,,
Ptown,A,,23.54,,
Ptown,B,,,,
Ptown,C,,20.57,,
Ptown,C,,20.44,,
Ptown,C,,19.25,,
Ptown,D,,20.75,,
Ptown,D,,21.62,,
Ptown,E,,22.44,,
Ptown,E,,19.65,,
Ptown,E,,22.72,,
Ptown,E,,21.44,,
Ptown,E,,18.59,,
Ptown,E,,21.68,,
Ptown,E,,23.13,,
Ptown,E,,23.16,,
Ptown,E,,19.71,,
Ptown,F,,23.58,,
Ptown,F,,23.41,,
Ptown,F,,23.41,,
Ptown,F,,23.65,,
Ptown,F,,20.63,,
Ptown,F,,20.64,,
Ptown,F,,18.61,,
Ptown,F,,17.54,,
Ptown,F,,15.53,,
Ptown,F,,14.47,,
Ptown,G,,22.89,,
Ptown,G,,19.3,,
Ptown,G,,18.94,,
Ptown,G,,23.47,,
Ptown,G,,16.45,,
Ptown,G,,17.6,,
Ptown,G,,20.6,,
Ptown,G,,17.44,,
Ptown,H,,19,,
Ptown,H,,21.95,,
Ptown,H,,16.27,,
Ptown,H,,19.09,,
East_Dennis,B,,24.6,,
East_Dennis,C,,15,,
Eel_Pond,,,,,
