"","x"
"1",1.43981945514679
"2",1.35113978385925
"3",1.28519201278687
"4",1.3465039730072
"5",1.45240235328674
"6",1.46595478057861
"7",1.38007402420044
"8",1.32524991035461
"9",1.37843215465546
"10",1.4742636680603
"11",1.50168311595917
"12",1.42424917221069
"13",1.36586344242096
"14",1.35654664039612
"15",1.33493316173553
"16",1.37974870204926
"17",1.3906352519989
"18",1.44915580749512
"19",1.55699622631073
"20",1.55892503261566
"21",1.57583463191986
"22",1.62978076934814
"23",1.65084600448608
"24",1.65282464027405
"25",1.67093217372894
"26",1.69208776950836
"27",1.64517557621002
"28",1.50515747070312
"29",1.46864473819733
"30",1.56136977672577
"31",1.59771883487701
"32",1.58594024181366
"33",1.57865965366364
"34",1.58807969093323
"35",1.64030241966248
"36",1.671053647995
"37",1.67889034748077
"38",1.69407975673676
"39",1.63167309761047
"40",1.40252721309662
"41",1.26724898815155
"42",1.23079133033752
"43",1.11351299285889
"44",1.02883851528168
"45",1.07430458068848
"46",1.15578436851501
"47",1.26296746730804
"48",1.33740758895874
"49",1.32957684993744
"50",1.35254061222076
"51",1.30831170082092
"52",1.21473252773285
"53",1.08212602138519
"54",0.889382719993591
"55",0.80163037776947
"56",0.976309835910797
"57",1.10744345188141
"58",1.21628940105438
"59",1.31883132457733
"60",1.4296807050705
"61",1.45479321479797
"62",1.34981024265289
"63",1.23597955703735
"64",1.18180859088898
"65",1.10247492790222
"66",1.04193949699402
"67",1.0044481754303
"68",0.95578944683075
"69",0.868583083152771
"70",0.83018696308136
"71",0.84029096364975
"72",0.862769782543182
"73",0.762967348098755
"74",0.651816189289093
"75",0.573755502700806
"76",0.67627477645874
"77",0.775894045829773
"78",0.791931509971619
"79",0.849148690700531
"80",0.86967670917511
"81",0.917710959911346
"82",0.92135214805603
"83",0.897267639636993
"84",0.817223429679871
"85",0.711587488651276
"86",0.618017613887787
"87",0.533550679683685
"88",0.467196822166443
"89",0.445050925016403
"90",0.48109295964241
"91",0.532205104827881
"92",0.581754088401794
"93",0.62415736913681
"94",0.703351378440857
"95",0.803233563899994
"96",0.789921700954437
"97",0.766368746757507
"98",0.863516747951508
"99",0.945442140102386
"100",0.938264966011047
"101",1.01465773582458
"102",1.02072286605835
"103",0.959737420082092
"104",1.01132833957672
"105",1.13084089756012
"106",1.10979962348938
"107",1.07513785362244
"108",1.21886050701141
"109",1.35187137126923
"110",1.47541475296021
"111",1.59879982471466
"112",1.66342568397522
"113",1.72443115711212
"114",1.69969797134399
"115",1.62518870830536
"116",1.64188873767853
"117",1.68482720851898
"118",1.83071804046631
"119",1.84646141529083
"120",1.80559802055359
"121",1.70620846748352
"122",1.67361545562744
"123",1.71589684486389
"124",1.69575440883636
"125",1.79300951957703
"126",1.89717841148376
"127",1.80261731147766
"128",1.53725016117096
"129",1.42434453964233
"130",1.53304600715637
"131",1.53661298751831
"132",1.48453724384308
"133",1.68515527248383
"134",1.77048110961914
"135",1.70812141895294
"136",1.52916479110718
"137",1.20677065849304
"138",0.985406398773193
"139",0.86043518781662
"140",0.824563384056091
"141",0.932905316352844
"142",1.08731687068939
"143",1.2618510723114
"144",1.46085739135742
"145",1.58039212226868
"146",1.76512885093689
"147",1.78811299800873
"148",1.71969223022461
"149",1.74049615859985
"150",1.69945383071899
"151",1.78943061828613
"152",1.6332380771637
"153",1.58031511306763
"154",1.7450098991394
"155",1.91235637664795
"156",2.0286009311676
"157",2.05862641334534
"158",1.83544898033142
"159",1.72747552394867
"160",1.88266777992249
"161",2.1045024394989
"162",2.26678228378296
"163",2.3611147403717
"164",2.4426896572113
"165",2.49023032188416
"166",2.52195882797241
"167",2.53542613983154
"168",2.51301789283752
"169",2.61542248725891
"170",2.55897784233093
"171",2.60563945770264
"172",2.54630494117737
"173",2.58062052726746
"174",2.47521305084229
"175",2.47612690925598
"176",2.61741089820862
"177",2.81211090087891
"178",2.95723795890808
"179",2.93345403671265
"180",2.8689124584198
"181",2.63438057899475
"182",2.46945333480835
"183",2.47524952888489
"184",2.42517471313477
"185",2.36215829849243
"186",2.3844792842865
"187",2.50216722488403
"188",2.66441607475281
"189",2.77094292640686
"190",2.9008309841156
"191",3.11959886550903
"192",3.42181491851807
"193",3.52391195297241
"194",3.57304978370667
"195",3.42959856987
"196",3.32619667053223
"197",3.35897040367126
"198",3.40151047706604
"199",3.27778077125549
"200",3.22800230979919
"201",3.34828543663025
"202",3.32054448127747
"203",3.22402215003967
"204",2.9327449798584
"205",2.6508903503418
"206",2.67259907722473
"207",2.63400506973267
"208",2.51875567436218
"209",2.34731769561768
"210",2.28508424758911
"211",2.16770362854004
"212",2.10241675376892
"213",2.06105756759644
"214",2.04380941390991
"215",2.04848408699036
"216",2.11526250839233
"217",2.33254742622375
"218",2.68192219734192
"219",2.80576705932617
"220",2.87517380714417
"221",3.12489581108093
"222",3.29454135894775
"223",3.37938690185547
"224",3.34933376312256
"225",3.23912167549133
"226",3.27274322509766
"227",2.80789017677307
"228",2.6406307220459
"229",2.51338028907776
"230",2.26733827590942
"231",2.2071430683136
"232",2.19463634490967
"233",2.13081955909729
"234",2.0919554233551
"235",2.11405944824219
"236",2.06190419197083
"237",2.2595067024231
"238",2.64337468147278
"239",2.83144092559814
"240",2.93389940261841
"241",2.93061709403992
"242",2.82337689399719
"243",2.86345720291138
"244",2.88219499588013
"245",2.89331698417664
"246",2.84410381317139
"247",2.91414284706116
"248",3.14054417610168
"249",3.47353482246399
"250",3.61305236816406
"251",3.45042133331299
"252",3.34644842147827
"253",3.30726718902588
"254",3.40995454788208
"255",3.59070563316345
"256",3.68479204177856
"257",3.60082387924194
"258",3.72940421104431
"259",3.99696135520935
"260",4.17818403244019
"261",3.82645034790039
"262",3.5809440612793
"263",3.80809450149536
"264",4.00765085220337
"265",3.62175321578979
"266",2.66691946983337
"267",2.22123980522156
"268",2.18736529350281
"269",2.23873615264893
"270",2.27312231063843
"271",2.48384737968445
"272",2.72587633132935
"273",1.60350501537323
"274",1.06693840026855
"275",0.965476930141449
"276",0.833962619304657
"277",0.721441268920898
"278",0.6738560795784
"279",0.656247973442078
"280",0.652528166770935
"281",0.661107420921326
"282",0.631731748580933
"283",0.705785572528839
"284",0.857515454292297
"285",0.97319495677948
"286",0.946153998374939
"287",0.916331708431244
"288",1.00628101825714
"289",1.1658536195755
"290",1.40423321723938
"291",1.70077013969421
"292",1.81102657318115
"293",1.73036432266235
"294",1.69020283222198
"295",1.68571591377258
"296",1.60831928253174
"297",1.57253551483154
"298",1.47450995445251
"299",1.32548666000366
"300",1.30238568782806
"301",1.26896452903748
"302",1.20196831226349
"303",1.13155472278595
"304",1.00591838359833
"305",0.902511477470398
"306",0.990988731384277
"307",1.13551366329193
"308",1.18590700626373
"309",1.10538220405579
"310",0.991279304027557
"311",0.933268785476685
"312",0.922220051288605
"313",0.909112334251404
"314",0.833082675933838
"315",0.862306535243988
"316",0.959010422229767
"317",0.978946685791016
"318",0.962951123714447
"319",0.924371898174286
"320",0.88325560092926
"321",0.92033863067627
"322",0.988669455051422
"323",0.991155624389648
"324",1.03035926818848
"325",1.01229107379913
"326",0.983984768390656
"327",0.973058581352234
"328",0.979630708694458
"329",1.02047836780548
"330",1.05570125579834
"331",1.0175267457962
"332",0.946579873561859
"333",1.00113534927368
"334",1.09825372695923
"335",1.13296353816986
"336",1.07135236263275
"337",0.995939314365387
"338",0.938384294509888
"339",0.794885337352753
"340",0.704783737659454
"341",0.74151623249054
"342",0.994251132011414
"343",1.0972660779953
"344",1.03597939014435
"345",0.904538094997406
"346",1.00345897674561
"347",1.10210335254669
"348",1.15765774250031
"349",1.22553908824921
"350",1.22896921634674
"351",1.22273242473602
"352",1.27699530124664
"353",1.3937566280365
"354",1.47364616394043
"355",1.44215881824493
"356",1.34485197067261
"357",1.18485271930695
"358",1.09215497970581
"359",1.09567832946777
"360",1.20103359222412
"361",1.36637461185455
"362",1.43496870994568
"363",1.4876161813736
"364",1.5019965171814
"365",1.51193368434906
"366",1.44046771526337
"367",1.2991498708725
"368",1.27940845489502
"369",1.24387228488922
"370",1.1964019536972
"371",1.15904784202576
"372",1.07891774177551
"373",1.01538801193237
"374",0.963872253894806
"375",0.908086240291595
"376",0.8553626537323
"377",0.766980230808258
"378",0.649530351161957
"379",0.549076497554779
"380",0.476291686296463
"381",0.410237967967987
"382",0.36064401268959
"383",0.32802152633667
"384",0.304578751325607
"385",0.286955565214157
"386",0.288621872663498
"387",0.315488547086716
"388",0.356370955705643
"389",0.380857735872269
"390",0.391591012477875
"391",0.425290435552597
"392",0.5349280834198
"393",0.725913405418396
"394",0.796380519866943
"395",0.734221339225769
"396",0.638936042785645
"397",0.656980991363525
"398",0.650355935096741
"399",0.545419692993164
"400",0.45932349562645
"401",0.560944855213165
"402",0.628429532051086
"403",0.670934796333313
"404",0.702369868755341
"405",0.749352633953094
"406",0.774241387844086
"407",0.72908753156662
"408",0.738194763660431
"409",0.8028324842453
"410",0.787192463874817
"411",0.75884735584259
"412",0.712335824966431
"413",0.657280087471008
"414",0.591454803943634
"415",0.526041567325592
"416",0.478606522083282
"417",0.42907327413559
"418",0.399382174015045
"419",0.378764927387238
"420",0.365305751562119
"421",0.41711363196373
"422",0.45329424738884
"423",0.412300914525986
"424",0.378361374139786
"425",0.347100615501404
"426",0.344699740409851
"427",0.365652114152908
"428",0.360894173383713
"429",0.372494429349899
"430",0.407410234212875
"431",0.432782351970673
"432",0.449162840843201
"433",0.49113741517067
"434",0.584423422813416
"435",0.634988129138947
"436",0.588784754276276
"437",0.550683856010437
"438",0.548237025737762
"439",0.554290890693665
"440",0.555811047554016
"441",0.570715606212616
"442",0.598806321620941
"443",0.630693137645721
"444",0.65403550863266
"445",0.663918077945709
"446",0.696943581104279
"447",0.757282316684723
"448",0.801817059516907
"449",0.840324521064758
"450",0.881302893161774
"451",0.930170118808746
"452",0.94719785451889
"453",0.938730835914612
"454",0.937411606311798
"455",0.957726061344147
"456",1.02188003063202
"457",1.08221662044525
"458",1.13634836673737
"459",1.14825212955475
"460",1.16516649723053
"461",1.05896306037903
"462",0.938276052474976
"463",0.898658394813538
"464",0.889465093612671
"465",0.941205501556396
"466",1.01831221580505
"467",1.02943468093872
"468",0.997448027133942
"469",1.00978076457977
"470",1.04357254505157
"471",1.06416976451874
"472",1.14222013950348
"473",1.22556924819946
"474",1.27885961532593
"475",1.38541805744171
"476",1.49464952945709
"477",1.53717005252838
"478",1.66710865497589
"479",1.76239275932312
"480",1.78322732448578
"481",1.87332427501678
"482",2.02650809288025
"483",2.15139222145081
"484",2.24074196815491
"485",2.16844820976257
"486",1.95262622833252
"487",1.76109170913696
"488",1.69547557830811
"489",1.75742590427399
"490",1.78976130485535
"491",1.87663543224335
"492",2.01827645301819
"493",2.17556643486023
"494",2.13387846946716
"495",1.9891209602356
"496",1.87074184417725
"497",1.89908075332642
"498",2.0117883682251
"499",2.05573987960815
"500",1.99913966655731
"501",1.99236285686493
"502",1.98206067085266
"503",1.98592233657837
"504",1.96294093132019
"505",1.96600472927094
"506",2.09127259254456
"507",2.2586681842804
"508",2.45785307884216
"509",2.69579935073853
"510",2.78426766395569
"511",2.68343639373779
"512",2.60681414604187
"513",2.71091532707214
"514",2.83690428733826
