Date,RCP8.5,SD8.5,RCP6,SD6,RCP4.5,SD4.5,RCP2.6,SD2.6
2006.04,-0.214,0.121,-0.214,0.049,-0.212,0.142,-0.282,0.170
2006.12,-0.210,0.118,-0.210,0.051,-0.210,0.139,-0.277,0.167
2006.20,-0.206,0.115,-0.206,0.052,-0.208,0.137,-0.273,0.164
2006.29,-0.203,0.112,-0.203,0.054,-0.207,0.134,-0.268,0.161
2006.37,-0.199,0.109,-0.199,0.056,-0.205,0.132,-0.264,0.158
2006.45,-0.195,0.106,-0.195,0.058,-0.203,0.130,-0.260,0.156
2006.54,-0.191,0.103,-0.191,0.060,-0.202,0.127,-0.255,0.153
2006.62,-0.188,0.100,-0.188,0.061,-0.200,0.125,-0.251,0.150
2006.71,-0.184,0.097,-0.184,0.063,-0.198,0.123,-0.246,0.147
2006.79,-0.180,0.094,-0.180,0.065,-0.197,0.120,-0.242,0.145
2006.87,-0.177,0.091,-0.176,0.067,-0.195,0.118,-0.237,0.142
2006.96,-0.173,0.088,-0.173,0.069,-0.193,0.116,-0.233,0.140
2007.04,-0.169,0.085,-0.169,0.070,-0.192,0.113,-0.228,0.137
2007.12,-0.166,0.082,-0.165,0.072,-0.190,0.111,-0.224,0.135
2007.20,-0.162,0.079,-0.162,0.074,-0.189,0.109,-0.220,0.132
2007.29,-0.158,0.076,-0.158,0.076,-0.187,0.107,-0.215,0.130
2007.37,-0.155,0.074,-0.155,0.078,-0.185,0.104,-0.211,0.128
2007.45,-0.151,0.071,-0.151,0.079,-0.184,0.102,-0.207,0.126
2007.54,-0.147,0.068,-0.147,0.081,-0.182,0.100,-0.202,0.124
2007.62,-0.144,0.065,-0.144,0.083,-0.180,0.098,-0.198,0.122
2007.71,-0.140,0.063,-0.140,0.085,-0.179,0.096,-0.193,0.121
2007.79,-0.137,0.060,-0.136,0.086,-0.177,0.094,-0.189,0.119
2007.87,-0.133,0.058,-0.133,0.088,-0.176,0.092,-0.185,0.118
2007.96,-0.130,0.055,-0.129,0.090,-0.174,0.090,-0.180,0.116
2008.04,-0.126,0.053,-0.126,0.091,-0.172,0.088,-0.176,0.115
2008.12,-0.122,0.051,-0.122,0.093,-0.171,0.086,-0.172,0.114
2008.20,-0.119,0.049,-0.119,0.095,-0.169,0.084,-0.167,0.113
2008.29,-0.115,0.046,-0.115,0.096,-0.167,0.082,-0.163,0.112
2008.37,-0.112,0.045,-0.112,0.098,-0.166,0.081,-0.159,0.111
2008.45,-0.108,0.043,-0.108,0.099,-0.164,0.079,-0.154,0.111
2008.54,-0.105,0.041,-0.104,0.101,-0.163,0.077,-0.150,0.110
2008.62,-0.101,0.040,-0.101,0.103,-0.161,0.076,-0.145,0.110
2008.71,-0.098,0.039,-0.097,0.104,-0.159,0.074,-0.141,0.110
2008.79,-0.094,0.038,-0.094,0.106,-0.158,0.073,-0.137,0.110
2008.87,-0.091,0.037,-0.090,0.107,-0.156,0.072,-0.132,0.110
2008.96,-0.087,0.037,-0.087,0.109,-0.154,0.070,-0.128,0.110
2009.04,-0.084,0.037,-0.083,0.110,-0.153,0.069,-0.124,0.110
2009.12,-0.080,0.037,-0.080,0.112,-0.151,0.068,-0.119,0.111
2009.20,-0.077,0.038,-0.076,0.113,-0.149,0.067,-0.115,0.111
2009.29,-0.074,0.039,-0.073,0.115,-0.148,0.067,-0.111,0.112
2009.37,-0.070,0.040,-0.070,0.116,-0.146,0.066,-0.106,0.113
2009.45,-0.067,0.041,-0.066,0.117,-0.144,0.065,-0.102,0.114
2009.54,-0.063,0.042,-0.063,0.119,-0.143,0.065,-0.098,0.115
2009.62,-0.060,0.044,-0.059,0.120,-0.141,0.065,-0.093,0.116
2009.71,-0.056,0.046,-0.056,0.122,-0.139,0.064,-0.089,0.118
2009.79,-0.053,0.048,-0.052,0.123,-0.138,0.064,-0.085,0.119
2009.87,-0.050,0.050,-0.049,0.124,-0.136,0.064,-0.080,0.121
2009.96,-0.046,0.052,-0.046,0.126,-0.134,0.065,-0.076,0.123
2010.04,-0.043,0.054,-0.042,0.127,-0.132,0.065,-0.071,0.124
2010.12,-0.039,0.057,-0.039,0.128,-0.131,0.066,-0.067,0.126
2010.20,-0.036,0.059,-0.035,0.129,-0.129,0.066,-0.063,0.128
2010.29,-0.033,0.062,-0.032,0.131,-0.127,0.067,-0.058,0.130
2010.37,-0.029,0.064,-0.029,0.132,-0.126,0.068,-0.054,0.132
2010.45,-0.026,0.067,-0.025,0.133,-0.124,0.069,-0.050,0.134
2010.54,-0.023,0.070,-0.022,0.134,-0.122,0.070,-0.045,0.137
2010.62,-0.019,0.072,-0.018,0.136,-0.120,0.071,-0.041,0.139
2010.71,-0.016,0.075,-0.015,0.137,-0.119,0.072,-0.036,0.141
2010.79,-0.013,0.078,-0.012,0.138,-0.117,0.074,-0.032,0.144
2010.87,-0.009,0.081,-0.008,0.139,-0.115,0.075,-0.028,0.146
2010.96,-0.006,0.084,-0.005,0.140,-0.113,0.077,-0.023,0.149
2011.04,-0.003,0.087,-0.002,0.141,-0.112,0.079,-0.019,0.151
2011.12,0.001,0.090,0.001,0.143,-0.110,0.080,-0.014,0.154
2011.20,0.004,0.093,0.005,0.144,-0.108,0.082,-0.010,0.156
2011.29,0.007,0.096,0.008,0.145,-0.106,0.084,-0.006,0.159
2011.37,0.011,0.099,0.011,0.146,-0.104,0.086,-0.001,0.162
2011.45,0.014,0.102,0.015,0.147,-0.103,0.088,0.003,0.165
2011.54,0.017,0.105,0.018,0.148,-0.101,0.090,0.008,0.167
2011.62,0.021,0.108,0.021,0.149,-0.099,0.092,0.012,0.170
2011.71,0.024,0.111,0.024,0.150,-0.097,0.095,0.016,0.173
2011.79,0.027,0.114,0.028,0.151,-0.095,0.097,0.021,0.176
2011.87,0.030,0.117,0.031,0.152,-0.094,0.099,0.025,0.179
2011.96,0.034,0.120,0.034,0.153,-0.092,0.102,0.030,0.182
2012.04,0.037,0.123,0.037,0.154,-0.090,0.104,0.034,0.184
2012.12,0.040,0.126,0.040,0.155,-0.088,0.106,0.039,0.187
2012.20,0.043,0.129,0.044,0.156,-0.086,0.109,0.043,0.190
2012.29,0.046,0.132,0.047,0.157,-0.085,0.111,0.047,0.193
