"","x","y"
"1",2022-08-03,523.15
"2",2022-08-04,536.375
"3",2022-08-05,549.6
"4",2022-08-06,562.825
"5",2022-08-07,576.05
"6",2022-08-08,589.275
"7",2022-08-09,602.5
"8",2022-08-10,615.725
"9",2022-08-11,628.95
"10",2022-08-12,642.175
"11",2022-08-13,655.4
"12",2022-08-14,668.625
"13",2022-08-15,681.85
"14",2022-08-16,695.075
"15",2022-08-17,708.3
"16",2022-08-18,721.525
"17",2022-08-19,734.75
"18",2022-08-20,747.975
"19",2022-08-21,761.2
"20",2022-08-22,774.425
"21",2022-08-23,787.65
"22",2022-08-24,800.875
"23",2022-08-25,814.1
"24",2022-08-26,827.325
"25",2022-08-27,840.55
"26",2022-08-28,853.775
"27",2022-08-29,867
"28",2022-08-30,856.535964912281
"29",2022-08-31,846.071929824561
"30",2022-09-01,835.607894736842
"31",2022-09-02,825.143859649123
"32",2022-09-03,814.679824561404
"33",2022-09-04,804.215789473684
"34",2022-09-05,793.751754385965
"35",2022-09-06,783.287719298246
"36",2022-09-07,772.823684210526
"37",2022-09-08,762.359649122807
"38",2022-09-09,751.895614035088
"39",2022-09-10,741.431578947368
"40",2022-09-11,730.967543859649
"41",2022-09-12,720.50350877193
"42",2022-09-13,710.039473684211
"43",2022-09-14,699.575438596491
"44",2022-09-15,689.111403508772
"45",2022-09-16,678.647368421053
"46",2022-09-17,668.183333333333
"47",2022-09-18,657.719298245614
"48",2022-09-19,647.255263157895
"49",2022-09-20,636.791228070175
"50",2022-09-21,626.327192982456
"51",2022-09-22,615.863157894737
"52",2022-09-23,605.399122807018
"53",2022-09-24,594.935087719298
"54",2022-09-25,584.471052631579
"55",2022-09-26,574.00701754386
"56",2022-09-27,563.54298245614
"57",2022-09-28,553.078947368421
"58",2022-09-29,542.614912280702
"59",2022-09-30,532.150877192983
"60",2022-10-01,521.686842105263
"61",2022-10-02,511.222807017544
"62",2022-10-03,500.758771929825
"63",2022-10-04,490.294736842105
"64",2022-10-05,479.830701754386
"65",2022-10-06,469.366666666667
"66",2022-10-07,458.902631578947
"67",2022-10-08,448.438596491228
"68",2022-10-09,437.974561403509
"69",2022-10-10,427.510526315789
"70",2022-10-11,417.04649122807
"71",2022-10-12,406.582456140351
"72",2022-10-13,396.118421052632
"73",2022-10-14,385.654385964912
"74",2022-10-15,375.190350877193
"75",2022-10-16,364.726315789474
"76",2022-10-17,354.262280701754
"77",2022-10-18,343.798245614035
"78",2022-10-19,333.334210526316
"79",2022-10-20,322.870175438596
"80",2022-10-21,312.406140350877
"81",2022-10-22,301.942105263158
"82",2022-10-23,291.478070175439
"83",2022-10-24,281.014035087719
"84",2022-10-25,270.55
"85",2022-10-26,271.62
"86",2022-10-27,272.69
"87",2022-10-28,273.76
"88",2022-10-29,274.83
"89",2022-10-30,275.9
"90",2022-10-31,276.97
"91",2022-11-01,278.04
"92",2022-11-02,279.11
"93",2022-11-03,280.18
"94",2022-11-04,281.25
"95",2022-11-05,284.054
"96",2022-11-06,286.858
"97",2022-11-07,289.662
"98",2022-11-08,292.466
"99",2022-11-09,295.27
"100",2022-11-10,298.074
"101",2022-11-11,300.878
"102",2022-11-12,303.682
"103",2022-11-13,306.486
"104",2022-11-14,309.29
"105",2022-11-15,312.094
"106",2022-11-16,314.898
"107",2022-11-17,317.702
"108",2022-11-18,320.506
"109",2022-11-19,323.31
"110",2022-11-20,326.114
"111",2022-11-21,328.918
"112",2022-11-22,331.722
"113",2022-11-23,334.526
"114",2022-11-24,337.33
"115",2022-11-25,340.134
"116",2022-11-26,342.938
"117",2022-11-27,345.742
"118",2022-11-28,348.546
"119",2022-11-29,351.35
"120",2022-11-30,329.04
"121",2022-12-01,306.73
"122",2022-12-02,284.42
"123",2022-12-03,262.11
"124",2022-12-04,239.8
"125",2022-12-05,240.904166666667
"126",2022-12-06,242.008333333333
"127",2022-12-07,243.1125
"128",2022-12-08,244.216666666667
"129",2022-12-09,245.320833333333
"130",2022-12-10,246.425
"131",2022-12-11,247.529166666667
"132",2022-12-12,248.633333333333
"133",2022-12-13,249.7375
"134",2022-12-14,250.841666666667
"135",2022-12-15,251.945833333333
"136",2022-12-16,253.05
"137",2022-12-17,254.154166666667
"138",2022-12-18,255.258333333333
"139",2022-12-19,256.3625
"140",2022-12-20,257.466666666667
"141",2022-12-21,258.570833333333
"142",2022-12-22,259.675
"143",2022-12-23,260.779166666667
"144",2022-12-24,261.883333333333
"145",2022-12-25,262.9875
"146",2022-12-26,264.091666666667
"147",2022-12-27,265.195833333333
"148",2022-12-28,266.3
"149",2022-12-29,267.404166666667
"150",2022-12-30,268.508333333333
"151",2022-12-31,269.6125
"152",2023-01-01,270.716666666667
"153",2023-01-02,271.820833333333
"154",2023-01-03,272.925
"155",2023-01-04,274.029166666667
"156",2023-01-05,275.133333333333
"157",2023-01-06,276.2375
"158",2023-01-07,277.341666666667
"159",2023-01-08,278.445833333333
"160",2023-01-09,279.55
"161",2023-01-10,280.654166666667
"162",2023-01-11,281.758333333333
"163",2023-01-12,282.8625
"164",2023-01-13,283.966666666667
"165",2023-01-14,285.070833333333
"166",2023-01-15,286.175
"167",2023-01-16,287.279166666667
"168",2023-01-17,288.383333333333
"169",2023-01-18,289.4875
"170",2023-01-19,290.591666666667
"171",2023-01-20,291.695833333333
"172",2023-01-21,292.8
"173",2023-01-22,290.561290322581
"174",2023-01-23,288.322580645161
"175",2023-01-24,286.083870967742
"176",2023-01-25,283.845161290323
"177",2023-01-26,281.606451612903
"178",2023-01-27,279.367741935484
"179",2023-01-28,277.129032258065
"180",2023-01-29,274.890322580645
"181",2023-01-30,272.651612903226
"182",2023-01-31,270.412903225806
"183",2023-02-01,268.174193548387
"184",2023-02-02,265.935483870968
"185",2023-02-03,263.696774193548
"186",2023-02-04,261.458064516129
"187",2023-02-05,259.21935483871
"188",2023-02-06,256.98064516129
"189",2023-02-07,254.741935483871
"190",2023-02-08,252.503225806452
"191",2023-02-09,250.264516129032
"192",2023-02-10,248.025806451613
"193",2023-02-11,245.787096774194
"194",2023-02-12,243.548387096774
"195",2023-02-13,241.309677419355
"196",2023-02-14,239.070967741935
"197",2023-02-15,236.832258064516
"198",2023-02-16,234.593548387097
"199",2023-02-17,232.354838709677
"200",2023-02-18,230.116129032258
"201",2023-02-19,227.877419354839
"202",2023-02-20,225.638709677419
"203",2023-02-21,223.4
"204",2023-02-22,225.055555555556
"205",2023-02-23,226.711111111111
"206",2023-02-24,228.366666666667
"207",2023-02-25,230.022222222222
"208",2023-02-26,231.677777777778
"209",2023-02-27,233.333333333333
"210",2023-02-28,234.988888888889
"211",2023-03-01,236.644444444444
"212",2023-03-02,238.3
"213",2023-03-03,239.955555555556
"214",2023-03-04,241.611111111111
"215",2023-03-05,243.266666666667
"216",2023-03-06,244.922222222222
"217",2023-03-07,246.577777777778
"218",2023-03-08,248.233333333333
"219",2023-03-09,249.888888888889
"220",2023-03-10,251.544444444444
"221",2023-03-11,253.2
"222",2023-03-12,254.855555555556
"223",2023-03-13,256.511111111111
"224",2023-03-14,258.166666666667
"225",2023-03-15,259.822222222222
"226",2023-03-16,261.477777777778
"227",2023-03-17,263.133333333333
"228",2023-03-18,264.788888888889
"229",2023-03-19,266.444444444444
"230",2023-03-20,268.1
"231",2023-03-21,270.725
"232",2023-03-22,273.35
"233",2023-03-23,275.975
"234",2023-03-24,278.6
"235",2023-03-25,281.225
"236",2023-03-26,283.85
"237",2023-03-27,286.475
"238",2023-03-28,289.1
"239",2023-03-29,291.725
"240",2023-03-30,294.35
"241",2023-03-31,296.975
"242",2023-04-01,299.6
"243",2023-04-02,302.225
"244",2023-04-03,304.85
"245",2023-04-04,307.475
"246",2023-04-05,310.1
"247",2023-04-06,312.725
"248",2023-04-07,315.35
"249",2023-04-08,317.975
"250",2023-04-09,320.6
"251",2023-04-10,323.225
"252",2023-04-11,325.85
"253",2023-04-12,328.475
"254",2023-04-13,331.1
"255",2023-04-14,333.725
"256",2023-04-15,336.35
"257",2023-04-16,338.975
"258",2023-04-17,341.6
"259",2023-04-18,340.086956521739
"260",2023-04-19,338.573913043478
"261",2023-04-20,337.060869565217
"262",2023-04-21,335.547826086957
"263",2023-04-22,334.034782608696
"264",2023-04-23,332.521739130435
"265",2023-04-24,331.008695652174
"266",2023-04-25,329.495652173913
"267",2023-04-26,327.982608695652
"268",2023-04-27,326.469565217391
"269",2023-04-28,324.95652173913
"270",2023-04-29,323.44347826087
"271",2023-04-30,321.930434782609
"272",2023-05-01,320.417391304348
"273",2023-05-02,318.904347826087
"274",2023-05-03,317.391304347826
"275",2023-05-04,315.878260869565
"276",2023-05-05,314.365217391304
"277",2023-05-06,312.852173913043
