Plot Title: 20674248_East_Dennis,,,,,,,,
#,Date Time GMT-04:00,"High Range ?S/cm (LGR S/N20674248, SEN S/N20674248)","TempC (LGR S/N: 20674248, SEN S/N: 20674248)",Coupler Detached (LGR S/N: 20674248),,,,
1,6/1/2022 8:00,0,23.44,Logged,,,,
2,6/1/2022 8:15,0,23.2,,,,,
3,6/1/2022 8:30,0,23,,,,,
4,6/1/2022 8:45,0,22.92,,,,,
5,6/1/2022 9:00,0,22.89,,,,,
6,6/1/2022 9:15,0,22.89,,,,,
7,6/1/2022 9:30,0,22.9,,,,,
8,6/1/2022 9:45,0,22.82,,,,,
9,6/1/2022 10:00,0,22.46,,,,,
10,6/1/2022 10:15,0,22.23,,,,,
11,6/1/2022 10:30,0,22.11,,,,,
12,6/1/2022 10:45,0,22.05,,,,,
13,6/1/2022 11:00,0,22.02,,,,,
14,6/1/2022 11:15,0,22.05,,,,,
15,6/1/2022 11:30,0,22.12,,,,,
16,6/1/2022 11:45,0,22.12,,,,,
17,6/1/2022 12:00,0,22.14,,,,,
18,6/1/2022 12:15,0,22.21,,,,,
19,6/1/2022 12:30,0,22.27,,,,,
20,6/1/2022 12:45,0,22.21,,,,,
21,6/1/2022 13:00,0,22.02,,,,,
22,6/1/2022 13:15,0,22.16,,,,,
23,6/1/2022 13:30,0,22.44,,,,,
24,6/1/2022 13:45,0,22.79,,,,,
25,6/1/2022 14:00,0,23.14,,,,,
26,6/1/2022 14:15,0,23.44,,,,,
27,6/1/2022 14:30,0,23.71,,,,,
28,6/1/2022 14:45,0,23.93,,,,,
29,6/1/2022 15:00,0,24.09,,,,,
30,6/1/2022 15:15,0,24.19,,,,,
31,6/1/2022 15:30,0,24.23,,,,,
32,6/1/2022 15:45,0,24.2,,,,,
33,6/1/2022 16:00,0,24.07,,,,,
34,6/1/2022 16:15,0,23.87,,,,,
35,6/1/2022 16:30,0,23.62,,,,,
36,6/1/2022 16:45,0,23.31,,,,,
37,6/1/2022 17:00,0,22.97,,,,,
38,6/1/2022 17:15,0,22.59,,,,,
39,6/1/2022 17:30,0,22.18,,,,,
40,6/1/2022 17:45,0,21.78,,,,,
41,6/1/2022 18:00,0,21.37,,,,,
42,6/1/2022 18:15,0,20.99,,,,,
43,6/1/2022 18:30,0,20.62,,,,,
44,6/1/2022 18:45,0,20.31,,,,,
45,6/1/2022 19:00,0,20,,,,,
46,6/1/2022 19:15,0,19.72,,,,,
47,6/1/2022 19:30,0,19.46,,,,,
48,6/1/2022 19:45,0,19.21,,,,,
49,6/1/2022 20:00,0,18.97,,,,,
50,6/1/2022 20:15,0,18.8,,,,,
51,6/1/2022 20:30,0,18.79,,,,,
52,6/1/2022 20:45,0,18.92,,,,,
53,6/1/2022 21:00,0,19.01,,,,,
54,6/1/2022 21:15,0,19.05,,,,,
55,6/1/2022 21:30,0,19.04,,,,,
56,6/1/2022 21:45,0,18.98,,,,,
57,6/1/2022 22:00,0,18.85,,,,,
58,6/1/2022 22:15,0,18.7,,,,,
59,6/1/2022 22:30,0,18.54,,,,,
60,6/1/2022 22:45,0,18.37,,,,,
61,6/1/2022 23:00,0,18.2,,,,,
62,6/1/2022 23:15,0,18.04,,,,,
63,6/1/2022 23:30,0,17.88,,,,,
64,6/1/2022 23:45,0,17.73,,,,,
65,6/2/2022 0:00,0,17.58,,,,,
66,6/2/2022 0:15,0,17.42,,,,,
67,6/2/2022 0:30,0,17.26,,,,,
68,6/2/2022 0:45,0,17.12,,,,,
69,6/2/2022 1:00,0,16.97,,,,,
70,6/2/2022 1:15,0,16.84,,,,,
71,6/2/2022 1:30,0,16.71,,,,,
72,6/2/2022 1:45,0,16.62,,,,,
73,6/2/2022 2:00,0,16.52,,,,,
74,6/2/2022 2:15,0,16.44,,,,,
75,6/2/2022 2:30,0,16.37,,,,,
76,6/2/2022 2:45,0,16.3,,,,,
77,6/2/2022 3:00,0,16.23,,,,,
78,6/2/2022 3:15,0,16.19,,,,,
79,6/2/2022 3:30,0,16.12,,,,,
80,6/2/2022 3:45,0,16.06,,,,,
81,6/2/2022 4:00,0,15.99,,,,,
82,6/2/2022 4:15,0,15.92,,,,,
83,6/2/2022 4:30,0,15.84,,,,,
84,6/2/2022 4:45,0,15.77,,,,,
85,6/2/2022 5:00,0,15.7,,,,,
86,6/2/2022 5:15,0,15.65,,,,,
87,6/2/2022 5:30,0,15.6,,,,,
88,6/2/2022 5:45,0,15.55,,,,,
89,6/2/2022 6:00,0,15.51,,,,,
90,6/2/2022 6:15,0,15.49,,,,,
91,6/2/2022 6:30,0,15.49,,,,,
92,6/2/2022 6:45,0,15.93,,,,,
93,6/2/2022 7:00,0,16.87,,,,,
94,6/2/2022 7:15,0,17.94,,,,,
95,6/2/2022 7:30,0,18.85,,,,,
96,6/2/2022 7:45,0,19.43,,,,,
97,6/2/2022 8:00,0,19.67,,,,,
98,6/2/2022 8:15,0,19.56,,,,,
99,6/2/2022 8:30,0,19.47,,,,,
100,6/2/2022 8:45,0,19.39,,,,,
101,6/2/2022 9:00,0,19.3,,,,,
102,6/2/2022 9:15,0,19.23,,,,,
103,6/2/2022 9:30,0,19.18,,,,,
104,6/2/2022 9:45,0,19.04,,,,,
105,6/2/2022 10:00,0,19.01,,,,,
106,6/2/2022 10:15,0,19.13,,,,,
107,6/2/2022 10:30,0,18.88,,,,,
108,6/2/2022 10:45,0,18.92,,,,,
109,6/2/2022 11:00,0,19.13,,,,,
110,6/2/2022 11:15,0,19.41,,,,,
111,6/2/2022 11:30,0,20.02,,,,,
112,6/2/2022 11:45,0,20.48,,,,,
113,6/2/2022 12:00,0,20.96,,,,,
114,6/2/2022 12:15,0,21.42,,,,,
115,6/2/2022 12:30,0,21.64,,,,,
116,6/2/2022 12:45,0,21.72,,,,,
117,6/2/2022 13:00,0,21.76,,,,,
118,6/2/2022 13:15,0,21.9,,,,,
119,6/2/2022 13:30,0,22.16,,,,,
120,6/2/2022 13:45,0,22.4,,,,,
121,6/2/2022 14:00,0,22.61,,,,,
122,6/2/2022 14:15,0,22.78,,,,,
123,6/2/2022 14:30,0,22.92,,,,,
124,6/2/2022 14:45,0,23.05,,,,,
125,6/2/2022 15:00,0,23.21,,,,,
126,6/2/2022 15:15,0,23.35,,,,,
127,6/2/2022 15:30,0,23.46,,,,,
128,6/2/2022 15:45,0,23.58,,,,,
129,6/2/2022 16:00,0,23.8,,,,,
130,6/2/2022 16:15,0,23.98,,,,,
131,6/2/2022 16:30,0,24.13,,,,,
