"Plot Title: 20674248_Eel"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20674248, SEN S/N: 20674248)","High Range, μS/cm (LGR S/N: 20674248, SEN S/N: 20674248)","Temp, °C (LGR S/N: 20674248, SEN S/N: 20674248)","Coupler Detached (LGR S/N: 20674248)","Coupler Attached (LGR S/N: 20674248)","Host Connected (LGR S/N: 20674248)","Stopped (LGR S/N: 20674248)","End Of File (LGR S/N: 20674248)"
1,09/26/22 06:00:00 AM,0.0,0.0,20.69,Logged,,,,
2,09/26/22 06:15:00 AM,0.0,0.0,20.64,,,,,
3,09/26/22 06:30:00 AM,0.0,0.0,20.64,,,,,
4,09/26/22 06:45:00 AM,0.0,0.0,20.65,,,,,
5,09/26/22 07:00:00 AM,0.0,0.0,20.64,,,,,
6,09/26/22 07:15:00 AM,0.0,0.0,20.62,,,,,
7,09/26/22 07:30:00 AM,0.0,0.0,20.60,,,,,
8,09/26/22 07:45:00 AM,0.0,0.0,20.57,,,,,
9,09/26/22 08:00:00 AM,0.0,0.0,20.57,,,,,
10,09/26/22 08:15:00 AM,0.0,0.0,20.59,,,,,
11,09/26/22 08:30:00 AM,0.0,0.0,20.64,,,,,
12,09/26/22 08:45:00 AM,0.0,0.0,20.69,,,,,
13,09/26/22 09:00:00 AM,0.0,0.0,21.80,,,,,
14,09/26/22 09:15:00 AM,0.0,0.0,22.60,,,,,
15,09/26/22 09:30:00 AM,0.0,0.0,25.16,,,,,
16,09/26/22 09:45:00 AM,0.0,0.0,27.20,,,,,
17,09/26/22 10:00:00 AM,0.0,0.0,28.94,,,,,
18,09/26/22 10:15:00 AM,0.0,0.0,28.72,,,,,
19,09/26/22 10:30:00 AM,0.0,0.0,27.51,,,,,
20,09/26/22 10:45:00 AM,0.0,0.0,27.55,,,,,
21,09/26/22 11:00:00 AM,0.0,0.0,25.93,,,,,
22,09/26/22 11:15:00 AM,0.0,0.0,24.83,,,,,
23,09/26/22 11:30:00 AM,0.0,0.0,24.09,,,,,
24,09/26/22 11:45:00 AM,0.0,0.0,23.73,,,,,
25,09/26/22 12:00:00 PM,0.0,0.0,24.42,,,,,
26,09/26/22 12:15:00 PM,0.0,0.0,24.66,,,,,
27,09/26/22 12:30:00 PM,0.0,0.0,24.78,,,,,
28,09/26/22 12:45:00 PM,0.0,0.0,24.85,,,,,
29,09/26/22 01:00:00 PM,0.0,0.0,24.91,,,,,
30,09/26/22 01:15:00 PM,0.0,0.0,24.93,,,,,
31,09/26/22 01:30:00 PM,0.0,0.0,24.84,,,,,
