"Plot Title: 21446049_Ptown"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 21446049, SEN S/N: 21446049)","High Range, μS/cm (LGR S/N: 21446049, SEN S/N: 21446049)","Temp, °C (LGR S/N: 21446049, SEN S/N: 21446049)","Coupler Detached (LGR S/N: 21446049)","Coupler Attached (LGR S/N: 21446049)","Host Connected (LGR S/N: 21446049)","Stopped (LGR S/N: 21446049)","End Of File (LGR S/N: 21446049)"
1,09/26/22 06:00:00 AM,0.0,0.0,20.41,Logged,,,,
2,09/26/22 06:15:00 AM,0.0,0.0,20.35,,,,,
3,09/26/22 06:30:00 AM,0.0,0.0,20.36,,,,,
4,09/26/22 06:45:00 AM,0.0,0.0,20.36,,,,,
5,09/26/22 07:00:00 AM,0.0,0.0,20.33,,,,,
6,09/26/22 07:15:00 AM,0.0,0.0,20.32,,,,,
7,09/26/22 07:30:00 AM,0.0,0.0,20.29,,,,,
8,09/26/22 07:45:00 AM,0.0,0.0,20.27,,,,,
9,09/26/22 08:00:00 AM,0.0,0.0,20.27,,,,,
10,09/26/22 08:15:00 AM,0.0,0.0,20.28,,,,,
11,09/26/22 08:30:00 AM,0.0,0.0,20.32,,,,,
12,09/26/22 08:45:00 AM,0.0,0.0,20.36,,,,,
13,09/26/22 09:00:00 AM,0.0,0.0,21.23,,,,,
14,09/26/22 09:15:00 AM,0.0,0.0,24.34,,,,,
15,09/26/22 09:30:00 AM,0.0,0.0,26.52,,,,,
16,09/26/22 09:45:00 AM,0.0,0.0,28.06,,,,,
17,09/26/22 10:00:00 AM,0.0,0.0,30.97,,,,,
18,09/26/22 10:15:00 AM,0.0,0.0,30.45,,,,,
19,09/26/22 10:30:00 AM,0.0,0.0,29.09,,,,,
20,09/26/22 10:45:00 AM,0.0,0.0,27.60,,,,,
21,09/26/22 11:00:00 AM,0.0,0.0,25.44,,,,,
22,09/26/22 11:15:00 AM,0.0,0.0,24.21,,,,,
23,09/26/22 11:30:00 AM,0.0,0.0,23.51,,,,,
24,09/26/22 11:45:00 AM,0.0,0.0,23.13,,,,,
25,09/26/22 12:00:00 PM,0.0,0.0,23.98,,,,,
26,09/26/22 12:15:00 PM,0.0,0.0,24.21,,,,,
27,09/26/22 12:30:00 PM,0.0,0.0,24.31,,,,,
28,09/26/22 12:45:00 PM,0.0,0.0,24.39,,,,,
29,09/26/22 01:00:00 PM,0.0,0.0,24.41,,,,,
30,09/26/22 01:15:00 PM,0.0,0.0,24.40,,,,,
31,09/26/22 01:30:00 PM,0.0,0.0,24.31,,,,,
32,09/26/22 01:45:00 PM,0.0,0.0,24.18,,,,,
33,09/26/22 02:00:00 PM,0.0,0.0,24.07,,,,,
34,09/26/22 02:15:00 PM,0.0,0.0,23.98,,,,,
35,09/26/22 02:30:00 PM,0.0,0.0,23.89,,,,,
36,09/26/22 02:45:00 PM,0.0,0.0,23.84,,,,,
37,09/26/22 03:00:00 PM,0.0,0.0,23.80,,,,,
38,09/26/22 03:15:00 PM,0.0,0.0,23.76,,,,,
