#,Date-Time (EDT),Ch: 1 - Temperature   (°C ),Ch: 2 - Millivolts   (mv),Ch: 3 - pH   (pH),Button Down,Button Up,Host Connected,End of File
1,08/04/2022 09:00:00,23.91,180.19,3.60,,,,
2,08/04/2022 09:15:00,24.85,180.54,3.60,,,,
3,08/04/2022 09:30:00,26.18,181.01,3.61,,,,
4,08/04/2022 09:45:00,25.21,-77.55,8.18,,,,
5,08/04/2022 10:00:00,25.16,-78.10,8.19,,,,
6,08/04/2022 10:15:00,25.48,-79.74,8.22,,,,
7,08/04/2022 10:30:00,25.96,-80.03,8.22,,,,
8,08/04/2022 10:45:00,26.55,-78.60,8.19,,,,
9,08/04/2022 11:00:00,27.19,-79.02,8.20,,,,
10,08/04/2022 11:15:00,27.92,-80.10,8.21,,,,
11,08/04/2022 11:30:00,28.92,-78.14,8.17,,,,
12,08/04/2022 11:45:00,29.19,-76.56,8.15,,,,
13,08/04/2022 12:00:00,29.51,-73.49,8.09,,,,
14,08/04/2022 12:15:00,28.39,-75.00,8.12,,,,
15,08/04/2022 12:30:00,26.06,-73.46,8.10,,,,
16,08/04/2022 12:45:00,25.62,-73.35,8.10,,,,
17,08/04/2022 13:00:00,26.28,-74.10,8.11,,,,
18,08/04/2022 13:15:00,25.82,-73.69,8.11,,,,
19,08/04/2022 13:30:00,25.06,-72.25,8.09,,,,
20,08/04/2022 13:45:00,24.97,-72.06,8.08,,,,
21,08/04/2022 14:00:00,24.90,-71.85,8.08,,,,
22,08/04/2022 14:15:00,24.53,-71.50,8.07,,,,
23,08/04/2022 14:30:00,25.02,-71.85,8.08,,,,
24,08/04/2022 14:45:00,24.27,-70.49,8.06,,,,
25,08/04/2022 15:00:00,23.59,-69.33,8.04,,,,
26,08/04/2022 15:15:00,23.09,-69.91,8.05,,,,
27,08/04/2022 15:30:00,22.87,-69.71,8.05,,,,
28,08/04/2022 15:45:00,22.85,-69.55,8.05,,,,
29,08/04/2022 16:00:00,22.87,-70.06,8.05,,,,
30,08/04/2022 16:15:00,22.92,-70.25,8.06,,,,
31,08/04/2022 16:30:00,22.70,-71.11,8.07,,,,
32,08/04/2022 16:45:00,22.80,-71.35,8.08,,,,
33,08/04/2022 17:00:00,22.92,-71.61,8.08,,,,
34,08/04/2022 17:15:00,22.85,-72.06,8.09,,,,
35,08/04/2022 17:30:00,21.65,-71.77,8.09,,,,
36,08/04/2022 17:45:00,20.65,-72.02,8.10,,,,
37,08/04/2022 18:00:00,20.44,-72.17,8.10,,,,
38,08/04/2022 18:15:00,20.27,-72.52,8.11,,,,
39,08/04/2022 18:30:00,20.17,-72.75,8.11,,,,
40,08/04/2022 18:45:00,20.15,-73.19,8.12,,,,
41,08/04/2022 19:00:00,20.25,-73.25,8.12,,,,
42,08/04/2022 19:15:00,20.34,-73.19,8.12,,,,
43,08/04/2022 19:30:00,20.39,-73.10,8.12,,,,
44,08/04/2022 19:45:00,20.44,-72.78,8.11,,,,
45,08/04/2022 20:00:00,20.56,-72.60,8.11,,,,
46,08/04/2022 20:15:00,20.82,-72.60,8.11,,,,
47,08/04/2022 20:30:00,22.68,-72.02,8.09,,,,
48,08/04/2022 20:45:00,23.57,-71.72,8.08,,,,
49,08/04/2022 21:00:00,24.00,-71.25,8.07,,,,
50,08/04/2022 21:15:00,24.34,-69.88,8.05,,,,
51,08/04/2022 21:30:00,24.41,-68.74,8.03,,,,
52,08/04/2022 21:45:00,24.39,-66.89,7.99,,,,
53,08/04/2022 22:00:00,24.17,-60.77,7.88,,,,
54,08/04/2022 22:15:00,24.10,-60.78,7.89,,,,
55,08/04/2022 22:30:00,24.07,-60.25,7.88,,,,
56,08/04/2022 22:45:00,24.00,-59.25,7.86,,,,
57,08/04/2022 23:00:00,23.91,-58.25,7.84,,,,
58,08/04/2022 23:15:00,23.81,-57.02,7.82,,,,
59,08/04/2022 23:30:00,23.71,-55.30,7.79,,,,
60,08/04/2022 23:45:00,23.59,-51.77,7.73,,,,
61,08/05/2022 00:00:00,23.52,-51.03,7.71,,,,
62,08/05/2022 00:15:00,23.54,-50.81,7.71,,,,
63,08/05/2022 00:30:00,23.79,-51.00,7.71,,,,
64,08/05/2022 00:45:00,23.93,-54.50,7.77,,,,
65,08/05/2022 01:00:00,23.04,-63.77,7.94,,,,
66,08/05/2022 01:15:00,22.15,-66.86,8.00,,,,
67,08/05/2022 01:30:00,22.06,-66.55,7.99,,,,
68,08/05/2022 01:45:00,22.01,-66.78,8.00,,,,
69,08/05/2022 02:00:00,22.11,-66.13,7.99,,,,
70,08/05/2022 02:15:00,21.82,-67.69,8.02,,,,
71,08/05/2022 02:30:00,21.91,-66.60,8.00,,,,
72,08/05/2022 02:45:00,21.60,-67.78,8.02,,,,
73,08/05/2022 03:00:00,21.39,-67.88,8.02,,,,
74,08/05/2022 03:15:00,21.25,-67.75,8.02,,,,
75,08/05/2022 03:30:00,21.17,-67.35,8.01,,,,
76,08/05/2022 03:45:00,21.10,-67.69,8.02,,,,
77,08/05/2022 04:00:00,21.03,-67.28,8.01,,,,
78,08/05/2022 04:15:00,21.06,-67.41,8.01,,,,
79,08/05/2022 04:30:00,21.03,-66.39,8.00,,,,
80,08/05/2022 04:45:00,21.01,-67.06,8.01,,,,
81,08/05/2022 05:00:00,21.01,-66.89,8.00,,,,
82,08/05/2022 05:15:00,21.06,-67.56,8.02,,,,
83,08/05/2022 05:30:00,21.01,-67.60,8.02,,,,
84,08/05/2022 05:45:00,21.01,-67.61,8.02,,,,
85,08/05/2022 06:00:00,20.98,-67.86,8.02,,,,
86,08/05/2022 06:15:00,20.98,-67.67,8.02,,,,
87,08/05/2022 06:30:00,21.06,-67.77,8.02,,,,
88,08/05/2022 06:45:00,21.08,-67.63,8.02,,,,
89,08/05/2022 07:00:00,21.08,-67.41,8.01,,,,
90,08/05/2022 07:15:00,21.08,-67.53,8.02,,,,
91,08/05/2022 07:30:00,21.13,-67.17,8.01,,,,
92,08/05/2022 07:45:00,21.15,-67.17,8.01,,,,
93,08/05/2022 08:00:00,21.22,-67.13,8.01,,,,
94,08/05/2022 08:15:00,21.29,-67.63,8.02,,,,
95,08/05/2022 08:30:00,21.39,-67.50,8.01,,,,
96,08/05/2022 08:45:00,21.53,-66.72,8.00,,,,
97,08/05/2022 09:00:00,21.75,-66.00,7.99,,,,
98,08/05/2022 09:15:00,21.99,-66.88,8.00,,,,
99,08/05/2022 09:30:00,22.35,-66.94,8.00,,,,
100,08/05/2022 09:45:00,22.70,-67.85,8.02,,,,
101,08/05/2022 10:00:00,23.23,-69.03,8.03,,,,
102,08/05/2022 10:15:00,24.70,-75.83,8.15,,,,
103,08/05/2022 10:30:00,25.57,-77.52,8.18,,,,
104,08/05/2022 10:45:00,25.96,-77.99,8.18,,,,
105,08/05/2022 11:00:00,26.33,-78.85,8.20,,,,
106,08/05/2022 11:15:00,26.70,-77.92,8.18,,,,
107,08/05/2022 11:30:00,27.21,-77.47,8.17,,,,
108,08/05/2022 11:45:00,27.70,-77.14,8.16,,,,
109,08/05/2022 12:00:00,28.30,-77.50,8.17,,,,
110,08/05/2022 12:15:00,29.24,-75.91,8.13,,,,
111,08/05/2022 12:30:00,29.19,-74.86,8.12,,,,
112,08/05/2022 12:45:00,29.16,-73.85,8.10,,,,
113,08/05/2022 13:00:00,29.04,-72.50,8.08,,,,
114,08/05/2022 13:15:00,26.08,-72.00,8.08,,,,
115,08/05/2022 13:30:00,24.90,-71.21,8.07,,,,
116,08/05/2022 13:45:00,25.65,-74.33,8.12,,,,
117,08/05/2022 14:00:00,24.70,-72.42,8.09,,,,
118,08/05/2022 14:15:00,23.47,-70.38,8.06,,,,
119,08/05/2022 14:30:00,22.97,-70.11,8.06,,,,
120,08/05/2022 14:45:00,22.61,-69.83,8.05,,,,
121,08/05/2022 15:00:00,22.73,-69.61,8.05,,,,
122,08/05/2022 15:15:00,22.75,-69.47,8.04,,,,
123,08/05/2022 15:30:00,22.92,-70.56,8.06,,,,
124,08/05/2022 15:45:00,22.68,-70.60,8.06,,,,
125,08/05/2022 16:00:00,22.30,-69.69,8.05,,,,
126,08/05/2022 16:15:00,22.06,-69.86,8.05,,,,
127,08/05/2022 16:30:00,21.96,-70.17,8.06,,,,
128,08/05/2022 16:45:00,21.89,-69.78,8.05,,,,
129,08/05/2022 17:00:00,21.89,-69.61,8.05,,,,
130,08/05/2022 17:15:00,21.84,-69.63,8.05,,,,
131,08/05/2022 17:30:00,21.84,-69.69,8.05,,,,
132,08/05/2022 17:45:00,21.82,-69.77,8.05,,,,
133,08/05/2022 18:00:00,21.72,-69.61,8.05,,,,
134,08/05/2022 18:15:00,21.56,-69.53,8.05,,,,
135,08/05/2022 18:30:00,21.53,-69.60,8.05,,,,
136,08/05/2022 18:45:00,21.94,-70.25,8.06,,,,
137,08/05/2022 19:00:00,22.42,-70.94,8.07,,,,
138,08/05/2022 19:15:00,22.56,-70.96,8.07,,,,
139,08/05/2022 19:30:00,22.63,-70.89,8.07,,,,
140,08/05/2022 19:45:00,22.68,-70.91,8.07,,,,
141,08/05/2022 20:00:00,22.63,-70.75,8.07,,,,
142,08/05/2022 20:15:00,22.66,-70.64,8.07,,,,
