#,Date-Time (EDT),Ch: 1 - Temperature   (°C ),Ch: 2 - Millivolts   (mv),Ch: 3 - pH   (pH),Host Connected,Button Down,Button Up,End of File
1,06/14/2022 21:26:05,,,,Logged,,,
2,06/16/2022 08:00:00,17.53,177.04,3.70,,,,
3,06/16/2022 08:15:00,17.77,177.05,3.70,,,,
4,06/16/2022 08:30:00,17.94,177.04,3.70,,,,
5,06/16/2022 08:45:00,18.13,177.05,3.70,,,,
6,06/16/2022 09:00:00,18.27,177.02,3.71,,,,
7,06/16/2022 09:15:00,18.68,177.27,3.71,,,,
8,06/16/2022 09:30:00,21.06,-63.49,8.00,,,,
9,06/16/2022 09:45:00,21.15,-64.14,8.01,,,,
10,06/16/2022 10:00:00,21.13,-64.33,8.01,,,,
11,06/16/2022 10:15:00,21.17,-64.58,8.02,,,,
12,06/16/2022 10:30:00,21.15,-64.77,8.02,,,,
13,06/16/2022 10:45:00,21.13,-64.67,8.02,,,,
14,06/16/2022 11:00:00,21.15,-64.56,8.02,,,,
15,06/16/2022 11:15:00,21.13,-64.38,8.01,,,,
16,06/16/2022 11:30:00,21.17,-64.75,8.02,,,,
17,06/16/2022 11:45:00,21.17,-64.69,8.02,,,,
18,06/16/2022 12:00:00,21.17,-64.77,8.02,,,,
19,06/16/2022 12:15:00,21.17,-64.72,8.02,,,,
20,06/16/2022 12:30:00,21.34,-64.89,8.02,,,,
21,06/16/2022 12:45:00,21.56,-65.19,8.03,,,,
22,06/16/2022 13:00:00,21.89,-65.67,8.03,,,,
23,06/16/2022 13:15:00,21.99,-65.77,8.03,,,,
24,06/16/2022 13:30:00,21.56,-65.85,8.04,,,,
25,06/16/2022 13:45:00,21.60,-66.78,8.05,,,,
26,06/16/2022 14:00:00,21.70,-68.11,8.08,,,,
27,06/16/2022 14:15:00,21.68,-67.13,8.06,,,,
28,06/16/2022 14:30:00,21.77,-67.61,8.07,,,,
29,06/16/2022 14:45:00,21.68,-67.61,8.07,,,,
30,06/16/2022 15:00:00,21.65,-67.22,8.06,,,,
31,06/16/2022 15:15:00,21.63,-67.27,8.06,,,,
32,06/16/2022 15:30:00,21.72,-67.96,8.07,,,,
33,06/16/2022 15:45:00,21.80,-68.63,8.09,,,,
34,06/16/2022 16:00:00,21.84,-67.94,8.07,,,,
35,06/16/2022 16:15:00,21.75,-67.53,8.07,,,,
36,06/16/2022 16:30:00,21.80,-67.69,8.07,,,,
37,06/16/2022 16:45:00,21.84,-67.69,8.07,,,,
38,06/16/2022 17:00:00,21.82,-67.42,8.06,,,,
39,06/16/2022 17:15:00,21.87,-67.19,8.06,,,,
40,06/16/2022 17:30:00,21.89,-66.86,8.05,,,,
41,06/16/2022 17:45:00,21.87,-66.71,8.05,,,,
42,06/16/2022 18:00:00,21.89,-66.42,8.05,,,,
43,06/16/2022 18:15:00,21.91,-66.28,8.04,,,,
44,06/16/2022 18:30:00,21.91,-65.83,8.04,,,,
45,06/16/2022 18:45:00,21.96,-65.38,8.03,,,,
46,06/16/2022 19:00:00,21.96,-65.25,8.03,,,,
47,06/16/2022 19:15:00,21.99,-65.14,8.02,,,,
48,06/16/2022 19:30:00,21.96,-64.81,8.02,,,,
49,06/16/2022 19:45:00,21.96,-64.30,8.01,,,,
50,06/16/2022 20:00:00,21.89,-64.28,8.01,,,,
51,06/16/2022 20:15:00,21.87,-64.46,8.01,,,,
52,06/16/2022 20:30:00,21.94,-65.52,8.03,,,,
53,06/16/2022 20:45:00,21.37,-66.97,8.06,,,,
54,06/16/2022 21:00:00,21.15,-67.39,8.07,,,,
55,06/16/2022 21:15:00,21.03,-64.75,8.02,,,,
56,06/16/2022 21:30:00,21.03,-65.39,8.03,,,,
57,06/16/2022 21:45:00,20.98,-65.16,8.03,,,,
58,06/16/2022 22:00:00,20.94,-64.61,8.02,,,,
59,06/16/2022 22:15:00,20.89,-64.31,8.01,,,,
60,06/16/2022 22:30:00,20.89,-64.66,8.02,,,,
61,06/16/2022 22:45:00,20.86,-64.44,8.02,,,,
62,06/16/2022 23:00:00,20.82,-64.13,8.01,,,,
63,06/16/2022 23:15:00,20.77,-63.69,8.00,,,,
64,06/16/2022 23:30:00,20.72,-63.47,8.00,,,,
65,06/16/2022 23:45:00,20.70,-63.55,8.00,,,,
66,06/17/2022 00:00:00,20.72,-63.89,8.01,,,,
67,06/17/2022 00:15:00,20.72,-63.94,8.01,,,,
68,06/17/2022 00:30:00,20.67,-63.91,8.01,,,,
69,06/17/2022 00:45:00,20.63,-63.77,8.00,,,,
70,06/17/2022 01:00:00,20.58,-63.86,8.01,,,,
71,06/17/2022 01:15:00,20.53,-63.74,8.00,,,,
72,06/17/2022 01:30:00,20.48,-63.83,8.01,,,,
73,06/17/2022 01:45:00,20.41,-63.75,8.00,,,,
74,06/17/2022 02:00:00,20.36,-63.39,8.00,,,,
75,06/17/2022 02:15:00,20.32,-63.27,8.00,,,,
76,06/17/2022 02:30:00,20.36,-63.06,7.99,,,,
77,06/17/2022 02:45:00,20.41,-62.99,7.99,,,,
78,06/17/2022 03:00:00,20.46,-63.03,7.99,,,,
79,06/17/2022 03:15:00,20.46,-63.00,7.99,,,,
80,06/17/2022 03:30:00,20.46,-62.50,7.98,,,,
81,06/17/2022 03:45:00,20.44,-62.10,7.97,,,,
82,06/17/2022 04:00:00,20.36,-61.92,7.97,,,,
83,06/17/2022 04:15:00,20.39,-62.27,7.98,,,,
84,06/17/2022 04:30:00,20.36,-61.97,7.97,,,,
85,06/17/2022 04:45:00,20.27,-61.71,7.97,,,,
86,06/17/2022 05:00:00,20.29,-61.39,7.96,,,,
87,06/17/2022 05:15:00,20.22,-61.60,7.97,,,,
88,06/17/2022 05:30:00,20.27,-61.19,7.96,,,,
89,06/17/2022 05:45:00,20.29,-61.20,7.96,,,,
90,06/17/2022 06:00:00,20.36,-61.02,7.96,,,,
91,06/17/2022 06:15:00,20.41,-60.67,7.95,,,,
92,06/17/2022 06:30:00,20.44,-59.95,7.94,,,,
93,06/17/2022 06:45:00,20.51,-59.27,7.92,,,,
94,06/17/2022 07:00:00,20.58,-58.89,7.92,,,,
95,06/17/2022 07:15:00,20.70,-58.49,7.91,,,,
96,06/17/2022 07:30:00,20.82,-58.06,7.90,,,,
97,06/17/2022 07:45:00,20.94,-57.66,7.89,,,,
98,06/17/2022 08:00:00,21.08,-57.25,7.89,,,,
99,06/17/2022 08:15:00,21.22,-56.86,7.88,,,,
100,06/17/2022 08:30:00,21.29,-56.64,7.88,,,,
101,06/17/2022 08:45:00,21.37,-56.66,7.88,,,,
102,06/17/2022 09:00:00,21.39,-56.72,7.88,,,,
103,06/17/2022 09:15:00,21.44,-58.85,7.91,,,,
104,06/17/2022 09:30:00,21.44,-58.14,7.90,,,,
105,06/17/2022 09:45:00,21.20,-57.27,7.89,,,,
106,06/17/2022 10:00:00,20.86,-59.94,7.94,,,,
107,06/17/2022 10:15:00,20.67,-60.64,7.95,,,,
108,06/17/2022 10:30:00,20.63,-61.06,7.96,,,,
109,06/17/2022 10:45:00,20.58,-61.03,7.96,,,,
110,06/17/2022 11:00:00,20.56,-60.58,7.95,,,,
111,06/17/2022 11:15:00,20.58,-61.10,7.96,,,,
112,06/17/2022 11:30:00,20.58,-61.52,7.96,,,,
113,06/17/2022 11:45:00,20.58,-61.64,7.97,,,,
114,06/17/2022 12:00:00,20.53,-61.75,7.97,,,,
115,06/17/2022 12:15:00,20.56,-61.80,7.97,,,,
116,06/17/2022 12:30:00,20.56,-61.86,7.97,,,,
117,06/17/2022 12:45:00,20.56,-62.05,7.97,,,,
118,06/17/2022 13:00:00,20.51,-62.17,7.98,,,,
119,06/17/2022 13:15:00,20.56,-62.46,7.98,,,,
120,06/17/2022 13:30:00,20.70,-62.64,7.98,,,,
121,06/17/2022 13:45:00,20.67,-63.05,7.99,,,,
122,06/17/2022 14:00:00,20.67,-63.19,7.99,,,,
123,06/17/2022 14:15:00,20.77,-63.21,7.99,,,,
124,06/17/2022 14:30:00,20.75,-63.24,7.99,,,,
125,06/17/2022 14:45:00,20.75,-64.24,8.01,,,,
126,06/17/2022 15:00:00,20.60,-63.88,8.01,,,,
127,06/17/2022 15:15:00,20.63,-64.14,8.01,,,,
128,06/17/2022 15:30:00,20.48,-63.66,8.00,,,,
129,06/17/2022 15:45:00,20.51,-63.64,8.00,,,,
130,06/17/2022 16:00:00,20.51,-63.61,8.00,,,,
131,06/17/2022 16:15:00,20.53,-63.66,8.00,,,,
132,06/17/2022 16:30:00,20.53,-63.63,8.00,,,,
133,06/17/2022 16:45:00,20.58,-63.89,8.01,,,,
134,06/17/2022 17:00:00,20.58,-63.86,8.01,,,,
135,06/17/2022 17:15:00,20.82,-64.14,8.01,,,,
136,06/17/2022 17:30:00,20.70,-63.86,8.01,,,,
137,06/17/2022 17:45:00,20.70,-63.72,8.00,,,,
138,06/17/2022 18:00:00,20.75,-63.35,8.00,,,,
139,06/17/2022 18:15:00,20.77,-63.25,7.99,,,,
140,06/17/2022 18:30:00,20.84,-62.80,7.99,,,,
141,06/17/2022 18:45:00,20.89,-62.52,7.98,,,,
142,06/17/2022 19:00:00,20.98,-62.42,7.98,,,,
143,06/17/2022 19:15:00,21.03,-61.97,7.97,,,,
144,06/17/2022 19:30:00,21.06,-61.69,7.97,,,,
145,06/17/2022 19:45:00,21.08,-61.22,7.96,,,,
146,06/17/2022 20:00:00,21.13,-60.89,7.95,,,,
147,06/17/2022 20:15:00,21.17,-60.86,7.95,,,,
148,06/17/2022 20:30:00,21.22,-60.30,7.94,,,,
149,06/17/2022 20:45:00,21.27,-59.89,7.93,,,,
150,06/17/2022 21:00:00,21.27,-59.45,7.93,,,,
151,06/17/2022 21:15:00,21.25,-59.20,7.92,,,,
152,06/17/2022 21:30:00,21.22,-61.67,7.96,,,,
153,06/17/2022 21:45:00,20.79,-61.75,7.97,,,,
154,06/17/2022 22:00:00,20.72,-62.19,7.98,,,,
155,06/17/2022 22:15:00,20.67,-62.75,7.99,,,,
156,06/17/2022 22:30:00,20.63,-62.50,7.98,,,,
157,06/17/2022 22:45:00,20.56,-62.06,7.97,,,,
158,06/17/2022 23:00:00,20.53,-61.72,7.97,,,,
159,06/17/2022 23:15:00,20.48,-61.52,7.96,,,,
160,06/17/2022 23:30:00,20.44,-61.33,7.96,,,,
161,06/17/2022 23:45:00,20.41,-61.69,7.97,,,,
162,06/18/2022 00:00:00,20.39,-61.47,7.96,,,,
163,06/18/2022 00:15:00,20.34,-61.27,7.96,,,,
164,06/18/2022 00:30:00,20.32,-60.99,7.96,,,,
165,06/18/2022 00:45:00,20.25,-60.91,7.95,,,,
166,06/18/2022 01:00:00,20.27,-61.06,7.96,,,,
167,06/18/2022 01:15:00,20.27,-61.31,7.96,,,,
168,06/18/2022 01:30:00,20.27,-61.16,7.96,,,,
169,06/18/2022 01:45:00,20.25,-61.16,7.96,,,,
170,06/18/2022 02:00:00,20.20,-61.35,7.96,,,,
171,06/18/2022 02:15:00,20.20,-61.00,7.96,,,,
172,06/18/2022 02:30:00,20.17,-60.86,7.95,,,,
173,06/18/2022 02:45:00,20.15,-60.85,7.95,,,,
174,06/18/2022 03:00:00,20.15,-60.35,7.94,,,,
175,06/18/2022 03:15:00,20.13,-60.81,7.95,,,,
176,06/18/2022 03:30:00,20.15,-60.50,7.95,,,,
177,06/18/2022 03:45:00,20.17,-60.24,7.94,,,,
178,06/18/2022 04:00:00,20.17,-59.85,7.94,,,,
179,06/18/2022 04:15:00,20.20,-59.50,7.93,,,,
180,06/18/2022 04:30:00,20.13,-59.77,7.93,,,,
181,06/18/2022 04:45:00,20.08,-59.36,7.93,,,,
182,06/18/2022 05:00:00,20.06,-59.22,7.93,,,,
183,06/18/2022 05:15:00,20.03,-58.86,7.92,,,,
184,06/18/2022 05:30:00,20.06,-59.08,7.92,,,,
185,06/18/2022 05:45:00,20.03,-58.99,7.92,,,,
186,06/18/2022 06:00:00,20.03,-58.91,7.92,,,,
187,06/18/2022 06:15:00,20.03,-58.69,7.92,,,,
188,06/18/2022 06:30:00,20.01,-58.08,7.90,,,,
189,06/18/2022 06:45:00,20.01,-58.16,7.91,,,,
190,06/18/2022 07:00:00,20.13,-58.17,7.91,,,,
191,06/18/2022 07:15:00,20.17,-57.94,7.90,,,,
192,06/18/2022 07:30:00,20.22,-57.56,7.90,,,,
