#,Date-Time (EDT),Ch:1 - Temperature   (°C),Ch:2 - Millivolts   (mv),Ch:3 - pH   (pH),Button Down,Button Up,Host Connected,End of File
1,05/08/2023 06:52:33,,,,Logged,,,
2,05/08/2023 06:52:35,,,,,Logged,,
3,05/08/2023 06:55:09,,,,Logged,,Logged,
4,05/08/2023 06:55:10,,,,,Logged,,
5,05/08/2023 07:00:00,16.11,-101.69,8.31,,,,
6,05/08/2023 07:15:00,16.70,-89.83,8.09,,,,
7,05/08/2023 07:30:00,15.39,-81.31,7.95,,,,
8,05/08/2023 07:45:00,15.39,-81.66,7.95,,,,
9,05/08/2023 08:00:00,15.49,-81.77,7.96,,,,
10,05/08/2023 08:15:00,15.56,-81.96,7.96,,,,
11,05/08/2023 08:30:00,15.60,-81.77,7.95,,,,
12,05/08/2023 08:45:00,15.82,-81.72,7.95,,,,
13,05/08/2023 09:00:00,16.22,-81.31,7.94,,,,
14,05/08/2023 09:15:00,16.01,-81.31,7.95,,,,
15,05/08/2023 09:30:00,15.10,-83.80,7.99,,,,
16,05/08/2023 09:45:00,14.89,-84.35,8.00,,,,
17,05/08/2023 10:00:00,14.84,-84.50,8.01,,,,
18,05/08/2023 10:15:00,14.86,-84.75,8.01,,,,
19,05/08/2023 10:30:00,14.89,-85.22,8.02,,,,
20,05/08/2023 10:45:00,14.86,-85.30,8.02,,,,
21,05/08/2023 11:00:00,14.91,-85.32,8.02,,,,
22,05/08/2023 11:15:00,14.91,-85.39,8.02,,,,
23,05/08/2023 11:30:00,14.98,-85.46,8.02,,,,
24,05/08/2023 11:45:00,15.01,-85.63,8.03,,,,
25,05/08/2023 12:00:00,15.01,-85.58,8.03,,,,
26,05/08/2023 12:15:00,15.06,-85.66,8.03,,,,
27,05/08/2023 12:30:00,15.15,-85.85,8.03,,,,
28,05/08/2023 12:45:00,15.25,-86.80,8.05,,,,
29,05/08/2023 13:00:00,15.32,-86.50,8.04,,,,
30,05/08/2023 13:15:00,15.39,-86.72,8.04,,,,
31,05/08/2023 13:30:00,15.46,-85.74,8.03,,,,
32,05/08/2023 13:45:00,15.51,-85.72,8.03,,,,
33,05/08/2023 14:00:00,15.49,-85.77,8.03,,,,
34,05/08/2023 14:15:00,15.44,-86.00,8.03,,,,
35,05/08/2023 14:30:00,15.46,-86.35,8.04,,,,
36,05/08/2023 14:45:00,15.51,-86.61,8.04,,,,
37,05/08/2023 15:00:00,15.53,-86.88,8.05,,,,
38,05/08/2023 15:15:00,15.60,-87.11,8.05,,,,
39,05/08/2023 15:30:00,15.63,-87.00,8.05,,,,
