#,Date-Time (EDT),Ch: 1 - Temperature   (°C ),Ch: 2 - Millivolts   (mv),Ch: 3 - pH   (pH),Button Down,Button Up,Host Connected,End of File
1,06/14/2022 21:28:13,,,,Logged,Logged,,
2,06/14/2022 21:28:36,,,,,,Logged,
3,06/14/2022 21:31:47,,,,,,Logged,
4,06/15/2022 07:00:00,20.98,3.63,6.79,,,,
5,06/15/2022 07:15:00,20.91,3.64,6.79,,,,
6,06/15/2022 07:30:00,20.86,3.66,6.79,,,,
7,06/15/2022 07:45:00,20.82,3.67,6.79,,,,
8,06/15/2022 08:00:00,20.77,3.69,6.79,,,,
9,06/15/2022 08:15:00,20.51,4.88,6.77,,,,
10,06/15/2022 08:30:00,19.75,-69.77,8.09,,,,
11,06/15/2022 08:45:00,19.84,-73.50,8.16,,,,
12,06/15/2022 09:00:00,19.98,-74.69,8.18,,,,
13,06/15/2022 09:15:00,19.89,-73.88,8.17,,,,
14,06/15/2022 09:30:00,19.86,-72.60,8.14,,,,
15,06/15/2022 09:45:00,19.98,-74.30,8.17,,,,
16,06/15/2022 10:00:00,20.10,-75.35,8.19,,,,
17,06/15/2022 10:15:00,20.25,-75.91,8.20,,,,
18,06/15/2022 10:30:00,20.32,-75.92,8.20,,,,
19,06/15/2022 10:45:00,20.36,-76.19,8.21,,,,
20,06/15/2022 11:00:00,20.39,-75.91,8.20,,,,
21,06/15/2022 11:15:00,20.44,-75.75,8.20,,,,
22,06/15/2022 11:30:00,20.44,-75.63,8.19,,,,
23,06/15/2022 11:45:00,20.44,-75.35,8.19,,,,
24,06/15/2022 12:00:00,20.44,-75.11,8.19,,,,
25,06/15/2022 12:15:00,20.41,-74.99,8.18,,,,
26,06/15/2022 12:30:00,20.39,-74.97,8.18,,,,
27,06/15/2022 12:45:00,19.96,-74.78,8.18,,,,
28,06/15/2022 13:00:00,19.60,-74.42,8.18,,,,
29,06/15/2022 13:15:00,18.96,-74.39,8.18,,,,
30,06/15/2022 13:30:00,18.75,-74.06,8.17,,,,
31,06/15/2022 13:45:00,18.77,-74.47,8.18,,,,
32,06/15/2022 14:00:00,18.82,-74.92,8.19,,,,
33,06/15/2022 14:15:00,18.89,-75.19,8.19,,,,
34,06/15/2022 14:30:00,18.96,-74.99,8.19,,,,
35,06/15/2022 14:45:00,19.01,-75.08,8.19,,,,
36,06/15/2022 15:00:00,19.06,-75.13,8.19,,,,
37,06/15/2022 15:15:00,19.15,-75.49,8.20,,,,
38,06/15/2022 15:30:00,19.22,-75.41,8.20,,,,
39,06/15/2022 15:45:00,19.56,-75.17,8.19,,,,
40,06/15/2022 16:00:00,19.96,-74.94,8.18,,,,
41,06/15/2022 16:15:00,20.01,-75.53,8.19,,,,
42,06/15/2022 16:30:00,20.27,-75.75,8.20,,,,
43,06/15/2022 16:45:00,20.51,-76.10,8.20,,,,
44,06/15/2022 17:00:00,20.63,-76.92,8.22,,,,
45,06/15/2022 17:15:00,20.70,-77.67,8.23,,,,
46,06/15/2022 17:30:00,20.65,-78.55,8.25,,,,
47,06/15/2022 17:45:00,20.89,-80.24,8.27,,,,
48,06/15/2022 18:00:00,20.96,-82.10,8.31,,,,
49,06/15/2022 18:08:27,,,,Logged,,,
50,06/15/2022 18:08:28,,,,,Logged,,
51,06/15/2022 18:08:30,,,,,,Logged,Logged
