#,Date-Time (EDT),Ch: 1 - Temperature   (°C ),Ch: 2 - Millivolts   (mv),Ch: 3 - pH   (pH),Button Down,Host Connected,Button Up,End of File
1,08/28/2022 13:50:27,24.65,-181.07,9.93,,,,
2,08/28/2022 14:04:17,,,,Logged,Logged,,
3,08/28/2022 14:04:18,,,,,,Logged,
4,08/28/2022 14:05:27,24.68,-82.24,8.20,,,,
5,08/28/2022 14:11:28,,,,Logged,,,
6,08/28/2022 14:11:29,,,,,,Logged,
7,08/28/2022 14:11:55,,,,Logged,,,
8,08/28/2022 14:11:56,,,,,,Logged,
9,08/28/2022 14:11:58,,,,,Logged,,
10,08/28/2022 14:20:27,24.63,150.94,4.10,,,,
11,08/28/2022 14:35:27,24.82,151.16,4.10,,,,
12,08/28/2022 14:50:27,24.97,151.22,4.10,,,,
13,08/28/2022 15:05:27,25.11,151.21,4.10,,,,
14,08/28/2022 15:20:27,25.26,151.22,4.10,,,,
15,08/28/2022 15:35:27,25.38,151.21,4.10,,,,
16,08/28/2022 15:50:27,25.48,151.24,4.10,,,,
17,08/28/2022 16:05:27,25.57,151.18,4.10,,,,
18,08/28/2022 16:20:27,25.70,151.16,4.10,,,,
19,08/28/2022 16:35:27,25.82,151.13,4.11,,,,
20,08/28/2022 16:50:27,26.06,151.15,4.11,,,,
21,08/28/2022 17:05:27,26.28,151.18,4.11,,,,
22,08/28/2022 17:20:27,26.38,151.19,4.11,,,,
23,08/28/2022 17:35:27,26.40,151.18,4.11,,,,
24,08/28/2022 17:50:27,26.43,151.13,4.11,,,,
25,08/28/2022 18:05:27,26.57,151.22,4.11,,,,
26,08/28/2022 18:20:27,26.60,151.29,4.11,,,,
27,08/28/2022 18:35:27,26.77,151.32,4.11,,,,
28,08/28/2022 18:50:27,26.84,151.36,4.11,,,,
29,08/28/2022 19:05:27,26.87,151.41,4.11,,,,
30,08/28/2022 19:20:27,26.87,151.44,4.11,,,,
31,08/28/2022 19:35:27,26.84,151.49,4.11,,,,
32,08/28/2022 19:50:27,26.77,151.52,4.11,,,,
33,08/28/2022 20:05:27,26.70,151.55,4.11,,,,
34,08/28/2022 20:20:27,26.55,151.57,4.11,,,,
35,08/28/2022 20:35:27,26.38,151.61,4.10,,,,
36,08/28/2022 20:50:27,26.23,151.65,4.10,,,,
37,08/28/2022 21:05:27,26.13,151.77,4.10,,,,
38,08/28/2022 21:20:27,26.01,151.66,4.10,,,,
39,08/28/2022 21:35:27,25.91,151.65,4.10,,,,
40,08/28/2022 21:50:27,25.62,151.65,4.10,,,,
41,08/28/2022 22:05:27,25.36,151.63,4.09,,,,
42,08/28/2022 22:20:27,24.85,151.54,4.09,,,,
43,08/28/2022 22:35:27,24.32,151.44,4.09,,,,
44,08/28/2022 22:50:27,23.93,151.32,4.08,,,,
45,08/28/2022 23:05:27,23.64,151.24,4.08,,,,
46,08/28/2022 23:20:27,23.38,151.13,4.08,,,,
47,08/28/2022 23:35:27,22.94,151.00,4.08,,,,
48,08/28/2022 23:50:27,22.61,150.88,4.08,,,,
49,08/29/2022 00:05:27,22.35,150.79,4.08,,,,
50,08/29/2022 00:20:27,22.11,150.69,4.08,,,,
51,08/29/2022 00:35:27,21.89,150.61,4.08,,,,
52,08/29/2022 00:50:27,21.70,150.54,4.08,,,,
53,08/29/2022 01:05:27,21.51,150.46,4.08,,,,
54,08/29/2022 01:20:27,21.32,150.38,4.08,,,,
55,08/29/2022 01:35:27,21.15,150.29,4.08,,,,
56,08/29/2022 01:50:27,20.96,150.21,4.07,,,,
57,08/29/2022 02:05:27,20.79,150.13,4.07,,,,
58,08/29/2022 02:20:27,20.63,150.04,4.07,,,,
59,08/29/2022 02:35:27,20.46,149.96,4.07,,,,
60,08/29/2022 02:50:27,20.29,149.90,4.07,,,,
61,08/29/2022 03:05:27,20.13,149.80,4.07,,,,
62,08/29/2022 03:20:27,19.96,149.72,4.07,,,,
63,08/29/2022 03:35:27,19.82,149.66,4.07,,,,
64,08/29/2022 03:50:27,19.65,149.58,4.07,,,,
65,08/29/2022 04:05:27,19.51,149.49,4.07,,,,
66,08/29/2022 04:20:27,19.37,149.43,4.07,,,,
67,08/29/2022 04:35:27,19.25,149.36,4.07,,,,
68,08/29/2022 04:50:27,19.13,149.27,4.07,,,,
69,08/29/2022 05:05:27,19.22,149.22,4.08,,,,
70,08/29/2022 05:20:27,19.51,149.16,4.08,,,,
71,08/29/2022 05:35:27,19.79,149.13,4.08,,,,
72,08/29/2022 05:50:27,20.06,149.10,4.09,,,,
73,08/29/2022 06:05:27,20.36,149.10,4.09,,,,
74,08/29/2022 06:20:27,20.77,149.18,4.09,,,,
75,08/29/2022 06:35:27,21.29,149.22,4.10,,,,
76,08/29/2022 06:50:27,21.91,149.15,4.10,,,,
77,08/29/2022 07:05:27,22.49,149.00,4.11,,,,
78,08/29/2022 07:20:27,23.52,148.93,4.12,,,,
79,08/29/2022 07:35:27,21.49,-43.52,7.52,,,,
80,08/29/2022 07:50:27,21.25,-63.66,7.88,,,,
81,08/29/2022 08:05:27,21.29,-68.13,7.96,,,,
82,08/29/2022 08:20:27,21.46,-73.88,8.06,,,,
83,08/29/2022 08:35:27,21.70,-76.06,8.10,,,,
84,08/29/2022 08:50:27,21.80,-78.74,8.15,,,,
85,08/29/2022 09:05:27,22.01,-80.24,8.17,,,,
86,08/29/2022 09:20:27,22.03,-79.25,8.16,,,,
87,08/29/2022 09:35:27,22.11,-79.27,8.16,,,,
88,08/29/2022 09:50:27,22.08,-80.21,8.17,,,,
89,08/29/2022 10:05:27,22.18,-81.08,8.19,,,,
90,08/29/2022 10:20:27,22.32,-81.28,8.19,,,,
91,08/29/2022 10:35:27,22.42,-82.11,8.20,,,,
92,08/29/2022 10:50:27,22.51,-82.11,8.20,,,,
93,08/29/2022 11:05:27,22.58,-82.17,8.20,,,,
94,08/29/2022 11:20:27,22.63,-82.61,8.21,,,,
95,08/29/2022 11:35:27,22.75,-82.94,8.22,,,,
96,08/29/2022 11:50:27,22.78,-83.33,8.22,,,,
97,08/29/2022 12:05:27,22.82,-83.94,8.23,,,,
98,08/29/2022 12:20:27,22.94,-84.69,8.25,,,,
99,08/29/2022 12:35:27,23.04,-85.13,8.26,,,,
100,08/29/2022 12:50:27,23.11,-85.47,8.26,,,,
101,08/29/2022 13:05:27,23.14,-85.80,8.27,,,,
102,08/29/2022 13:20:27,23.23,-85.32,8.26,,,,
103,08/29/2022 13:35:27,23.33,-84.83,8.25,,,,
104,08/29/2022 13:50:27,23.40,-84.86,8.25,,,,
105,08/29/2022 14:05:27,23.47,-84.64,8.24,,,,
106,08/29/2022 14:20:27,23.52,-84.38,8.24,,,,
107,08/29/2022 14:35:27,23.57,-84.30,8.24,,,,
108,08/29/2022 14:50:27,23.59,-84.58,8.24,,,,
109,08/29/2022 15:05:27,23.66,-85.02,8.25,,,,
110,08/29/2022 15:20:27,23.69,-84.72,8.25,,,,
111,08/29/2022 15:35:27,23.74,-85.39,8.26,,,,
112,08/29/2022 15:50:27,23.76,-85.25,8.25,,,,
113,08/29/2022 16:05:27,23.79,-85.11,8.25,,,,
114,08/29/2022 16:20:27,23.76,-84.08,8.23,,,,
115,08/29/2022 16:35:27,23.93,-85.72,8.26,,,,
116,08/29/2022 16:50:27,24.12,-85.67,8.26,,,,
117,08/29/2022 17:05:27,24.29,-85.71,8.26,,,,
118,08/29/2022 17:20:27,24.53,-84.22,8.23,,,,
119,08/29/2022 17:35:27,24.70,-85.94,8.26,,,,
120,08/29/2022 17:50:27,24.75,-86.57,8.27,,,,
121,08/29/2022 18:05:27,24.60,-85.02,8.25,,,,
122,08/29/2022 18:20:27,24.29,-86.16,8.27,,,,
