#,Date-Time (EDT),Ch:1 - Temperature   (°C),Ch:2 - Millivolts   (mv),Ch:3 - pH   (pH),Button Down,Button Up,Host Connected,End of File
1,05/09/2023 16:11:07,,,,Logged,,,
2,05/09/2023 16:11:08,,,,,Logged,,
3,05/09/2023 16:11:10,,,,,,Logged,
4,05/10/2023 08:00:00,17.58,174.33,3.54,,,,
5,05/10/2023 08:15:00,17.39,174.15,3.54,,,,
6,05/10/2023 08:30:00,17.20,174.07,3.54,,,,
7,05/10/2023 08:45:00,16.82,173.99,3.54,,,,
8,05/10/2023 09:00:00,18.13,174.07,3.55,,,,
9,05/10/2023 09:15:00,12.94,-56.22,7.63,,,,
10,05/10/2023 09:30:00,12.49,-34.16,7.24,,,,
11,05/10/2023 09:45:00,13.50,-83.60,8.12,,,,
12,05/10/2023 10:00:00,13.81,-82.47,8.10,,,,
13,05/10/2023 10:15:00,14.34,-86.99,8.18,,,,
14,05/10/2023 10:30:00,17.32,-92.07,8.26,,,,
15,05/10/2023 10:45:00,18.25,-90.38,8.22,,,,
16,05/10/2023 11:00:00,17.94,-96.99,8.34,,,,
17,05/10/2023 11:15:00,17.32,-97.57,8.36,,,,
18,05/10/2023 11:30:00,16.30,-89.25,8.21,,,,
19,05/10/2023 11:45:00,15.39,-89.08,8.21,,,,
20,05/10/2023 12:00:00,15.03,-89.17,8.22,,,,
21,05/10/2023 12:15:00,14.82,-89.58,8.22,,,,
22,05/10/2023 12:30:00,14.79,-89.33,8.22,,,,
23,05/10/2023 12:45:00,14.82,-89.00,8.21,,,,
24,05/10/2023 13:00:00,14.48,-86.07,8.16,,,,
25,05/10/2023 13:15:00,14.31,-85.64,8.16,,,,
26,05/10/2023 13:30:00,14.27,-85.57,8.16,,,,
27,05/10/2023 13:45:00,14.24,-85.39,8.15,,,,
28,05/10/2023 14:00:00,14.17,-84.94,8.14,,,,
29,05/10/2023 14:15:00,14.17,-85.03,8.15,,,,
30,05/10/2023 14:30:00,14.15,-84.46,8.14,,,,
31,05/10/2023 14:45:00,14.15,-84.88,8.14,,,,
32,05/10/2023 15:00:00,14.22,-85.60,8.16,,,,
33,05/10/2023 15:15:00,14.31,-86.08,8.16,,,,
34,05/10/2023 15:30:00,14.36,-85.94,8.16,,,,
35,05/10/2023 15:45:00,14.41,-86.53,8.17,,,,
36,05/10/2023 16:00:00,14.36,-85.78,8.16,,,,
37,05/10/2023 16:15:00,14.24,-85.44,8.15,,,,
38,05/10/2023 16:30:00,14.19,-85.00,8.15,,,,
39,05/10/2023 16:45:00,14.24,-85.16,8.15,,,,
40,05/10/2023 17:00:00,14.31,-85.60,8.16,,,,
41,05/10/2023 17:15:00,14.46,-85.80,8.16,,,,
42,05/10/2023 17:30:00,14.46,-85.71,8.16,,,,
43,05/10/2023 17:45:00,14.77,-87.39,8.19,,,,
44,05/10/2023 18:00:00,14.91,-87.75,8.19,,,,
45,05/10/2023 18:15:00,14.98,-87.91,8.19,,,,
46,05/10/2023 18:30:00,15.15,-88.36,8.20,,,,
47,05/10/2023 18:45:00,15.37,-88.33,8.20,,,,
48,05/10/2023 19:00:00,15.37,-88.32,8.20,,,,
49,05/10/2023 19:15:00,15.25,-88.36,8.20,,,,
