"","Site","Date","Temp","pH","Tris","Tris_temp","Serial_number"
"1","Den",2022-06-28 08:00:00,18.79,7.86,8.34,24.05,230
"2","Den",2022-06-28 08:15:00,18.87,7.96,8.34,24.05,230
"3","Den",2022-06-28 08:30:00,18.82,7.94,8.34,24.05,230
"4","Den",2022-06-28 08:45:00,18.87,7.94,8.34,24.05,230
"5","Den",2022-06-28 09:00:00,19.08,7.98,8.34,24.05,230
"6","Den",2022-06-28 09:15:00,19.25,7.99,8.34,24.05,230
"7","Den",2022-06-28 09:30:00,19.39,7.99,8.34,24.05,230
"8","Den",2022-06-28 09:45:00,19.44,7.99,8.34,24.05,230
"9","Den",2022-06-28 10:00:00,19.53,8,8.34,24.05,230
"10","Den",2022-06-28 10:15:00,19.56,8,8.34,24.05,230
"11","Den",2022-06-28 10:30:00,19.58,8.01,8.34,24.05,230
"12","Den",2022-06-28 10:45:00,19.58,8,8.34,24.05,230
"13","Den",2022-06-28 11:00:00,19.58,8.01,8.34,24.05,230
"14","Den",2022-06-28 11:15:00,19.6,8.01,8.34,24.05,230
"15","Den",2022-06-28 11:30:00,19.63,8.02,8.34,24.05,230
"16","Den",2022-06-28 11:45:00,19.58,8.02,8.34,24.05,230
"17","Den",2022-06-28 12:00:00,19.63,8.02,8.34,24.05,230
"18","Den",2022-06-28 12:15:00,19.58,8.03,8.34,24.05,230
"19","Den",2022-06-28 12:30:00,19.67,8.03,8.34,24.05,230
"20","Den",2022-06-28 12:45:00,19.84,8.03,8.34,24.05,230
"21","Den",2022-06-28 13:00:00,19.94,8.04,8.34,24.05,230
"22","Den",2022-06-28 13:15:00,20.03,8.05,8.34,24.05,230
"23","Den",2022-06-28 13:30:00,20.25,8.04,8.34,24.05,230
"24","Den",2022-06-28 13:45:00,20.36,8.04,8.34,24.05,230
"25","Den",2022-06-28 14:00:00,20.58,8.05,8.34,24.05,230
"26","Den",2022-06-28 14:15:00,20.72,8.05,8.34,24.05,230
"27","Den",2022-06-28 14:30:00,20.89,8.05,8.34,24.05,230
"28","Den",2022-06-28 14:45:00,20.98,8.04,8.34,24.05,230
"29","Den",2022-06-28 15:00:00,21.15,8.05,8.34,24.05,230
"30","Den",2022-06-28 15:15:00,21.37,8.05,8.34,24.05,230
"31","Den",2022-06-28 15:30:00,21.68,8.04,8.34,24.05,230
"32","Den",2022-06-28 15:45:00,21.87,8.03,8.34,24.05,230
"33","Den",2022-06-28 16:00:00,21.94,8.04,8.34,24.05,230
"34","Den",2022-06-28 16:15:00,22.23,8.04,8.34,24.05,230
"35","Den",2022-06-28 16:30:00,22.85,8.06,8.34,24.05,230
"36","Den",2022-06-28 16:45:00,23.45,8.09,8.34,24.05,230
