#,Date-Time (EST/EDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,08/01/2022 07:00:00,23.76,,,,
2,08/01/2022 07:15:00,23.72,,,,
3,08/01/2022 07:30:00,23.34,,,,
4,08/01/2022 07:45:00,25.69,,,,
5,08/01/2022 08:00:00,25.95,,,,
6,08/01/2022 08:15:00,25.35,,,,
7,08/01/2022 08:30:00,24.88,,,,
8,08/01/2022 08:45:00,24.79,,,,
9,08/01/2022 09:00:00,25.82,,,,
10,08/01/2022 09:15:00,25.82,,,,
11,08/01/2022 09:30:00,25.87,,,,
12,08/01/2022 09:45:00,25.82,,,,
13,08/01/2022 10:00:00,25.74,,,,
14,08/01/2022 10:15:00,25.61,,,,
15,08/01/2022 10:30:00,25.48,,,,
16,08/01/2022 10:45:00,25.48,,,,
17,08/01/2022 11:00:00,25.39,,,,
18,08/01/2022 11:15:00,25.35,,,,
19,08/01/2022 11:30:00,25.44,,,,
20,08/01/2022 11:45:00,25.48,,,,
21,08/01/2022 12:00:00,25.52,,,,
22,08/01/2022 12:15:00,25.44,,,,
23,08/01/2022 12:30:00,25.44,,,,
24,08/01/2022 12:45:00,25.35,,,,
25,08/01/2022 13:00:00,25.44,,,,
26,08/01/2022 13:15:00,25.39,,,,
27,08/01/2022 13:30:00,25.35,,,,
28,08/01/2022 13:45:00,25.39,,,,
29,08/01/2022 14:00:00,25.57,,,,
30,08/01/2022 14:15:00,25.65,,,,
31,08/01/2022 14:30:00,25.69,,,,
32,08/01/2022 14:45:00,25.61,,,,
33,08/01/2022 15:00:00,25.48,,,,
34,08/01/2022 15:15:00,25.35,,,,
35,08/01/2022 15:30:00,25.35,,,,
36,08/01/2022 15:45:00,25.39,,,,
37,08/01/2022 16:00:00,25.39,,,,
38,08/01/2022 16:15:00,25.31,,,,
39,08/01/2022 16:30:00,25.39,,,,
40,08/01/2022 16:45:00,25.35,,,,
41,08/01/2022 17:00:00,25.35,,,,
42,08/01/2022 17:15:00,25.39,,,,
43,08/01/2022 17:30:00,25.35,,,,
44,08/01/2022 17:45:00,25.31,,,,
45,08/01/2022 18:00:00,25.31,,,,
46,08/01/2022 18:15:00,25.31,,,,
47,08/01/2022 18:30:00,25.31,,,,
48,08/01/2022 18:45:00,25.27,,,,
49,08/01/2022 19:00:00,25.27,,,,
50,08/01/2022 19:15:00,25.27,,,,
51,08/01/2022 19:30:00,25.27,,,,
52,08/01/2022 19:45:00,25.31,,,,
53,08/01/2022 20:00:00,25.35,,,,
54,08/01/2022 20:15:00,25.35,,,,
55,08/01/2022 20:30:00,25.44,,,,
56,08/01/2022 20:45:00,25.39,,,,
57,08/01/2022 21:00:00,25.39,,,,
58,08/01/2022 21:15:00,25.39,,,,
59,08/01/2022 21:30:00,25.31,,,,
60,08/01/2022 21:45:00,25.31,,,,
61,08/01/2022 22:00:00,25.35,,,,
62,08/01/2022 22:15:00,25.05,,,,
63,08/01/2022 22:30:00,24.97,,,,
64,08/01/2022 22:45:00,24.97,,,,
65,08/01/2022 23:00:00,24.97,,,,
66,08/01/2022 23:15:00,24.92,,,,
67,08/01/2022 23:30:00,24.92,,,,
68,08/01/2022 23:45:00,24.92,,,,
69,08/02/2022 00:00:00,24.88,,,,
70,08/02/2022 00:15:00,24.84,,,,
71,08/02/2022 00:30:00,24.88,,,,
72,08/02/2022 00:45:00,24.84,,,,
73,08/02/2022 01:00:00,24.88,,,,
74,08/02/2022 01:15:00,24.88,,,,
75,08/02/2022 01:30:00,24.84,,,,
76,08/02/2022 01:45:00,24.84,,,,
77,08/02/2022 02:00:00,24.84,,,,
78,08/02/2022 02:15:00,24.84,,,,
79,08/02/2022 02:30:00,24.84,,,,
80,08/02/2022 02:45:00,24.84,,,,
81,08/02/2022 03:00:00,24.79,,,,
82,08/02/2022 03:15:00,24.75,,,,
83,08/02/2022 03:30:00,24.71,,,,
