#,Date-Time (EST/EDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,12/03/2022 13:45:00,29.86,,,,
2,12/03/2022 14:00:00,23.12,,,,
3,12/03/2022 14:15:00,20.03,,,,
4,12/03/2022 14:30:00,19.22,,,,
5,12/03/2022 14:45:00,19.26,,,,
6,12/03/2022 15:00:00,19.00,,,,
7,12/03/2022 15:15:00,18.57,,,,
8,12/03/2022 15:30:00,18.19,,,,
9,12/03/2022 15:45:00,17.80,,,,
10,12/03/2022 16:00:00,17.37,,,,
11,12/03/2022 16:15:00,17.07,,,,
12,12/03/2022 16:30:00,16.81,,,,
13,12/03/2022 16:45:00,16.43,,,,
14,12/03/2022 17:00:00,16.13,,,,
15,12/03/2022 17:15:00,15.87,,,,
16,12/03/2022 17:30:00,15.61,,,,
17,12/03/2022 17:45:00,15.40,,,,
18,12/03/2022 18:00:00,15.10,,,,
19,12/03/2022 18:15:00,14.93,,,,
20,12/03/2022 18:30:00,14.71,,,,
21,12/03/2022 18:45:00,14.67,,,,
22,12/03/2022 19:00:00,15.01,,,,
23,12/03/2022 19:15:00,15.14,,,,
24,12/03/2022 19:30:00,15.23,,,,
25,12/03/2022 19:45:00,15.18,,,,
26,12/03/2022 20:00:00,15.10,,,,
27,12/03/2022 20:15:00,15.01,,,,
28,12/03/2022 20:30:00,14.84,,,,
29,12/03/2022 20:45:00,14.67,,,,
30,12/03/2022 21:00:00,14.45,,,,
31,12/03/2022 21:15:00,14.24,,,,
32,12/03/2022 21:30:00,13.94,,,,
33,12/03/2022 21:45:00,13.64,,,,
34,12/03/2022 22:00:00,13.34,,,,
35,12/03/2022 22:15:00,13.12,,,,
36,12/03/2022 22:30:00,12.74,,,,
37,12/03/2022 22:45:00,12.48,,,,
38,12/03/2022 23:00:00,12.18,,,,
39,12/03/2022 23:15:00,11.92,,,,
40,12/03/2022 23:30:00,11.67,,,,
41,12/03/2022 23:45:00,11.37,,,,
42,12/04/2022 00:00:00,11.11,,,,
43,12/04/2022 00:15:00,10.89,,,,
44,12/04/2022 00:30:00,10.59,,,,
45,12/04/2022 00:45:00,10.38,,,,
46,12/04/2022 01:00:00,10.12,,,,
47,12/04/2022 01:15:00,9.86,,,,
48,12/04/2022 01:30:00,9.69,,,,
49,12/04/2022 01:45:00,9.44,,,,
50,12/04/2022 02:00:00,9.22,,,,
51,12/04/2022 02:15:00,9.05,,,,
52,12/04/2022 02:30:00,8.79,,,,
53,12/04/2022 02:45:00,8.62,,,,
54,12/04/2022 03:00:00,8.41,,,,
55,12/04/2022 03:15:00,8.23,,,,
56,12/04/2022 03:30:00,7.98,,,,
57,12/04/2022 03:45:00,7.81,,,,
58,12/04/2022 04:00:00,7.59,,,,
59,12/04/2022 04:15:00,7.33,,,,
60,12/04/2022 04:30:00,7.16,,,,
61,12/04/2022 04:45:00,6.95,,,,
62,12/04/2022 05:00:00,6.78,,,,
63,12/04/2022 05:15:00,6.60,,,,
64,12/04/2022 05:30:00,6.43,,,,
65,12/04/2022 05:45:00,6.22,,,,
66,12/04/2022 06:00:00,6.05,,,,
67,12/04/2022 06:15:00,5.87,,,,
68,12/04/2022 06:30:00,5.75,,,,
69,12/04/2022 06:45:00,5.57,,,,
70,12/04/2022 07:00:00,5.45,,,,
71,12/04/2022 07:15:00,5.23,,,,
72,12/04/2022 07:30:00,5.10,,,,
73,12/04/2022 07:45:00,4.97,,,,
74,12/04/2022 08:00:00,4.89,,,,
75,12/04/2022 08:15:00,4.80,,,,
76,12/04/2022 08:30:00,4.72,,,,
77,12/04/2022 08:45:00,5.19,,,,
78,12/04/2022 09:00:00,6.00,,,,
79,12/04/2022 09:15:00,7.16,,,,
80,12/04/2022 09:30:00,8.19,,,,
