#,Date-Time (EST/EDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,Stopped,End of File
1,08/01/2022 07:00:00,23.46,,,,,
2,08/01/2022 07:15:00,23.38,,,,,
3,08/01/2022 07:30:00,23.25,,,,,
4,08/01/2022 07:45:00,26.38,,,,,
5,08/01/2022 08:00:00,26.68,,,,,
6,08/01/2022 08:15:00,25.78,,,,,
7,08/01/2022 08:30:00,25.09,,,,,
8,08/01/2022 08:45:00,24.84,,,,,
9,08/01/2022 09:00:00,25.48,,,,,
10,08/01/2022 09:15:00,28.61,,,,,
11,08/01/2022 09:30:00,29.34,,,,,
12,08/01/2022 09:45:00,30.24,,,,,
13,08/01/2022 10:00:00,30.89,,,,,
14,08/01/2022 10:15:00,30.37,,,,,
15,08/01/2022 10:30:00,29.21,,,,,
16,08/01/2022 10:45:00,28.95,,,,,
17,08/01/2022 11:00:00,29.34,,,,,
18,08/01/2022 11:15:00,29.38,,,,,
19,08/01/2022 11:30:00,29.34,,,,,
20,08/01/2022 11:45:00,29.60,,,,,
21,08/01/2022 12:00:00,28.70,,,,,
22,08/01/2022 12:15:00,27.93,,,,,
23,08/01/2022 12:30:00,27.75,,,,,
24,08/01/2022 12:45:00,28.53,,,,,
25,08/01/2022 13:00:00,28.18,,,,,
26,08/01/2022 13:15:00,27.11,,,,,
27,08/01/2022 13:30:00,26.21,,,,,
28,08/01/2022 13:45:00,25.57,,,,,
29,08/01/2022 14:00:00,25.05,,,,,
30,08/01/2022 14:15:00,24.71,,,,,
31,08/01/2022 14:30:00,24.32,,,,,
32,08/01/2022 14:45:00,24.11,,,,,
33,08/01/2022 15:00:00,23.98,,,,,
34,08/01/2022 15:15:00,23.89,,,,,
35,08/01/2022 15:30:00,23.85,,,,,
36,08/01/2022 15:45:00,23.81,,,,,
37,08/01/2022 16:00:00,23.76,,,,,
38,08/01/2022 16:15:00,23.72,,,,,
39,08/01/2022 16:30:00,23.76,,,,,
40,08/01/2022 16:45:00,23.76,,,,,
41,08/01/2022 17:00:00,23.81,,,,,
42,08/01/2022 17:15:00,23.85,,,,,
43,08/01/2022 17:30:00,23.89,,,,,
44,08/01/2022 17:45:00,23.89,,,,,
45,08/01/2022 18:00:00,23.94,,,,,
46,08/01/2022 18:15:00,23.98,,,,,
47,08/01/2022 18:30:00,24.02,,,,,
48,08/01/2022 18:45:00,24.11,,,,,
49,08/01/2022 19:00:00,24.11,,,,,
50,08/01/2022 19:15:00,24.06,,,,,
51,08/01/2022 19:30:00,24.15,,,,,
52,08/01/2022 19:45:00,24.11,,,,,
53,08/01/2022 20:00:00,24.19,,,,,
54,08/01/2022 20:15:00,24.19,,,,,
55,08/01/2022 20:30:00,24.32,,,,,
56,08/01/2022 20:45:00,24.36,,,,,
57,08/01/2022 21:00:00,24.41,,,,,
58,08/01/2022 21:15:00,24.41,,,,,
59,08/01/2022 21:30:00,23.76,,,,,
60,08/01/2022 21:45:00,23.38,,,,,
61,08/01/2022 22:00:00,23.38,,,,,
62,08/01/2022 22:15:00,23.42,,,,,
63,08/01/2022 22:30:00,23.46,,,,,
64,08/01/2022 22:45:00,23.34,,,,,
65,08/01/2022 23:00:00,23.29,,,,,
66,08/01/2022 23:15:00,23.34,,,,,
67,08/01/2022 23:30:00,23.38,,,,,
68,08/01/2022 23:45:00,23.38,,,,,
69,08/02/2022 00:00:00,23.34,,,,,
70,08/02/2022 00:15:00,23.38,,,,,
71,08/02/2022 00:30:00,23.25,,,,,
72,08/02/2022 00:45:00,23.25,,,,,
73,08/02/2022 01:00:00,23.16,,,,,
74,08/02/2022 01:15:00,23.12,,,,,
75,08/02/2022 01:30:00,22.99,,,,,
76,08/02/2022 01:45:00,22.82,,,,,
77,08/02/2022 02:00:00,22.65,,,,,
78,08/02/2022 02:15:00,22.48,,,,,
79,08/02/2022 02:30:00,22.31,,,,,
80,08/02/2022 02:45:00,22.18,,,,,
81,08/02/2022 03:00:00,22.05,,,,,
82,08/02/2022 03:15:00,21.92,,,,,
83,08/02/2022 03:30:00,21.88,,,,,
84,08/02/2022 03:45:00,21.75,,,,,
85,08/02/2022 04:00:00,21.70,,,,,
86,08/02/2022 04:15:00,21.66,,,,,
87,08/02/2022 04:30:00,21.62,,,,,
88,08/02/2022 04:45:00,21.58,,,,,
89,08/02/2022 05:00:00,21.58,,,,,
90,08/02/2022 05:15:00,21.53,,,,,
91,08/02/2022 05:30:00,21.49,,,,,
92,08/02/2022 05:45:00,21.45,,,,,
93,08/02/2022 06:00:00,21.45,,,,,
94,08/02/2022 06:15:00,21.45,,,,,
95,08/02/2022 06:30:00,21.49,,,,,
96,08/02/2022 06:45:00,21.75,,,,,
97,08/02/2022 07:00:00,22.48,,,,,
98,08/02/2022 07:15:00,22.69,,,,,
99,08/02/2022 07:30:00,23.12,,,,,
100,08/02/2022 07:45:00,23.38,,,,,
101,08/02/2022 08:00:00,23.46,,,,,
102,08/02/2022 08:15:00,23.64,,,,,
103,08/02/2022 08:30:00,24.28,,,,,
104,08/02/2022 08:45:00,24.71,,,,,
105,08/02/2022 09:00:00,25.27,,,,,
106,08/02/2022 09:15:00,27.02,,,,,
107,08/02/2022 09:30:00,27.84,,,,,
108,08/02/2022 09:45:00,28.31,,,,,
109,08/02/2022 10:00:00,29.68,,,,,
110,08/02/2022 10:15:00,30.76,,,,,
111,08/02/2022 10:30:00,31.83,,,,,
112,08/02/2022 10:45:00,32.39,,,,,
113,08/02/2022 11:00:00,30.93,,,,,
114,08/02/2022 11:15:00,34.83,,,,,
115,08/02/2022 11:30:00,37.45,,,,,
116,08/02/2022 11:45:00,34.83,,,,,
117,08/02/2022 12:00:00,39.42,,,,,
118,08/02/2022 12:15:00,40.02,,,,,
119,08/02/2022 12:30:00,38.86,,,,,
120,08/02/2022 12:45:00,37.49,,,,,
121,08/02/2022 13:00:00,33.37,,,,,
122,08/02/2022 13:15:00,30.41,,,,,
123,08/02/2022 13:30:00,28.57,,,,,
124,08/02/2022 13:45:00,27.24,,,,,
125,08/02/2022 14:00:00,26.30,,,,,
126,08/02/2022 14:15:00,25.61,,,,,
