Date,Sample ID,Site,Stratum,Water/Sed  Temp,Salinity,pH temp,pH,Field Alkalinity,Lab Alkalinity,Alk,DIC ,Notes,,pH (DIC/Alk),pCO2 (DIC/Alk),Omega_Ar (DIC/Alk),,pH (pH/Alk),pCO2 (pH/Alk),Omega_Ar (pH/Alk),,pH (pH/DIC),pCO2 (pH/DIC),Omega_Ar (pH/DIC),,pH,pCO2,Omega Ar
7/29/21,,Barnstable Harbor,Bottom water,23.3,31.70,19.6,7.660,,2035.40,2035.40,1901.07,,,7.774,755.9,1.74,,7.606,1162.0,1.24,,7.606,1127.5,1.20,,7.606,755.9,1.74
8/11/21,,Barnstable Harbor,Bottom water,23.3,31.55,22.6,7.737,,2010.14,2010.14,1966.14,,,7.505,1478.3,0.98,,7.727,844.2,1.56,,7.727,876.1,1.62,,7.727,876.1,1.62
11/4/21,,Barnstable Harbor,Bottom water,11.7,29.90,20.7,7.539,,2050.36,2050.36,1973.96,,,7.797,705.0,1.12,,7.666,976.0,0.85,,7.666,957.9,0.83,,7.797,705.0,1.12
12/2/21,,Barnstable Harbor,Bottom water,7.3,30.40,20.8,7.835,,2114.99,2114.99,2039.08,,,7.853,613.1,1.10,,8.049,373.0,1.64,,8.049,385.0,1.70,,8.049,385.0,1.70
3/1/22,,Barnstable Harbor,Bottom water,1.6,30.10,3.2,8.182,,2132.95,2132.95,2014.34,NBS scale,,8.085,330.9,1.41,,8.206,311.5,1.47,,8.206,312.7,1.48,,8.206,312.7,1.48
4/20/22,,Barnstable Harbor,Bottom water,8.7,31.26,22.2,7.762,,2077.26,2077.26,1978.36,,,7.898,539.7,1.27,,7.972,447.3,1.48,,7.972,452.8,1.50,,7.972,452.8,1.50
6/16/22,,Barnstable Harbor,Bottom water,18.3,32.34,19.3,7.933,,2108.41,2108.41,1999.33,,,7.765,795.4,1.47,,7.949,492.3,2.13,,7.949,510.5,2.20,,7.949,510.5,2.20
7/13/22,106,Barnstable Harbor,Bottom water,21.9,32.74,24.5,7.708,,2116.25,2116.25,2110.39,,,7.386,2064.5,0.77,,7.747,839.0,1.65,,7.747,888.7,1.75,,7.747,888.7,1.75
8/16/22,841,Barnstable Harbor,Bottom water,21.1,32.86,26.9,7.580,2125.10,,2125.10,2077.14,,,7.532,1446.1,1.03,,7.663,1040.9,1.36,,7.663,1062.8,1.39,,7.663,1040.9,1.36
10/27/22,238,Barnstable Harbor,Bottom water,16.1,31.01,16.3,7.733,2163.51,,2163.51,2030.06,,,7.876,615.7,1.70,,7.736,879.5,1.27,,7.736,858.8,1.24,,7.736,879.5,1.27
11/5/22,263,Barnstable Harbor,Bottom water,16.5,31.45,18.7,7.942,2132.92,,2132.92,1976.96,,,7.926,531.4,1.89,,7.977,464.8,2.09,,7.977,469.7,2.12,,7.977,464.8,2.09
12/6/22,323,Barnstable Harbor,Bottom water,8.4,31.74,10.3,8.141,2208.49,,2208.49,2004.78,,,8.157,292.2,2.27,,8.173,279.7,2.34,,8.173,280.7,2.35,,8.173,279.7,2.34
1/19/23,338,Barnstable Harbor,Bottom water,4.3,28.87,7.7,7.966,2075.33,,2075.33,1957.99,,,8.058,355.2,1.41,,8.022,389.2,1.31,,8.022,386.9,1.30,,8.022,389.2,1.31
2/23/23,385,Barnstable Harbor,Bottom water,4.5,30.48,4.8,8.053,2078.24,,2078.24,1985.67,,,7.955,456.7,1.19,,8.058,351.7,1.47,,8.058,357.7,1.49,,8.058,351.7,1.47
3/21/23,408,Barnstable Harbor,Bottom water,4.5,30.84,13.0,7.732,2062.11,,2062.11,,955.84,,,,,,7.863,569.9,0.98,,,,,,7.863,569.9,0.98
4/21/23,460,Barnstable Harbor,Bottom water,10.4,31.14,10.6,7.918,2188.79,,2188.79,2054.66,,,7.964,486.4,1.64,,7.921,542.7,1.51,,7.921,538.6,1.49,,7.921,542.7,1.51
5/9/23,474,Barnstable Harbor,Bottom water,14.8,31.22,15.9,8.071,2156.26,,2156.26,,,,,,,,8.089,348.0,2.45,,,,,,8.089,348.0,2.45
8/10/21,,Cockle Cove,Bottom water,22.8,31.61,22.5,7.644,,2028.70,2028.70,2006.22,,,7.438,1755.3,0.84,,7.640,1063.0,1.29,,7.640,1096.8,1.34,,7.640,1096.8,1.34
11/5/21,,Cockle Cove,Bottom water,11.5,31.30,20.8,7.946,,2113.04,2113.04,1945.52,,,8.039,386.5,1.93,,8.095,333.4,2.15,,8.095,337.4,2.18,,8.095,337.4,2.18
12/3/21,,Cockle Cove,Bottom water,5.7,29.60,19.9,7.720,,2007.12,2007.12,1999.51,,,7.636,982.6,0.60,,7.938,466.7,1.14,,7.939,486.0,1.19,,7.938,486.0,1.19
3/4/22,,Cockle Cove,Bottom water,0.1,31.30,-1.9,8.126,,2224.38,2224.38,2063.27,NBS scale,,8.202,250.1,1.79,,8.096,416.4,1.19,,8.096,402.7,1.15,,8.096,402.7,1.15
4/20/22,,Cockle Cove,Bottom water,9.6,31.51,21.8,7.723,,2108.03,2108.03,2035.22,,,7.795,713.1,1.09,,7.910,533.7,1.38,,7.910,543.3,1.41,,7.910,543.3,1.41
6/14/22,,Cockle Cove,Bottom water,20.7,32.19,20.8,7.909,,,,2414.02,NBS scale,,,,,,,,,,7.910,937.4,2.03,,7.910,937.4,2.03
7/15/22,132,Cockle Cove,Bottom water,24.8,32.59,22.8,8.061,,2052.3,2052.3,1874.89,,,7.846,626.1,2.17,,8.030,377.9,3.06,,8.030,396.5,3.20,,8.030,396.5,3.20
8/13/22,806,Cockle Cove,Bottom water,21.9,32.78,20.6,7.959,2125.80,,2125.80,1954.49,,,7.864,620.0,2.10,,7.939,507.4,2.42,,7.939,516.2,2.46,,7.939,516.2,2.46
10/28/22,243,Cockle Cove,Bottom water,12.4,31.53,6.4,7.983,2533.77,,,1980.45,,,8.586,96.4,6.20,,7.886,694.0,1.77,,7.887,571.1,1.46,,7.886,571.1,1.46
11/8/22,282,Cockle Cove,Bottom water,12.7,29.89,8.3,7.714,2033.40,,2033.40,2051.96,,,7.441,1681.5,0.54,,7.650,1013.1,0.85,,7.650,1042.1,0.87,,7.650,1042.1,0.87
12/7/22,328,Cockle Cove,Bottom water,9.6,31.38,11.8,8.037,2185.40,,2185.40,2035.89,,,8.015,423.3,1.77,,8.073,363.4,1.99,,8.073,367.6,2.01,,8.073,363.4,1.99
1/18/23,333,Cockle Cove,Bottom water,7.9,32.08,10.8,8.064,2198.91,,2198.91,1933.53,,,8.288,202.2,2.85,,8.112,326.1,2.04,,8.112,312.7,1.96,,8.112,326.1,2.04
2/22/23,380,Cockle Cove,Bottom water,4.2,30.90,4.6,8.031,2080.71,,2080.71,2045.77,,,7.751,754.8,0.77,,8.038,369.2,1.41,,8.038,385.1,1.47,,8.038,369.2,1.41
3/22/23,413,Cockle Cove,Bottom water,5.1,30.84,13.5,7.888,2234.61,,2234.61,2041.28,,,8.198,263.3,2.16,,8.024,414.1,1.52,,8.024,400.8,1.47,,8.024,414.1,1.52
