"","x","y"
"1",2022-03-02,NA
"2",2022-03-03,NA
"3",2022-03-04,NA
"4",2022-03-05,NA
"5",2022-03-06,NA
"6",2022-03-07,NA
"7",2022-03-08,NA
"8",2022-03-09,NA
"9",2022-03-10,NA
"10",2022-03-11,NA
"11",2022-03-12,NA
"12",2022-03-13,NA
"13",2022-03-14,NA
"14",2022-03-15,NA
"15",2022-03-16,NA
"16",2022-03-17,NA
"17",2022-03-18,NA
"18",2022-03-19,NA
"19",2022-03-20,NA
"20",2022-03-21,NA
"21",2022-03-22,NA
"22",2022-03-23,NA
"23",2022-03-24,NA
"24",2022-03-25,NA
"25",2022-03-26,NA
"26",2022-03-27,NA
"27",2022-03-28,NA
"28",2022-03-29,NA
"29",2022-03-30,NA
"30",2022-03-31,NA
"31",2022-04-01,NA
"32",2022-04-02,NA
"33",2022-04-03,NA
"34",2022-04-04,NA
"35",2022-04-05,NA
"36",2022-04-06,NA
"37",2022-04-07,NA
"38",2022-04-08,NA
"39",2022-04-09,NA
"40",2022-04-10,NA
"41",2022-04-11,NA
"42",2022-04-12,NA
"43",2022-04-13,NA
"44",2022-04-14,NA
"45",2022-04-15,NA
"46",2022-04-16,NA
"47",2022-04-17,NA
"48",2022-04-18,NA
"49",2022-04-19,NA
"50",2022-04-20,1.6
"51",2022-04-21,1.7
"52",2022-04-22,1.72592592592593
"53",2022-04-23,1.75185185185185
"54",2022-04-24,1.77777777777778
"55",2022-04-25,1.8037037037037
"56",2022-04-26,1.82962962962963
"57",2022-04-27,1.85555555555556
"58",2022-04-28,1.88148148148148
"59",2022-04-29,1.90740740740741
"60",2022-04-30,1.93333333333333
"61",2022-05-01,1.95925925925926
"62",2022-05-02,1.98518518518519
"63",2022-05-03,2.01111111111111
"64",2022-05-04,2.03703703703704
"65",2022-05-05,2.06296296296296
"66",2022-05-06,2.08888888888889
"67",2022-05-07,2.11481481481481
"68",2022-05-08,2.14074074074074
"69",2022-05-09,2.16666666666667
"70",2022-05-10,2.19259259259259
"71",2022-05-11,2.21851851851852
"72",2022-05-12,2.24444444444444
"73",2022-05-13,2.27037037037037
"74",2022-05-14,2.2962962962963
"75",2022-05-15,2.32222222222222
"76",2022-05-16,2.34814814814815
"77",2022-05-17,2.37407407407407
"78",2022-05-18,2.4
"79",2022-05-19,2.55357142857143
"80",2022-05-20,2.70714285714286
"81",2022-05-21,2.86071428571429
"82",2022-05-22,3.01428571428571
"83",2022-05-23,3.16785714285714
"84",2022-05-24,3.32142857142857
"85",2022-05-25,3.475
"86",2022-05-26,3.62857142857143
"87",2022-05-27,3.78214285714286
"88",2022-05-28,3.93571428571429
"89",2022-05-29,4.08928571428571
"90",2022-05-30,4.24285714285714
"91",2022-05-31,4.39642857142857
"92",2022-06-01,4.55
"93",2022-06-02,4.70357142857143
"94",2022-06-03,4.85714285714286
"95",2022-06-04,5.01071428571429
"96",2022-06-05,5.16428571428571
"97",2022-06-06,5.31785714285714
"98",2022-06-07,5.47142857142857
"99",2022-06-08,5.625
"100",2022-06-09,5.77857142857143
"101",2022-06-10,5.93214285714286
"102",2022-06-11,6.08571428571429
"103",2022-06-12,6.23928571428572
"104",2022-06-13,6.39285714285714
"105",2022-06-14,6.54642857142857
"106",2022-06-15,6.7
"107",2022-06-16,6.85625
"108",2022-06-17,7.0125
"109",2022-06-18,7.16875
"110",2022-06-19,7.325
"111",2022-06-20,7.48125
"112",2022-06-21,7.6375
"113",2022-06-22,7.79375
"114",2022-06-23,7.95
"115",2022-06-24,8.10625
"116",2022-06-25,8.2625
"117",2022-06-26,8.41875
"118",2022-06-27,8.575
"119",2022-06-28,8.73125
"120",2022-06-29,8.8875
"121",2022-06-30,9.04375
"122",2022-07-01,9.2
"123",2022-07-02,9.69230769230769
"124",2022-07-03,10.1846153846154
"125",2022-07-04,10.6769230769231
"126",2022-07-05,11.1692307692308
"127",2022-07-06,11.6615384615385
"128",2022-07-07,12.1538461538462
"129",2022-07-08,12.6461538461538
"130",2022-07-09,13.1384615384615
"131",2022-07-10,13.6307692307692
"132",2022-07-11,14.1230769230769
"133",2022-07-12,14.6153846153846
"134",2022-07-13,15.1076923076923
"135",2022-07-14,15.6
"136",2022-07-15,14.6769230769231
"137",2022-07-16,13.7538461538462
"138",2022-07-17,12.8307692307692
"139",2022-07-18,11.9076923076923
"140",2022-07-19,10.9846153846154
"141",2022-07-20,10.0615384615385
"142",2022-07-21,9.13846153846154
"143",2022-07-22,8.21538461538461
"144",2022-07-23,7.29230769230769
"145",2022-07-24,6.36923076923077
"146",2022-07-25,5.44615384615385
"147",2022-07-26,4.52307692307692
"148",2022-07-27,3.6
"149",2022-07-28,3.74285714285714
"150",2022-07-29,3.88571428571429
"151",2022-07-30,4.02857142857143
"152",2022-07-31,4.17142857142857
"153",2022-08-01,4.31428571428571
"154",2022-08-02,4.45714285714286
"155",2022-08-03,4.6
"156",2022-08-04,5.15
"157",2022-08-05,5.7
"158",2022-08-06,5.91111111111111
"159",2022-08-07,6.12222222222222
"160",2022-08-08,6.33333333333333
"161",2022-08-09,6.54444444444444
"162",2022-08-10,6.75555555555556
"163",2022-08-11,6.96666666666667
"164",2022-08-12,7.17777777777778
"165",2022-08-13,7.38888888888889
"166",2022-08-14,7.6
"167",2022-08-15,7.46
"168",2022-08-16,7.32
"169",2022-08-17,7.18
"170",2022-08-18,7.04
"171",2022-08-19,6.9
"172",2022-08-20,6.76
"173",2022-08-21,6.62
"174",2022-08-22,6.48
"175",2022-08-23,6.34
"176",2022-08-24,6.2
"177",2022-08-25,6.06
"178",2022-08-26,5.92
"179",2022-08-27,5.78
"180",2022-08-28,5.64
"181",2022-08-29,5.5
"182",2022-08-30,5.43023255813953
"183",2022-08-31,5.36046511627907
"184",2022-09-01,5.2906976744186
"185",2022-09-02,5.22093023255814
"186",2022-09-03,5.15116279069767
"187",2022-09-04,5.08139534883721
"188",2022-09-05,5.01162790697674
"189",2022-09-06,4.94186046511628
"190",2022-09-07,4.87209302325581
"191",2022-09-08,4.80232558139535
"192",2022-09-09,4.73255813953488
"193",2022-09-10,4.66279069767442
"194",2022-09-11,4.59302325581395
"195",2022-09-12,4.52325581395349
"196",2022-09-13,4.45348837209302
"197",2022-09-14,4.38372093023256
"198",2022-09-15,4.31395348837209
"199",2022-09-16,4.24418604651163
"200",2022-09-17,4.17441860465116
"201",2022-09-18,4.1046511627907
"202",2022-09-19,4.03488372093023
"203",2022-09-20,3.96511627906977
"204",2022-09-21,3.8953488372093
"205",2022-09-22,3.82558139534884
"206",2022-09-23,3.75581395348837
"207",2022-09-24,3.68604651162791
"208",2022-09-25,3.61627906976744
"209",2022-09-26,3.54651162790698
"210",2022-09-27,3.47674418604651
"211",2022-09-28,3.40697674418605
"212",2022-09-29,3.33720930232558
"213",2022-09-30,3.26744186046512
"214",2022-10-01,3.19767441860465
"215",2022-10-02,3.12790697674419
"216",2022-10-03,3.05813953488372
"217",2022-10-04,2.98837209302326
"218",2022-10-05,2.91860465116279
"219",2022-10-06,2.84883720930233
"220",2022-10-07,2.77906976744186
"221",2022-10-08,2.7093023255814
"222",2022-10-09,2.63953488372093
"223",2022-10-10,2.56976744186047
"224",2022-10-11,2.5
"225",2022-10-12,2.79285714285714
"226",2022-10-13,3.08571428571429
"227",2022-10-14,3.37857142857143
"228",2022-10-15,3.67142857142857
"229",2022-10-16,3.96428571428571
"230",2022-10-17,4.25714285714286
"231",2022-10-18,4.55
"232",2022-10-19,4.84285714285714
"233",2022-10-20,5.13571428571429
"234",2022-10-21,5.42857142857143
"235",2022-10-22,5.72142857142857
"236",2022-10-23,6.01428571428571
"237",2022-10-24,6.30714285714286
"238",2022-10-25,6.6
"239",2022-10-26,6.85
"240",2022-10-27,7.1
"241",2022-10-28,7.35
"242",2022-10-29,7.6
"243",2022-10-30,7.85
"244",2022-10-31,8.1
"245",2022-11-01,8.35
"246",2022-11-02,8.6
"247",2022-11-03,8.85
"248",2022-11-04,9.1
"249",2022-11-05,9
"250",2022-11-06,8.9
"251",2022-11-07,8.8
"252",2022-11-08,8.7
"253",2022-11-09,8.6
"254",2022-11-10,8.5
"255",2022-11-11,8.4
"256",2022-11-12,8.3
"257",2022-11-13,8.2
"258",2022-11-14,8.1
"259",2022-11-15,8
"260",2022-11-16,7.9
"261",2022-11-17,7.8
"262",2022-11-18,7.7
"263",2022-11-19,7.6
"264",2022-11-20,7.5
"265",2022-11-21,7.4
"266",2022-11-22,7.3
"267",2022-11-23,7.2
"268",2022-11-24,7.1
"269",2022-11-25,7
"270",2022-11-26,6.9
"271",2022-11-27,6.8
"272",2022-11-28,6.7
"273",2022-11-29,6.6
"274",2022-11-30,5.46
"275",2022-12-01,4.32
"276",2022-12-02,3.18
"277",2022-12-03,2.04
"278",2022-12-04,0.9
"279",2022-12-05,0.9625
"280",2022-12-06,1.025
"281",2022-12-07,1.0875
"282",2022-12-08,1.15
"283",2022-12-09,1.2125
"284",2022-12-10,1.275
"285",2022-12-11,1.3375
"286",2022-12-12,1.4
"287",2022-12-13,1.4625
"288",2022-12-14,1.525
"289",2022-12-15,1.5875
"290",2022-12-16,1.65
"291",2022-12-17,1.7125
"292",2022-12-18,1.775
"293",2022-12-19,1.8375
"294",2022-12-20,1.9
"295",2022-12-21,1.9625
"296",2022-12-22,2.025
"297",2022-12-23,2.0875
"298",2022-12-24,2.15
"299",2022-12-25,2.2125
"300",2022-12-26,2.275
"301",2022-12-27,2.3375
"302",2022-12-28,2.4
"303",2022-12-29,2.4625
"304",2022-12-30,2.525
"305",2022-12-31,2.5875
"306",2023-01-01,2.65
"307",2023-01-02,2.7125
"308",2023-01-03,2.775
"309",2023-01-04,2.8375
"310",2023-01-05,2.9
"311",2023-01-06,2.9625
"312",2023-01-07,3.025
"313",2023-01-08,3.0875
"314",2023-01-09,3.15
"315",2023-01-10,3.2125
"316",2023-01-11,3.275
"317",2023-01-12,3.3375
"318",2023-01-13,3.4
"319",2023-01-14,3.4625
"320",2023-01-15,3.525
"321",2023-01-16,3.5875
"322",2023-01-17,3.65
"323",2023-01-18,3.7125
"324",2023-01-19,3.775
"325",2023-01-20,3.8375
"326",2023-01-21,3.9
"327",2023-01-22,3.87741935483871
"328",2023-01-23,3.85483870967742
"329",2023-01-24,3.83225806451613
"330",2023-01-25,3.80967741935484
"331",2023-01-26,3.78709677419355
"332",2023-01-27,3.76451612903226
"333",2023-01-28,3.74193548387097
"334",2023-01-29,3.71935483870968
"335",2023-01-30,3.69677419354839
"336",2023-01-31,3.6741935483871
"337",2023-02-01,3.65161290322581
"338",2023-02-02,3.62903225806452
"339",2023-02-03,3.60645161290323
"340",2023-02-04,3.58387096774194
"341",2023-02-05,3.56129032258065
"342",2023-02-06,3.53870967741935
"343",2023-02-07,3.51612903225806
"344",2023-02-08,3.49354838709677
"345",2023-02-09,3.47096774193548
"346",2023-02-10,3.44838709677419
"347",2023-02-11,3.4258064516129
"348",2023-02-12,3.40322580645161
"349",2023-02-13,3.38064516129032
"350",2023-02-14,3.35806451612903
"351",2023-02-15,3.33548387096774
"352",2023-02-16,3.31290322580645
"353",2023-02-17,3.29032258064516
"354",2023-02-18,3.26774193548387
"355",2023-02-19,3.24516129032258
"356",2023-02-20,3.22258064516129
"357",2023-02-21,3.2
"358",2023-02-22,3.44814814814815
"359",2023-02-23,3.6962962962963
"360",2023-02-24,3.94444444444444
"361",2023-02-25,4.19259259259259
"362",2023-02-26,4.44074074074074
"363",2023-02-27,4.68888888888889
"364",2023-02-28,4.93703703703704
"365",2023-03-01,5.18518518518519
"366",2023-03-02,5.43333333333333
"367",2023-03-03,5.68148148148148
"368",2023-03-04,5.92962962962963
"369",2023-03-05,6.17777777777778
"370",2023-03-06,6.42592592592593
"371",2023-03-07,6.67407407407407
"372",2023-03-08,6.92222222222222
"373",2023-03-09,7.17037037037037
"374",2023-03-10,7.41851851851852
"375",2023-03-11,7.66666666666667
"376",2023-03-12,7.91481481481482
"377",2023-03-13,8.16296296296296
"378",2023-03-14,8.41111111111111
"379",2023-03-15,8.65925925925926
"380",2023-03-16,8.90740740740741
"381",2023-03-17,9.15555555555556
"382",2023-03-18,9.40370370370371
"383",2023-03-19,9.65185185185185
"384",2023-03-20,9.9
"385",2023-03-21,9.97142857142857
"386",2023-03-22,10.0428571428571
"387",2023-03-23,10.1142857142857
"388",2023-03-24,10.1857142857143
"389",2023-03-25,10.2571428571429
"390",2023-03-26,10.3285714285714
"391",2023-03-27,10.4
"392",2023-03-28,10.4714285714286
"393",2023-03-29,10.5428571428571
"394",2023-03-30,10.6142857142857
"395",2023-03-31,10.6857142857143
"396",2023-04-01,10.7571428571429
"397",2023-04-02,10.8285714285714
"398",2023-04-03,10.9
"399",2023-04-04,10.9714285714286
"400",2023-04-05,11.0428571428571
"401",2023-04-06,11.1142857142857
"402",2023-04-07,11.1857142857143
"403",2023-04-08,11.2571428571429
"404",2023-04-09,11.3285714285714
"405",2023-04-10,11.4
"406",2023-04-11,11.4714285714286
"407",2023-04-12,11.5428571428571
"408",2023-04-13,11.6142857142857
"409",2023-04-14,11.6857142857143
"410",2023-04-15,11.7571428571429
"411",2023-04-16,11.8285714285714
"412",2023-04-17,11.9
"413",2023-04-18,11.6391304347826
"414",2023-04-19,11.3782608695652
"415",2023-04-20,11.1173913043478
"416",2023-04-21,10.8565217391304
"417",2023-04-22,10.595652173913
"418",2023-04-23,10.3347826086957
"419",2023-04-24,10.0739130434783
"420",2023-04-25,9.81304347826087
"421",2023-04-26,9.55217391304348
"422",2023-04-27,9.29130434782609
"423",2023-04-28,9.0304347826087
"424",2023-04-29,8.76956521739131
"425",2023-04-30,8.50869565217391
"426",2023-05-01,8.24782608695652
"427",2023-05-02,7.98695652173913
"428",2023-05-03,7.72608695652174
"429",2023-05-04,7.46521739130435
"430",2023-05-05,7.20434782608696
"431",2023-05-06,6.94347826086957
"432",2023-05-07,6.68260869565217
"433",2023-05-08,6.42173913043478
"434",2023-05-09,6.16086956521739
"435",2023-05-10,5.9
"436",2023-05-11,5.81875
"437",2023-05-12,5.7375
"438",2023-05-13,5.65625
"439",2023-05-14,5.575
"440",2023-05-15,5.49375
"441",2023-05-16,5.4125
"442",2023-05-17,5.33125
"443",2023-05-18,5.25
"444",2023-05-19,5.16875
"445",2023-05-20,5.0875
"446",2023-05-21,5.00625
"447",2023-05-22,4.925
"448",2023-05-23,4.84375
"449",2023-05-24,4.7625
"450",2023-05-25,4.68125
"451",2023-05-26,4.6
"452",2023-05-27,4.51875
"453",2023-05-28,4.4375
"454",2023-05-29,4.35625
"455",2023-05-30,4.275
"456",2023-05-31,4.19375
"457",2023-06-01,4.1125
"458",2023-06-02,4.03125
"459",2023-06-03,3.95
"460",2023-06-04,3.86875
"461",2023-06-05,3.7875
"462",2023-06-06,3.70625
"463",2023-06-07,3.625
"464",2023-06-08,3.54375
"465",2023-06-09,3.4625
