Date,Site,ID,TSM SW volume_mL,Chl SW vol_mL,Chl measured ug/L,Dry weight_filter_only,Date dried_60C,Dry weight_mg_filter_and_TSM,Amt Aluminum on filter,Dry weight_mg,TSM_mg/L_all_data,TSM_mg/L,Pre-ash wt_mg_filter_and_ash,Ash weight_mg_Filter_and_ash,ash only mg,AFDW mg,AFDW mg/L,% organic,POM (ug / L),Filter appearance notes - Dry wt,Filter appearance notes - Ash wt,Other notes,More notes
Metadata_column info,,,,,,,,,"L or (AL) = aluminum oxide grains present inside aluminum jacket but not visbly stuck to filter, AL could be M or H. M = medium = spots, etc.; H = a lot of aluminum oxidized onto filter",,,,,,,,,,,,,,
8/10/2021,Eel Pond,,500,,,25.481,10/27/21,27.495,,2.014,4.028,4.028,,26.107,0.626,1.388,2.8,0.69,2.8,Not folded in half,Not folded in half,,
8/10/2021,Chatham,,250,,,24.177,10/27/21,27.645,,3.468,13.872,13.872,,24.896,0.719,2.749,11.0,0.79,11.0,,small spot of aluminum corrosion,,
8/10/2021,Nobscusset,,500,,,25.543,10/27/21,27.636,,2.093,4.186,4.186,,26.431,0.888,1.205,2.4,0.58,2.4,,no aluminum corrosion,Ash weight filter + POM - not sure if this is correct bc samples moved during transport (#3-#6),
8/10/2021,Barnstable,,500,,,26.044,10/27/21,27.876,M,1.832,3.664,,,26.759,0.715,1.117,2.2,,2.2,Aluminum foil corrosion on filter,small spot of aluminum corrosion,Ash weight filter + POM - not sure if this is correct bc samples moved during transport (#3-#6),
6/15/2021,Nobscusset,,500,,,25.675,10/27/21,29.638,,3.963,7.926,7.926,,27.291,1.616,2.347,4.7,0.59,4.7,Some parts of filter are missing,large amount of aluminum corrosion,Ash weight filter + POM - not sure if this is correct bc samples moved during transport (#3-#6),"Mistakenly marked as ""Howes"""
6/15/2021,Popponesset Bay,,500,,,24.537,10/27/21,27.866,M,3.329,6.658,,,26.09,1.553,1.776,3.6,,3.6,Aluminum foil corrosion on filter,large amount of aluminum corrosion,Ash weight filter + POM - not sure if this is correct bc samples moved during transport (#3-#6),Must be Pomponesset - I think there were only 3 sites this month.
6/15/2021,Eel Pond,,250,,,25.186,10/27/21,27.2246,M,2.0386,8.1544,,,26.469,1.283,0.7556,3.0,,3.0,Aluminum foil corrosion on filter,,,Weighed on 12/9/21
7/26/2021,Nobscusset,,250,,,24.669,10/29/21,27.855,M,3.186,12.744,,,26.431,1.762,1.424,5.7,,5.7,Aluminum foil corrosion on filter,,,
7/26/2021,Eel Pond,,350,,,25.643,10/29/21,28.318,M,2.675,7.643,,,26.989,1.346,1.329,3.8,,3.8,Aluminum foil corrosion on filter,,,
