NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Daily Tide Predictions
StationName: SESUIT HARBOR, EAST DENNIS 
State: MA 
Stationid: 8447241
Prediction Type: Harmonic
From: 20220701 00:00 - 20220731 23:59
Units: Feet
Time Zone: LST_LDT
Datum: MLLW
Interval Type: One Minute

Date 		Day	Time	Pred	
2022/07/01	Fri	00:00	9.00	
2022/07/01	Fri	00:01	9.03	
2022/07/01	Fri	00:02	9.05	
2022/07/01	Fri	00:03	9.08	
2022/07/01	Fri	00:04	9.10	
2022/07/01	Fri	00:05	9.13	
2022/07/01	Fri	00:06	9.15	
2022/07/01	Fri	00:07	9.18	
2022/07/01	Fri	00:08	9.20	
2022/07/01	Fri	00:09	9.23	
2022/07/01	Fri	00:10	9.25	
2022/07/01	Fri	00:11	9.27	
2022/07/01	Fri	00:12	9.30	
2022/07/01	Fri	00:13	9.32	
2022/07/01	Fri	00:14	9.34	
2022/07/01	Fri	00:15	9.37	
2022/07/01	Fri	00:16	9.39	
2022/07/01	Fri	00:17	9.41	
2022/07/01	Fri	00:18	9.43	
2022/07/01	Fri	00:19	9.45	
2022/07/01	Fri	00:20	9.47	
2022/07/01	Fri	00:21	9.49	
2022/07/01	Fri	00:22	9.52	
2022/07/01	Fri	00:23	9.54	
2022/07/01	Fri	00:24	9.55	
2022/07/01	Fri	00:25	9.57	
2022/07/01	Fri	00:26	9.59	
2022/07/01	Fri	00:27	9.61	
2022/07/01	Fri	00:28	9.63	
2022/07/01	Fri	00:29	9.65	
2022/07/01	Fri	00:30	9.67	
2022/07/01	Fri	00:31	9.69	
2022/07/01	Fri	00:32	9.70	
2022/07/01	Fri	00:33	9.72	
2022/07/01	Fri	00:34	9.74	
2022/07/01	Fri	00:35	9.75	
2022/07/01	Fri	00:36	9.77	
2022/07/01	Fri	00:37	9.78	
2022/07/01	Fri	00:38	9.80	
2022/07/01	Fri	00:39	9.81	
2022/07/01	Fri	00:40	9.83	
2022/07/01	Fri	00:41	9.84	
2022/07/01	Fri	00:42	9.86	
2022/07/01	Fri	00:43	9.87	
2022/07/01	Fri	00:44	9.88	
2022/07/01	Fri	00:45	9.90	
2022/07/01	Fri	00:46	9.91	
2022/07/01	Fri	00:47	9.92	
2022/07/01	Fri	00:48	9.93	
2022/07/01	Fri	00:49	9.94	
2022/07/01	Fri	00:50	9.95	
2022/07/01	Fri	00:51	9.96	
2022/07/01	Fri	00:52	9.97	
2022/07/01	Fri	00:53	9.98	
2022/07/01	Fri	00:54	9.99	
2022/07/01	Fri	00:55	10.00	
2022/07/01	Fri	00:56	10.01	
2022/07/01	Fri	00:57	10.02	
2022/07/01	Fri	00:58	10.02	
2022/07/01	Fri	00:59	10.03	
2022/07/01	Fri	01:00	10.04	
2022/07/01	Fri	01:01	10.04	
2022/07/01	Fri	01:02	10.05	
2022/07/01	Fri	01:03	10.05	
2022/07/01	Fri	01:04	10.06	
2022/07/01	Fri	01:05	10.06	
2022/07/01	Fri	01:06	10.07	
2022/07/01	Fri	01:07	10.07	
2022/07/01	Fri	01:08	10.08	
2022/07/01	Fri	01:09	10.08	
2022/07/01	Fri	01:10	10.08	
2022/07/01	Fri	01:11	10.08	
2022/07/01	Fri	01:12	10.09	
2022/07/01	Fri	01:13	10.09	
2022/07/01	Fri	01:14	10.09	
2022/07/01	Fri	01:15	10.09	
2022/07/01	Fri	01:16	10.09	
2022/07/01	Fri	01:17	10.09	
2022/07/01	Fri	01:18	10.09	
2022/07/01	Fri	01:19	10.09	
2022/07/01	Fri	01:20	10.08	
2022/07/01	Fri	01:21	10.08	
2022/07/01	Fri	01:22	10.08	
2022/07/01	Fri	01:23	10.08	
2022/07/01	Fri	01:24	10.07	
2022/07/01	Fri	01:25	10.07	
2022/07/01	Fri	01:26	10.06	
2022/07/01	Fri	01:27	10.06	
2022/07/01	Fri	01:28	10.06	
2022/07/01	Fri	01:29	10.05	
2022/07/01	Fri	01:30	10.04	
2022/07/01	Fri	01:31	10.04	
2022/07/01	Fri	01:32	10.03	
2022/07/01	Fri	01:33	10.03	
2022/07/01	Fri	01:34	10.02	
2022/07/01	Fri	01:35	10.01	
2022/07/01	Fri	01:36	10.00	
2022/07/01	Fri	01:37	9.99	
2022/07/01	Fri	01:38	9.99	
2022/07/01	Fri	01:39	9.98	
2022/07/01	Fri	01:40	9.97	
2022/07/01	Fri	01:41	9.96	
2022/07/01	Fri	01:42	9.95	
2022/07/01	Fri	01:43	9.94	
2022/07/01	Fri	01:44	9.93	
2022/07/01	Fri	01:45	9.91	
2022/07/01	Fri	01:46	9.90	
2022/07/01	Fri	01:47	9.89	
2022/07/01	Fri	01:48	9.88	
2022/07/01	Fri	01:49	9.87	
2022/07/01	Fri	01:50	9.85	
2022/07/01	Fri	01:51	9.84	
2022/07/01	Fri	01:52	9.83	
2022/07/01	Fri	01:53	9.81	
2022/07/01	Fri	01:54	9.80	
2022/07/01	Fri	01:55	9.79	
2022/07/01	Fri	01:56	9.77	
2022/07/01	Fri	01:57	9.76	
2022/07/01	Fri	01:58	9.74	
2022/07/01	Fri	01:59	9.72	
2022/07/01	Fri	02:00	9.71	
2022/07/01	Fri	02:01	9.69	
2022/07/01	Fri	02:02	9.67	
2022/07/01	Fri	02:03	9.66	
2022/07/01	Fri	02:04	9.64	
2022/07/01	Fri	02:05	9.62	
2022/07/01	Fri	02:06	9.61	
2022/07/01	Fri	02:07	9.59	
2022/07/01	Fri	02:08	9.57	
2022/07/01	Fri	02:09	9.55	
2022/07/01	Fri	02:10	9.53	
2022/07/01	Fri	02:11	9.51	
2022/07/01	Fri	02:12	9.49	
2022/07/01	Fri	02:13	9.47	
2022/07/01	Fri	02:14	9.45	
2022/07/01	Fri	02:15	9.43	
2022/07/01	Fri	02:16	9.41	
2022/07/01	Fri	02:17	9.39	
2022/07/01	Fri	02:18	9.37	
2022/07/01	Fri	02:19	9.35	
2022/07/01	Fri	02:20	9.33	
2022/07/01	Fri	02:21	9.31	
2022/07/01	Fri	02:22	9.29	
2022/07/01	Fri	02:23	9.26	
2022/07/01	Fri	02:24	9.24	
2022/07/01	Fri	02:25	9.22	
2022/07/01	Fri	02:26	9.20	
2022/07/01	Fri	02:27	9.18	
2022/07/01	Fri	02:28	9.15	
2022/07/01	Fri	02:29	9.13	
2022/07/01	Fri	02:30	9.11	
2022/07/01	Fri	02:31	9.08	
2022/07/01	Fri	02:32	9.06	
2022/07/01	Fri	02:33	9.04	
