NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Daily Tide Predictions
StationName: SESUIT HARBOR, EAST DENNIS 
State: MA 
Stationid: 8447241
Prediction Type: Harmonic
From: 20220901 00:00 - 20220930 23:59
Units: Feet
Time Zone: LST_LDT
Datum: MLLW
Interval Type: One Minute

Date 		Day	Time	Pred	
2022/09/01	Thu	00:00	5.17	
2022/09/01	Thu	00:01	5.21	
2022/09/01	Thu	00:02	5.25	
2022/09/01	Thu	00:03	5.29	
2022/09/01	Thu	00:04	5.33	
2022/09/01	Thu	00:05	5.36	
2022/09/01	Thu	00:06	5.40	
2022/09/01	Thu	00:07	5.44	
2022/09/01	Thu	00:08	5.47	
2022/09/01	Thu	00:09	5.51	
2022/09/01	Thu	00:10	5.55	
2022/09/01	Thu	00:11	5.58	
2022/09/01	Thu	00:12	5.62	
2022/09/01	Thu	00:13	5.66	
2022/09/01	Thu	00:14	5.69	
2022/09/01	Thu	00:15	5.73	
2022/09/01	Thu	00:16	5.77	
2022/09/01	Thu	00:17	5.80	
2022/09/01	Thu	00:18	5.84	
2022/09/01	Thu	00:19	5.87	
2022/09/01	Thu	00:20	5.91	
2022/09/01	Thu	00:21	5.95	
2022/09/01	Thu	00:22	5.98	
2022/09/01	Thu	00:23	6.02	
2022/09/01	Thu	00:24	6.05	
2022/09/01	Thu	00:25	6.09	
2022/09/01	Thu	00:26	6.12	
2022/09/01	Thu	00:27	6.16	
2022/09/01	Thu	00:28	6.19	
2022/09/01	Thu	00:29	6.23	
2022/09/01	Thu	00:30	6.26	
2022/09/01	Thu	00:31	6.29	
2022/09/01	Thu	00:32	6.33	
2022/09/01	Thu	00:33	6.36	
2022/09/01	Thu	00:34	6.40	
2022/09/01	Thu	00:35	6.43	
2022/09/01	Thu	00:36	6.47	
2022/09/01	Thu	00:37	6.50	
2022/09/01	Thu	00:38	6.53	
2022/09/01	Thu	00:39	6.57	
2022/09/01	Thu	00:40	6.60	
2022/09/01	Thu	00:41	6.63	
2022/09/01	Thu	00:42	6.67	
2022/09/01	Thu	00:43	6.70	
2022/09/01	Thu	00:44	6.74	
2022/09/01	Thu	00:45	6.77	
2022/09/01	Thu	00:46	6.80	
2022/09/01	Thu	00:47	6.83	
2022/09/01	Thu	00:48	6.87	
2022/09/01	Thu	00:49	6.90	
2022/09/01	Thu	00:50	6.93	
2022/09/01	Thu	00:51	6.96	
2022/09/01	Thu	00:52	7.00	
2022/09/01	Thu	00:53	7.03	
2022/09/01	Thu	00:54	7.06	
2022/09/01	Thu	00:55	7.09	
2022/09/01	Thu	00:56	7.13	
2022/09/01	Thu	00:57	7.16	
2022/09/01	Thu	00:58	7.19	
2022/09/01	Thu	00:59	7.22	
2022/09/01	Thu	01:00	7.25	
2022/09/01	Thu	01:01	7.29	
2022/09/01	Thu	01:02	7.32	
2022/09/01	Thu	01:03	7.35	
2022/09/01	Thu	01:04	7.38	
2022/09/01	Thu	01:05	7.41	
2022/09/01	Thu	01:06	7.44	
2022/09/01	Thu	01:07	7.47	
2022/09/01	Thu	01:08	7.50	
2022/09/01	Thu	01:09	7.54	
2022/09/01	Thu	01:10	7.57	
2022/09/01	Thu	01:11	7.60	
2022/09/01	Thu	01:12	7.63	
2022/09/01	Thu	01:13	7.66	
2022/09/01	Thu	01:14	7.69	
2022/09/01	Thu	01:15	7.72	
2022/09/01	Thu	01:16	7.75	
2022/09/01	Thu	01:17	7.78	
2022/09/01	Thu	01:18	7.81	
2022/09/01	Thu	01:19	7.84	
2022/09/01	Thu	01:20	7.87	
2022/09/01	Thu	01:21	7.90	
2022/09/01	Thu	01:22	7.93	
2022/09/01	Thu	01:23	7.96	
2022/09/01	Thu	01:24	7.99	
2022/09/01	Thu	01:25	8.02	
2022/09/01	Thu	01:26	8.05	
2022/09/01	Thu	01:27	8.08	
2022/09/01	Thu	01:28	8.11	
2022/09/01	Thu	01:29	8.13	
2022/09/01	Thu	01:30	8.16	
2022/09/01	Thu	01:31	8.19	
2022/09/01	Thu	01:32	8.22	
2022/09/01	Thu	01:33	8.25	
2022/09/01	Thu	01:34	8.28	
2022/09/01	Thu	01:35	8.31	
2022/09/01	Thu	01:36	8.34	
2022/09/01	Thu	01:37	8.36	
2022/09/01	Thu	01:38	8.39	
2022/09/01	Thu	01:39	8.42	
2022/09/01	Thu	01:40	8.45	
2022/09/01	Thu	01:41	8.47	
2022/09/01	Thu	01:42	8.50	
2022/09/01	Thu	01:43	8.53	
2022/09/01	Thu	01:44	8.56	
2022/09/01	Thu	01:45	8.58	
2022/09/01	Thu	01:46	8.61	
2022/09/01	Thu	01:47	8.64	
2022/09/01	Thu	01:48	8.66	
2022/09/01	Thu	01:49	8.69	
2022/09/01	Thu	01:50	8.72	
2022/09/01	Thu	01:51	8.74	
2022/09/01	Thu	01:52	8.77	
2022/09/01	Thu	01:53	8.79	
2022/09/01	Thu	01:54	8.82	
2022/09/01	Thu	01:55	8.85	
2022/09/01	Thu	01:56	8.87	
2022/09/01	Thu	01:57	8.90	
2022/09/01	Thu	01:58	8.92	
2022/09/01	Thu	01:59	8.95	
2022/09/01	Thu	02:00	8.97	
2022/09/01	Thu	02:01	8.99	
2022/09/01	Thu	02:02	9.02	
2022/09/01	Thu	02:03	9.04	
2022/09/01	Thu	02:04	9.07	
2022/09/01	Thu	02:05	9.09	
2022/09/01	Thu	02:06	9.11	
2022/09/01	Thu	02:07	9.14	
2022/09/01	Thu	02:08	9.16	
2022/09/01	Thu	02:09	9.18	
2022/09/01	Thu	02:10	9.21	
2022/09/01	Thu	02:11	9.23	
2022/09/01	Thu	02:12	9.25	
2022/09/01	Thu	02:13	9.27	
2022/09/01	Thu	02:14	9.29	
2022/09/01	Thu	02:15	9.31	
2022/09/01	Thu	02:16	9.34	
2022/09/01	Thu	02:17	9.36	
2022/09/01	Thu	02:18	9.38	
2022/09/01	Thu	02:19	9.40	
2022/09/01	Thu	02:20	9.42	
2022/09/01	Thu	02:21	9.44	
2022/09/01	Thu	02:22	9.46	
2022/09/01	Thu	02:23	9.48	
2022/09/01	Thu	02:24	9.49	
2022/09/01	Thu	02:25	9.51	
2022/09/01	Thu	02:26	9.53	
2022/09/01	Thu	02:27	9.55	
2022/09/01	Thu	02:28	9.57	
2022/09/01	Thu	02:29	9.59	
2022/09/01	Thu	02:30	9.60	
2022/09/01	Thu	02:31	9.62	
2022/09/01	Thu	02:32	9.64	
2022/09/01	Thu	02:33	9.65	
2022/09/01	Thu	02:34	9.67	
2022/09/01	Thu	02:35	9.69	
2022/09/01	Thu	02:36	9.70	
2022/09/01	Thu	02:37	9.72	
2022/09/01	Thu	02:38	9.73	
2022/09/01	Thu	02:39	9.74	
2022/09/01	Thu	02:40	9.76	
2022/09/01	Thu	02:41	9.77	
2022/09/01	Thu	02:42	9.79	
2022/09/01	Thu	02:43	9.80	
2022/09/01	Thu	02:44	9.81	
2022/09/01	Thu	02:45	9.82	
2022/09/01	Thu	02:46	9.84	
2022/09/01	Thu	02:47	9.85	
2022/09/01	Thu	02:48	9.86	
2022/09/01	Thu	02:49	9.87	
2022/09/01	Thu	02:50	9.88	
2022/09/01	Thu	02:51	9.89	
2022/09/01	Thu	02:52	9.90	
2022/09/01	Thu	02:53	9.91	
2022/09/01	Thu	02:54	9.92	
2022/09/01	Thu	02:55	9.93	
2022/09/01	Thu	02:56	9.93	
2022/09/01	Thu	02:57	9.94	
2022/09/01	Thu	02:58	9.95	
2022/09/01	Thu	02:59	9.96	
2022/09/01	Thu	03:00	9.96	
2022/09/01	Thu	03:01	9.97	
2022/09/01	Thu	03:02	9.97	
2022/09/01	Thu	03:03	9.98	
2022/09/01	Thu	03:04	9.98	
2022/09/01	Thu	03:05	9.99	
2022/09/01	Thu	03:06	9.99	
2022/09/01	Thu	03:07	10.00	
2022/09/01	Thu	03:08	10.00	
2022/09/01	Thu	03:09	10.00	
2022/09/01	Thu	03:10	10.00	
2022/09/01	Thu	03:11	10.01	
2022/09/01	Thu	03:12	10.01	
2022/09/01	Thu	03:13	10.01	
2022/09/01	Thu	03:14	10.01	
2022/09/01	Thu	03:15	10.01	
2022/09/01	Thu	03:16	10.01	
2022/09/01	Thu	03:17	10.01	
2022/09/01	Thu	03:18	10.01	
2022/09/01	Thu	03:19	10.01	
2022/09/01	Thu	03:20	10.00	
2022/09/01	Thu	03:21	10.00	
2022/09/01	Thu	03:22	10.00	
2022/09/01	Thu	03:23	9.99	
2022/09/01	Thu	03:24	9.99	
2022/09/01	Thu	03:25	9.98	
2022/09/01	Thu	03:26	9.98	
2022/09/01	Thu	03:27	9.97	
2022/09/01	Thu	03:28	9.97	
2022/09/01	Thu	03:29	9.96	
2022/09/01	Thu	03:30	9.96	
2022/09/01	Thu	03:31	9.95	
2022/09/01	Thu	03:32	9.94	
2022/09/01	Thu	03:33	9.93	
2022/09/01	Thu	03:34	9.93	
2022/09/01	Thu	03:35	9.92	
2022/09/01	Thu	03:36	9.91	
2022/09/01	Thu	03:37	9.90	
2022/09/01	Thu	03:38	9.89	
2022/09/01	Thu	03:39	9.88	
2022/09/01	Thu	03:40	9.87	
2022/09/01	Thu	03:41	9.85	
2022/09/01	Thu	03:42	9.84	
2022/09/01	Thu	03:43	9.83	
2022/09/01	Thu	03:44	9.82	
2022/09/01	Thu	03:45	9.80	
2022/09/01	Thu	03:46	9.79	
2022/09/01	Thu	03:47	9.78	
2022/09/01	Thu	03:48	9.76	
2022/09/01	Thu	03:49	9.75	
2022/09/01	Thu	03:50	9.73	
2022/09/01	Thu	03:51	9.71	
2022/09/01	Thu	03:52	9.70	
2022/09/01	Thu	03:53	9.68	
2022/09/01	Thu	03:54	9.66	
2022/09/01	Thu	03:55	9.65	
2022/09/01	Thu	03:56	9.63	
2022/09/01	Thu	03:57	9.61	
2022/09/01	Thu	03:58	9.59	
2022/09/01	Thu	03:59	9.57	
2022/09/01	Thu	04:00	9.55	
2022/09/01	Thu	04:01	9.53	
2022/09/01	Thu	04:02	9.51	
2022/09/01	Thu	04:03	9.49	
2022/09/01	Thu	04:04	9.47	
2022/09/01	Thu	04:05	9.45	
2022/09/01	Thu	04:06	9.43	
2022/09/01	Thu	04:07	9.41	
2022/09/01	Thu	04:08	9.38	
2022/09/01	Thu	04:09	9.36	
2022/09/01	Thu	04:10	9.34	
2022/09/01	Thu	04:11	9.31	
2022/09/01	Thu	04:12	9.29	
2022/09/01	Thu	04:13	9.27	
2022/09/01	Thu	04:14	9.24	
2022/09/01	Thu	04:15	9.22	
2022/09/01	Thu	04:16	9.19	
2022/09/01	Thu	04:17	9.17	
2022/09/01	Thu	04:18	9.14	
2022/09/01	Thu	04:19	9.12	
2022/09/01	Thu	04:20	9.09	
2022/09/01	Thu	04:21	9.06	
