NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Daily Tide Predictions
StationName: Provincetown 
State: MA 
Stationid: 8446121
Prediction Type: Harmonic
From: 20221001 00:00 - 20221031 23:54
Units: Feet
Time Zone: LST_LDT
Datum: MLLW
Interval Type: One Minute

Date 		Day	Time	Pred	
2022/10/01	Sat	00:00	3.48	
2022/10/01	Sat	00:01	3.52	
2022/10/01	Sat	00:02	3.56	
2022/10/01	Sat	00:03	3.60	
2022/10/01	Sat	00:04	3.63	
2022/10/01	Sat	00:05	3.67	
2022/10/01	Sat	00:06	3.71	
2022/10/01	Sat	00:07	3.75	
2022/10/01	Sat	00:08	3.79	
2022/10/01	Sat	00:09	3.83	
2022/10/01	Sat	00:10	3.86	
2022/10/01	Sat	00:11	3.90	
2022/10/01	Sat	00:12	3.94	
2022/10/01	Sat	00:13	3.98	
2022/10/01	Sat	00:14	4.01	
2022/10/01	Sat	00:15	4.05	
2022/10/01	Sat	00:16	4.09	
2022/10/01	Sat	00:17	4.13	
2022/10/01	Sat	00:18	4.17	
2022/10/01	Sat	00:19	4.20	
2022/10/01	Sat	00:20	4.24	
2022/10/01	Sat	00:21	4.28	
2022/10/01	Sat	00:22	4.32	
2022/10/01	Sat	00:23	4.35	
2022/10/01	Sat	00:24	4.39	
2022/10/01	Sat	00:25	4.43	
2022/10/01	Sat	00:26	4.47	
2022/10/01	Sat	00:27	4.50	
2022/10/01	Sat	00:28	4.54	
2022/10/01	Sat	00:29	4.58	
2022/10/01	Sat	00:30	4.62	
2022/10/01	Sat	00:31	4.65	
2022/10/01	Sat	00:32	4.69	
2022/10/01	Sat	00:33	4.73	
2022/10/01	Sat	00:34	4.76	
2022/10/01	Sat	00:35	4.80	
2022/10/01	Sat	00:36	4.84	
2022/10/01	Sat	00:37	4.87	
2022/10/01	Sat	00:38	4.91	
2022/10/01	Sat	00:39	4.95	
2022/10/01	Sat	00:40	4.98	
2022/10/01	Sat	00:41	5.02	
2022/10/01	Sat	00:42	5.06	
2022/10/01	Sat	00:43	5.09	
2022/10/01	Sat	00:44	5.13	
2022/10/01	Sat	00:45	5.17	
2022/10/01	Sat	00:46	5.20	
2022/10/01	Sat	00:47	5.24	
2022/10/01	Sat	00:48	5.27	
2022/10/01	Sat	00:49	5.31	
2022/10/01	Sat	00:50	5.34	
2022/10/01	Sat	00:51	5.38	
2022/10/01	Sat	00:52	5.42	
2022/10/01	Sat	00:53	5.45	
2022/10/01	Sat	00:54	5.49	
2022/10/01	Sat	00:55	5.52	
2022/10/01	Sat	00:56	5.56	
2022/10/01	Sat	00:57	5.59	
2022/10/01	Sat	00:58	5.63	
2022/10/01	Sat	00:59	5.66	
2022/10/01	Sat	01:00	5.70	
2022/10/01	Sat	01:01	5.73	
2022/10/01	Sat	01:02	5.77	
2022/10/01	Sat	01:03	5.80	
2022/10/01	Sat	01:04	5.84	
2022/10/01	Sat	01:05	5.87	
2022/10/01	Sat	01:06	5.91	
2022/10/01	Sat	01:07	5.94	
2022/10/01	Sat	01:08	5.98	
2022/10/01	Sat	01:09	6.01	
2022/10/01	Sat	01:10	6.04	
2022/10/01	Sat	01:11	6.08	
2022/10/01	Sat	01:12	6.11	
2022/10/01	Sat	01:13	6.15	
2022/10/01	Sat	01:14	6.18	
2022/10/01	Sat	01:15	6.21	
2022/10/01	Sat	01:16	6.25	
2022/10/01	Sat	01:17	6.28	
2022/10/01	Sat	01:18	6.32	
2022/10/01	Sat	01:19	6.35	
2022/10/01	Sat	01:20	6.38	
2022/10/01	Sat	01:21	6.41	
2022/10/01	Sat	01:22	6.45	
2022/10/01	Sat	01:23	6.48	
2022/10/01	Sat	01:24	6.51	
2022/10/01	Sat	01:25	6.55	
2022/10/01	Sat	01:26	6.58	
2022/10/01	Sat	01:27	6.61	
2022/10/01	Sat	01:28	6.64	
2022/10/01	Sat	01:29	6.68	
2022/10/01	Sat	01:30	6.71	
2022/10/01	Sat	01:31	6.74	
2022/10/01	Sat	01:32	6.77	
2022/10/01	Sat	01:33	6.80	
2022/10/01	Sat	01:34	6.84	
2022/10/01	Sat	01:35	6.87	
2022/10/01	Sat	01:36	6.90	
2022/10/01	Sat	01:37	6.93	
2022/10/01	Sat	01:38	6.96	
2022/10/01	Sat	01:39	7.00	
