"","datetime","ChlRFU","Depth","DO_pct","DO_mgl","Sal","Turb","pH","Temp","Vert_Pos","Battery_V","season","Alk_pred"
"1","2022-06-15 17:00:00 EDT",0.65,0.95,168.4,12.45,31.79,-0.31,8.16,21.05,0.952,6.07,"Spring",2291.14619438868
"2","2022-06-15 18:00:00 EDT",0.68,0.945,171.4,12.67,31.81,-0.28,8.17,21.084,0.945,6.07,"Spring",2292.93276656535
"3","2022-06-15 19:00:00 EDT",0.79,0.953,178.1,13.16,31.82,-0.33,8.19,21.085,0.954,6.08,"Spring",2293.89417599406
"4","2022-06-15 20:00:00 EDT",1.03,0.962,178.3,13.19,31.82,-0.26,8.2,21.041,0.962,6.09,"Spring",2294.0815151801
"5","2022-06-15 21:00:00 EDT",0.57,0.967,171.9,12.72,31.82,-0.34,8.17,21.008,0.967,6.08,"Spring",2294.22201956963
"6","2022-06-15 22:00:00 EDT",0.95,0.97,172.8,12.82,31.81,-0.26,8.17,20.863,0.97,6.09,"Spring",2293.87372020431
"7","2022-06-15 23:00:00 EDT",1.17,0.967,168.8,12.56,31.83,-0.27,8.16,20.666,0.967,6.07,"Spring",2296.64382310767
"8","2022-06-16 00:00:00 EDT",0.95,0.969,164.1,12.26,31.81,-0.31,8.15,20.469,0.97,6.08,"Spring",2295.55125746109
"9","2022-06-16 01:00:00 EDT",1.01,0.972,163,12.22,31.74,-0.28,8.15,20.333,0.972,6.09,"Spring",2289.3706358919
"10","2022-06-16 02:00:00 EDT",0.82,0.973,162.8,12.2,31.78,-0.35,8.15,20.337,0.973,6.08,"Spring",2293.21627360675
"11","2022-06-16 03:00:00 EDT",0.76,0.971,157.2,11.8,31.79,-0.36,8.13,20.235,0.971,6.08,"Spring",2294.61622703914
"12","2022-06-16 04:00:00 EDT",0.93,0.975,161.2,12.12,31.79,-0.29,8.15,20.138,0.974,6.07,"Spring",2295.02922479017
"13","2022-06-16 05:00:00 EDT",1.18,0.979,160.7,12.11,31.81,-0.25,8.15,20.026,0.979,6.08,"Spring",2297.43742244778
"14","2022-06-16 06:00:00 EDT",0.62,0.985,159.2,12.01,31.81,-0.31,8.14,19.955,0.984,6.09,"Spring",2297.73971977071
"15","2022-06-16 07:00:00 EDT",0.65,0.986,153.7,11.66,31.82,-0.21,8.12,19.653,0.986,6.08,"Spring",2299.99121495781
"16","2022-06-16 08:00:00 EDT",0.41,0.995,145.5,11.1,31.86,-0.06,8.07,19.346,0.995,6.08,"Spring",2305.16100010124
"17","2022-06-16 09:00:00 EDT",0.44,0.992,140.3,10.64,31.85,-0.04,8.07,19.641,0.992,6.07,"Spring",2302.93930887555
"18","2022-06-16 10:00:00 EDT",0.46,0.984,148,11.24,31.86,-0.21,8.1,19.55,0.983,6.08,"Spring",2304.29242751143
"19","2022-06-16 11:00:00 EDT",0.53,0.979,148.7,11.32,31.86,-0.2,8.1,19.455,0.977,6.08,"Spring",2304.69690984492
"20","2022-06-16 12:00:00 EDT",0.46,0.975,152.8,11.6,31.88,-0.25,8.11,19.58,0.976,6.07,"Spring",2306.0960305232
"21","2022-06-16 13:00:00 EDT",0.39,0.97,157.3,11.93,31.89,-0.31,8.14,19.636,0.972,6.08,"Spring",2306.82326596936
"22","2022-06-16 14:00:00 EDT",0.59,0.964,158.4,12.02,31.89,-0.29,8.14,19.594,0.962,6.07,"Spring",2307.00208973785
"23","2022-06-16 15:00:00 EDT",0.68,0.958,158.2,12.02,31.9,-0.3,8.14,19.539,0.959,6.07,"Spring",2308.20193085789
"24","2022-06-16 16:00:00 EDT",0.77,0.956,159.1,12.15,31.91,-0.26,8.15,19.267,0.962,6.08,"Spring",2310.32569478178
"25","2022-06-16 17:00:00 EDT",0.91,0.939,165.6,12.61,31.95,-0.22,8.18,19.396,0.932,6.07,"Spring",2313.63911889994
"26","2022-06-16 18:00:00 EDT",0.73,0.929,172.2,12.98,32.03,-0.12,8.21,19.932,0.928,6.08,"Spring",2319.0823240972
"27","2022-06-16 19:00:00 EDT",0.9,0.92,174.6,13.14,32.03,-0.09,8.25,20.017,0.916,6.07,"Spring",2318.72041885144
"28","2022-06-16 20:00:00 EDT",1.41,0.933,163.9,12.41,32.04,0.02,8.21,19.681,0.929,6.07,"Spring",2321.11667613685
"29","2022-06-16 21:00:00 EDT",1.34,0.936,154.4,11.76,31.98,0.1,8.17,19.39,0.935,6.08,"Spring",2316.56166656504
"30","2022-06-16 22:00:00 EDT",1.07,0.919,157.7,12.03,31.98,-0.17,8.18,19.298,0.924,6.06,"Spring",2316.95337577221
"31","2022-06-16 23:00:00 EDT",1.02,0.907,158,12.07,31.92,-0.2,8.16,19.238,0.906,6.07,"Spring",2311.4148354737
"32","2022-06-17 00:00:00 EDT",0.93,0.899,157.1,11.99,31.91,-0.22,8.16,19.296,0.894,6.06,"Spring",2310.20222122735
"33","2022-06-17 01:00:00 EDT",0.87,0.893,156.3,11.92,31.92,-0.2,8.16,19.347,0.894,6.06,"Spring",2310.95074521738
"34","2022-06-17 02:00:00 EDT",0.93,0.883,155.9,11.89,31.91,-0.27,8.16,19.345,0.889,6.07,"Spring",2309.99359349744
"35","2022-06-17 03:00:00 EDT",0.81,0.874,155.2,11.84,31.91,-0.29,8.15,19.309,0.876,6.06,"Spring",2310.14687101329
"36","2022-06-17 04:00:00 EDT",0.86,0.861,154.5,11.79,31.92,-0.2,8.15,19.282,0.864,6.07,"Spring",2311.22749628767
"37","2022-06-17 05:00:00 EDT",0.91,0.855,153,11.69,31.92,-0.3,8.14,19.212,0.861,6.06,"Spring",2311.52553590181
"38","2022-06-17 06:00:00 EDT",0.77,0.853,149.2,11.44,31.92,-0.27,8.13,19.071,0.854,6.06,"Spring",2312.12587283889
"39","2022-06-17 07:00:00 EDT",0.81,0.851,147.2,11.29,31.92,-0.24,8.12,19.017,0.852,6.07,"Spring",2312.35578911266
"40","2022-06-17 08:00:00 EDT",0.43,0.841,133.4,10.27,31.95,-0.13,8.03,18.805,0.843,6.06,"Spring",2316.15542478511
"41","2022-06-17 09:00:00 EDT",0.56,0.835,136.1,10.47,31.95,-0.14,8.04,18.83,0.834,6.07,"Spring",2316.04898206577
"42","2022-06-17 10:00:00 EDT",0.72,0.829,148.9,11.45,31.93,-0.28,8.12,18.862,0.828,6.05,"Spring",2313.98140111005
"43","2022-06-17 11:00:00 EDT",0.64,0.815,144.8,11.13,31.95,-0.23,8.09,18.89,0.818,6.05,"Spring",2315.79351953936
"44","2022-06-17 12:00:00 EDT",0.81,0.805,152.5,11.71,31.93,-0.3,8.13,18.949,0.798,6.06,"Spring",2313.61098044675
"45","2022-06-17 13:00:00 EDT",0.57,0.793,155.5,11.89,31.92,-0.32,8.15,19.178,0.787,6.05,"Spring",2311.67029800012
"46","2022-06-17 14:00:00 EDT",0.66,0.776,156.2,11.95,31.92,-0.28,8.15,19.186,0.778,6.06,"Spring",2311.63623632993
"47","2022-06-17 15:00:00 EDT",1.08,0.765,157.5,12.04,31.91,-0.31,8.16,19.21,0.762,6.05,"Spring",2310.56838418188
"48","2022-06-17 16:00:00 EDT",1.3,0.773,157.8,12.07,31.92,-0.28,8.16,19.175,0.772,6.05,"Spring",2311.68307112644
"49","2022-06-17 17:00:00 EDT",1.61,0.763,157.6,12.07,31.91,-0.29,8.16,19.1,0.762,6.06,"Spring",2311.03673214697
"50","2022-06-17 18:00:00 EDT",1.07,0.761,158.7,12.09,31.92,-0.3,8.17,19.408,0.758,6.05,"Spring",2310.6910249822
"51","2022-06-17 19:00:00 EDT",0.84,0.764,161.2,12.16,31.92,-0.31,8.18,19.919,0.764,6.05,"Spring",2308.5153357989
"52","2022-06-17 20:00:00 EDT",1.22,0.765,164.8,12.41,31.92,-0.23,8.2,20.024,0.766,6.05,"Spring",2308.06827637768
