"","x","y"
"1",2022-05-21,840.3
"2",2022-05-22,830.287804878049
"3",2022-05-23,820.275609756098
"4",2022-05-24,810.263414634146
"5",2022-05-25,800.251219512195
"6",2022-05-26,790.239024390244
"7",2022-05-27,780.226829268293
"8",2022-05-28,770.214634146341
"9",2022-05-29,760.20243902439
"10",2022-05-30,750.190243902439
"11",2022-05-31,740.178048780488
"12",2022-06-01,730.165853658537
"13",2022-06-02,720.153658536585
"14",2022-06-03,710.141463414634
"15",2022-06-04,700.129268292683
"16",2022-06-05,690.117073170732
"17",2022-06-06,680.10487804878
"18",2022-06-07,670.092682926829
"19",2022-06-08,660.080487804878
"20",2022-06-09,650.068292682927
"21",2022-06-10,640.056097560976
"22",2022-06-11,630.043902439024
"23",2022-06-12,620.031707317073
"24",2022-06-13,610.019512195122
"25",2022-06-14,600.007317073171
"26",2022-06-15,589.99512195122
"27",2022-06-16,579.982926829268
"28",2022-06-17,569.970731707317
"29",2022-06-18,559.958536585366
"30",2022-06-19,549.946341463415
"31",2022-06-20,539.934146341463
"32",2022-06-21,529.921951219512
"33",2022-06-22,519.909756097561
"34",2022-06-23,509.89756097561
"35",2022-06-24,499.885365853659
"36",2022-06-25,489.873170731707
"37",2022-06-26,479.860975609756
"38",2022-06-27,469.848780487805
"39",2022-06-28,459.836585365854
"40",2022-06-29,449.824390243902
"41",2022-06-30,439.812195121951
"42",2022-07-01,429.8
"43",2022-07-02,436.584615384615
"44",2022-07-03,443.369230769231
"45",2022-07-04,450.153846153846
"46",2022-07-05,456.938461538462
"47",2022-07-06,463.723076923077
"48",2022-07-07,470.507692307692
"49",2022-07-08,477.292307692308
"50",2022-07-09,484.076923076923
"51",2022-07-10,490.861538461538
"52",2022-07-11,497.646153846154
"53",2022-07-12,504.430769230769
"54",2022-07-13,511.215384615385
"55",2022-07-14,518
"56",2022-07-15,517.87
"57",2022-07-16,517.74
"58",2022-07-17,517.61
"59",2022-07-18,517.48
"60",2022-07-19,517.35
"61",2022-07-20,517.22
"62",2022-07-21,517.09
"63",2022-07-22,516.96
"64",2022-07-23,516.83
"65",2022-07-24,516.7
"66",2022-07-25,516.57
"67",2022-07-26,516.44
"68",2022-07-27,516.31
"69",2022-07-28,516.18
"70",2022-07-29,516.05
"71",2022-07-30,515.92
"72",2022-07-31,515.79
"73",2022-08-01,515.66
"74",2022-08-02,515.53
"75",2022-08-03,515.4
"76",2022-08-04,536.263636363636
"77",2022-08-05,557.127272727273
"78",2022-08-06,577.990909090909
"79",2022-08-07,598.854545454545
"80",2022-08-08,619.718181818182
"81",2022-08-09,640.581818181818
