Date,,Site,Site Coordinates,shell_num,Vial / Tin #,length_in_cm,height_in_cm,width_in_cm,age,haline or white,Notes,Shell area,,length/age,area/age
8/16/22,,Barnstable Harbor,"41.716033, -70.276578",G50,65,5.85,4.64,2.74,1,H,,13.57,,5.9,13.57
11/4/21,,Barnstable Harbor,"41.716033, -70.276578",G26,22,6.15,4.81,2.73,1,H,,14.79,,6.2,14.79
7/13/22,,Barnstable Harbor,"41.716033, -70.276578",G6,31,7.47,5.89,3.50,2,W,H?,22.00,,3.7,11.00
8/16/22,,Barnstable Harbor,"41.716033, -70.276578",G54,69,7.69,6.01,3.60,2,H,,23.11,,3.8,11.55
2/23/23,,Barnstable Harbor,"41.717764, -70.274131",G64,79,8.11,6.31,3.96,1,W,,25.59,,8.1,25.59
11/4/21,,Barnstable Harbor,"41.716033, -70.276578",G27,23,9.88,7.61,4.59,2,W,,37.57,,4.9,18.78
8/16/22,,Barnstable Harbor,"41.716033, -70.276578",G53,68,10.65,8.33,4.64,2,H,,44.36,,5.3,22.18
10/27/22,,Barnstable Harbor,"41.716033, -70.276578",G41,56,11.29,8.98,4.78,5,W,,50.69,,2.3,10.14
4/21/23,,Barnstable Harbor,"41.716033, -70.276578",G104,117,11.72,8.78,4.52,3,W,,51.45,,3.9,17.15
8/11/21,,Barnstable Harbor,,M5 (G35),NA,12.26,9.53,,3,H,,58.42,,4.1,19.47
5/9/23,,Barnstable Harbor,"41.717764, -70.274131",G70,85,13.28,10.20,5.31,3,W,,67.73,,4.4,22.58
8/11/21,,Barnstable Harbor,,6,NA,13.50,10.29,NA,3,H,,69.46,,4.5,23.15
3/21/23,,Barnstable Harbor,"41.716033, -70.276578",G78,98,13.55,11.42,5.85,5,W,,77.37,,2.7,15.47
7/13/22,,Barnstable Harbor,"41.716033, -70.276578",G57,72,14.54,11.50,5.88,8,H,,83.61,,1.8,10.45
12/6/22,,Barnstable Harbor,,Am3,NA,14.70,11.62,NA,12,H,,85.41,,1.2,7.12
3/21/23,,Barnstable Harbor,"41.716033, -70.276578",G98,99,14.86,11.72,5.98,8,W,might be 9,87.08,,1.9,10.88
12/2/21,,Barnstable Harbor,,7,NA,15.00,11.51,NA,7,W,,86.33,,2.1,12.33
11/5/22,,Barnstable Harbor,,Am1,NA,15.10,11.46,NA,7,H,,86.52,,2.2,12.36
3/1/22,,Barnstable Harbor,"41.716033, -70.276578",G16,41,15.20,12.01,6.17,10,W,,91.24,,1.5,9.12
3/21/23,,Barnstable Harbor,"41.716033, -70.276578",G115,132,15.22,11.98,6.45,7,W,,91.17,,2.2,13.02
11/5/22,,Barnstable Harbor,,Am2,NA,15.30,11.81,NA,8,W,,90.35,,1.9,11.29
4/21/23,,Barnstable Harbor,"41.716033, -70.276578",G95,114,15.70,12.32,6.33,8,W,,96.71,,2.0,12.09
3/21/23,,Barnstable Harbor,"41.716033, -70.276578",G77,97,16.80,13.51,6.69,10,W,might be 11,113.48,,1.7,11.35
3/21/23,,Barnstable Harbor,"41.716033, -70.276578",G96,115,17.50,12.95,6.66,11,W,,113.31,,1.6,10.30
3/1/22,,Barnstable Harbor,,M1,NA,NA,,,NA,NA,,,,,
3/1/22,,Barnstable Harbor,,M2,NA,NA,,,NA,NA,,,,,
11/5/21,,"Cockle Cove, Chatham",,G29,25,4.40,3.60,2.12,1,W,maybe 2?,7.92,,4.4,7.92
12/7/22,,"Cockle Cove, Chatham",,G49,64,4.90,3.60,2.06,1,W,maybe 2?,8.82,,4.9,8.82
5/11/23,,"Cockle Cove, Chatham","41.671894, -70.015040",G82,101,5.99,4.18,2.48,1,W,maybe 2?,12.52,,6.0,12.52
