#,Date-Time (EST/EDT),Ch: 1 - Temperature   (°C ),Ch: 2 - Millivolts   (mv),Ch: 3 - pH   (pH),Button Down,Button Up,Host Connected,End of File
1,11/04/2022 15:00:00,29.51,179.72,3.70,,,,
2,11/04/2022 15:15:00,26.92,178.65,3.69,,,,
3,11/04/2022 15:30:00,23.33,176.79,3.68,,,,
4,11/04/2022 15:45:00,22.27,176.02,3.69,,,,
5,11/04/2022 16:00:00,20.98,175.36,3.68,,,,
6,11/04/2022 16:15:00,20.25,175.02,3.68,,,,
7,11/04/2022 16:30:00,19.58,174.80,3.68,,,,
8,11/04/2022 16:45:00,18.79,174.58,3.67,,,,
9,11/04/2022 17:00:00,18.13,174.40,3.67,,,,
10,11/04/2022 17:15:00,17.94,174.13,3.67,,,,
11,11/04/2022 17:30:00,17.75,173.85,3.67,,,,
12,11/04/2022 17:45:00,17.68,173.72,3.67,,,,
13,11/04/2022 18:00:00,18.03,173.60,3.68,,,,
14,11/04/2022 18:15:00,18.25,173.51,3.68,,,,
15,11/04/2022 18:30:00,18.41,173.46,3.69,,,,
16,11/04/2022 18:45:00,18.46,173.43,3.69,,,,
17,11/04/2022 19:00:00,18.46,173.40,3.69,,,,
18,11/04/2022 19:15:00,18.44,173.30,3.69,,,,
19,11/04/2022 19:30:00,18.39,173.26,3.69,,,,
20,11/04/2022 19:45:00,18.32,173.21,3.69,,,,
21,11/04/2022 20:00:00,18.25,173.08,3.69,,,,
22,11/04/2022 20:15:00,18.15,173.05,3.69,,,,
23,11/04/2022 20:30:00,18.03,172.99,3.69,,,,
24,11/04/2022 20:45:00,17.94,172.94,3.69,,,,
25,11/04/2022 21:00:00,17.82,172.88,3.69,,,,
26,11/04/2022 21:15:00,17.72,172.82,3.69,,,,
27,11/04/2022 21:30:00,17.63,172.76,3.69,,,,
28,11/04/2022 21:45:00,17.51,172.66,3.69,,,,
29,11/04/2022 22:00:00,17.42,172.60,3.69,,,,
30,11/04/2022 22:15:00,17.32,172.52,3.69,,,,
31,11/04/2022 22:30:00,17.22,172.46,3.69,,,,
32,11/04/2022 22:45:00,17.13,172.38,3.69,,,,
33,11/04/2022 23:00:00,17.03,172.30,3.69,,,,
34,11/04/2022 23:15:00,16.94,172.22,3.69,,,,
35,11/04/2022 23:30:00,16.84,172.13,3.69,,,,
36,11/04/2022 23:45:00,16.75,172.04,3.69,,,,
37,11/05/2022 00:00:00,16.65,171.96,3.69,,,,
38,11/05/2022 00:15:00,16.58,171.86,3.70,,,,
39,11/05/2022 00:30:00,16.49,171.77,3.70,,,,
40,11/05/2022 00:45:00,16.42,171.71,3.70,,,,
41,11/05/2022 01:00:00,16.32,171.63,3.70,,,,
42,11/05/2022 01:15:00,16.25,171.55,3.70,,,,
43,11/05/2022 01:30:00,16.15,171.49,3.70,,,,
44,11/05/2022 01:45:00,16.08,171.40,3.70,,,,
45,11/05/2022 02:00:00,16.01,171.32,3.70,,,,
46,11/05/2022 02:15:00,15.96,171.22,3.70,,,,
47,11/05/2022 02:30:00,15.89,171.15,3.70,,,,
48,11/05/2022 02:45:00,15.84,171.08,3.70,,,,
49,11/05/2022 03:00:00,15.80,171.04,3.70,,,,
50,11/05/2022 03:15:00,15.75,170.99,3.70,,,,
51,11/05/2022 03:30:00,15.70,170.93,3.70,,,,
52,11/05/2022 03:45:00,15.65,170.88,3.70,,,,
53,11/05/2022 04:00:00,15.63,170.86,3.70,,,,
54,11/05/2022 04:15:00,15.60,170.85,3.70,,,,
55,11/05/2022 04:30:00,15.56,170.82,3.70,,,,
56,11/05/2022 04:45:00,15.53,170.79,3.70,,,,
57,11/05/2022 05:00:00,15.51,170.76,3.70,,,,
58,11/05/2022 05:15:00,15.49,170.72,3.70,,,,
59,11/05/2022 05:30:00,15.46,170.68,3.70,,,,
60,11/05/2022 05:45:00,15.41,170.65,3.70,,,,
61,11/05/2022 06:00:00,15.39,170.61,3.71,,,,
62,11/05/2022 06:15:00,15.37,170.57,3.71,,,,
63,11/05/2022 06:30:00,15.34,170.54,3.71,,,,
64,11/05/2022 06:45:00,15.32,170.49,3.71,,,,
65,11/05/2022 07:00:00,15.29,170.46,3.71,,,,
66,11/05/2022 07:15:00,15.27,170.41,3.71,,,,
67,11/05/2022 07:30:00,15.27,170.36,3.71,,,,
68,11/05/2022 07:45:00,15.27,170.33,3.71,,,,
69,11/05/2022 08:00:00,15.27,170.30,3.71,,,,
70,11/05/2022 08:15:00,15.32,170.27,3.71,,,,
71,11/05/2022 08:30:00,15.37,170.24,3.71,,,,
72,11/05/2022 08:45:00,15.51,170.22,3.71,,,,
73,11/05/2022 09:00:00,15.77,170.19,3.72,,,,
74,11/05/2022 09:15:00,16.18,170.10,3.72,,,,
75,11/05/2022 09:30:00,16.82,169.33,3.74,,,,
