#,Date-Time (EDT),Ch: 1 - Temperature   (°C ),Ch: 2 - Millivolts   (mv),Ch: 3 - pH   (pH),Button Down,Button Up,Host Connected,Start pH Calibration,pH Calibration Values,pH Calibration Buffers,End pH Calibration,End of File
1,05/18/2022 06:00:00,12.29,-1.98,6.76,,,,,,,,
2,05/18/2022 06:15:00,12.29,-1.98,6.76,,,,,,,,
3,05/18/2022 06:30:00,12.44,-2.08,6.76,,,,,,,,
4,05/18/2022 06:45:00,12.82,-2.17,6.77,,,,,,,,
5,05/18/2022 07:00:00,13.31,-2.30,6.77,,,,,,,,
6,05/18/2022 07:15:00,13.83,-2.41,6.77,,,,,,,,
7,05/18/2022 07:30:00,14.43,-2.48,6.77,,,,,,,,
8,05/18/2022 07:45:00,15.77,-2.47,6.77,,,,,,,,
9,05/18/2022 08:00:00,17.25,-2.09,6.77,,,,,,,,
10,05/18/2022 08:15:00,18.68,-1.52,6.76,,,,,,,,
11,05/18/2022 08:30:00,20.22,-0.98,6.75,,,,,,,,
12,05/18/2022 08:45:00,22.01,-0.55,6.74,,,,,,,,
13,05/18/2022 09:00:00,23.45,-0.22,6.74,,,,,,,,
14,05/18/2022 09:15:00,24.29,0.19,6.73,,,,,,,,
15,05/18/2022 09:30:00,24.92,0.34,6.73,,,,,,,,
16,05/18/2022 09:45:00,25.55,0.47,6.73,,,,,,,,
17,05/18/2022 10:00:00,26.16,0.58,6.73,,,,,,,,
18,05/18/2022 10:15:00,26.72,0.89,6.72,,,,,,,,
19,05/18/2022 10:30:00,26.89,1.03,6.72,,,,,,,,
20,05/18/2022 10:45:00,26.79,1.09,6.72,,,,,,,,
21,05/18/2022 11:00:00,26.72,1.06,6.72,,,,,,,,
22,05/18/2022 11:15:00,26.87,0.86,6.72,,,,,,,,
23,05/18/2022 11:30:00,27.46,0.98,6.72,,,,,,,,
24,05/18/2022 11:45:00,28.72,1.41,6.72,,,,,,,,
25,05/18/2022 12:00:00,36.39,2.20,6.71,,,,,,,,
26,05/18/2022 12:15:00,43.46,2.77,6.71,,,,,,,,
27,05/18/2022 12:30:00,49.01,3.16,6.71,,,,,,,,
28,05/18/2022 12:45:00,53.55,3.59,6.70,,,,,,,,
29,05/18/2022 13:00:00,56.26,5.61,6.67,,,,,,,,
30,05/18/2022 13:15:00,55.21,6.00,6.67,,,,,,,,
31,05/18/2022 13:30:00,53.78,6.88,6.65,,,,,,,,
32,05/18/2022 13:45:00,48.60,5.67,6.66,,,,,,,,
33,05/18/2022 14:00:00,44.32,4.89,6.67,,,,,,,,
34,05/18/2022 14:15:00,41.06,4.20,6.68,,,,,,,,
35,05/18/2022 14:30:00,38.45,4.11,6.68,,,,,,,,
36,05/18/2022 14:45:00,30.55,7.59,6.61,,,,,,,,
37,05/18/2022 15:00:00,27.97,2.55,6.70,,,,,,,,
38,05/18/2022 15:15:00,26.96,1.34,6.72,,,,,,,,
39,05/18/2022 15:30:00,26.16,1.02,6.72,,,,,,,,
40,05/18/2022 15:45:00,25.67,0.61,6.73,,,,,,,,
41,05/18/2022 16:00:00,25.28,0.11,6.74,,,,,,,,
42,05/18/2022 16:15:00,24.75,0.13,6.73,,,,,,,,
43,05/18/2022 16:30:00,25.09,0.11,6.74,,,,,,,,
44,05/18/2022 16:45:00,26.01,-0.05,6.74,,,,,,,,
45,05/18/2022 17:00:00,27.53,-0.08,6.74,,,,,,,,
46,05/18/2022 17:15:00,28.47,-0.17,6.74,,,,,,,,
47,05/18/2022 17:30:00,28.89,-0.19,6.74,,,,,,,,
48,05/18/2022 17:45:00,29.04,-0.27,6.74,,,,,,,,
49,05/18/2022 18:00:00,29.04,-0.30,6.75,,,,,,,,
50,05/18/2022 18:15:00,28.92,-0.50,6.75,,,,,,,,
51,05/18/2022 18:30:00,28.84,-0.56,6.75,,,,,,,,
52,05/18/2022 18:45:00,28.72,-0.61,6.75,,,,,,,,
