Filter weights,,,,,,,,,,,,,,,,,,,,
,,,,SW volume,Dry weight,Date dried,Dry weight,Dry weight,Dry weight,Pre-ash wt (g),Ash weight,Amt Aluminum on filter,Ash weight is inorganic material - what is left over,,,,,,,
ID,Date,Site,ID,filtered (mL),Filter only,Dried at 60C,Filter + POM,mg,TSSmg/L,,Filter + POM,"M = medium = spots, etc.; H = a lot of aluminum oxidized onto filter",ash only mg,AFDW,AFDW mg/L,% organic,Filter appearance notes - Dry wt,Filter appearance notes - Ash wt,Other notes,
1,8/10/21,Eel Pond,,500,25.481,10/27/21,27.495,2.014,4.028,,26.107,,0.626,1.388,2.8,0.69,Not folded in half,Not folded in half,,
2,8/10/21,Chatham,,250,24.177,10/27/21,27.645,3.468,13.872,,24.896,,0.719,2.749,11.0,0.79,,small spot of aluminum corrosion,,
3,8/10/21,Nobscusset,,500,25.543,10/27/21,27.636,2.093,4.186,,26.431,,0.888,1.205,2.4,0.58,,no aluminum corrosion,Ash weight filter + POM - not sure if this is correct bc samples moved during transport (#3-#6),
4,8/10/21,Barnstable,,500,26.044,10/27/21,27.876,1.832,3.664,,26.759,M,0.715,1.117,2.2,0.61,Aluminum foil corrosion on filter,small spot of aluminum corrosion,Ash weight filter + POM - not sure if this is correct bc samples moved during transport (#3-#6),
5,6/15/21,Nobscusset,,500,25.675,10/27/21,29.638,3.963,7.926,,27.291,,1.616,2.347,4.7,0.59,Some parts of filter are missing,large amount of aluminum corrosion,Ash weight filter + POM - not sure if this is correct bc samples moved during transport (#3-#6),"Mistakenly marked as ""Howes"""
6,6/15/21,Popponesset Bay,,500,24.537,10/27/21,27.866,3.329,6.658,,26.09,M,1.553,1.776,3.6,0.53,Aluminum foil corrosion on filter,large amount of aluminum corrosion,Ash weight filter + POM - not sure if this is correct bc samples moved during transport (#3-#6),Must be Pomponesset - I think there were only 3 sites this month.
7,6/15/21,Eel Pond,,250,25.186,10/27/21,27.2246,2.0386,8.1544,,26.469,M,1.283,0.7556,3.0,0.37,Aluminum foil corrosion on filter,,,Weighed on 12/9/21
8,7/26/21,Nobscusset,,250,24.669,10/29/21,27.855,3.186,12.744,,26.431,M,1.762,1.424,5.7,0.45,Aluminum foil corrosion on filter,,,
9,7/26/21,Eel Pond,,350,25.643,10/29/21,28.318,2.675,7.643,,26.989,M,1.346,1.329,3.8,0.50,Aluminum foil corrosion on filter,,,
10,7/26/21,Barnstable,,500,24.795,10/29/21,26.571,1.776,3.552,,25.573,M,0.778,0.998,2.0,0.56,Aluminum foil corrosion on filter,,,
11,11/8/21,Eel Pond,,340,25.486,11/8/21,26.665,1.179,3.468,,26.165,,0.679,0.5,1.5,0.42,,,,Weighed on 12/9/21
12,11/8/21,Eel Pond,,188,24.858,11/8/21,25.527,0.669,3.559,,25.104,,0.246,0.423,2.3,0.63,,,,Weighed on 12/9/22
13,11/8/21,Eel Pond,,255,25.679,11/8/21,26.342,0.663,2.600,,25.961,,0.282,0.381,1.5,0.57,,,,Weighed on 12/9/23
14,12/1/21,Eel Pond,,200,24.653,12/15/21,25.606,0.953,4.765,,25.208,,0.555,0.398,2.0,0.42,,,,
15,12/1/21,Eel Pond,,300,25.231,12/15/21,26.372,1.141,3.803,,25.932,,0.701,0.44,1.5,0.39,folded in quarters,,,
16,12/2/21,Barnstable,,250,24.773,12/15/21,26.43,1.657,6.628,,25.841,,1.068,0.589,2.4,0.36,,,,
17,12/2/21,Barnstable,,300,25.948,12/15/21,27.734,1.786,5.953,,27.123,,1.175,0.611,2.0,0.34,,,,
18,12/2/21,Cockle cove,,200,25.889,12/15/21,32.268,6.379,31.895,,30.354,,4.465,1.914,9.6,0.30,,,,
19,12/2/21,Cockle cove,,150,26.307,12/15/21,32.783,6.476,43.173,,30.999,,4.692,1.784,11.9,0.28,,,,
20,12/2/21,Nobscussett,,400,25.507,12/15/21,27.566,2.059,5.147,,26.9,,1.393,0.666,1.7,0.32,,,,
21,12/2/21,Nobscussett,,500,26.028,12/15/21,30.275,4.247,8.494,,29.225,,3.197,1.05,2.1,0.25,,,,
22,10/6/21,Eel Pond,,250,25.5,12/15/21,27.44,1.94,7.760,,26.419,,0.919,1.021,4.1,0.53,,,,
23,10/6/21,Nobscussett,,250,25.86,12/15/21,32.455,6.595,26.380,,28.726,,2.866,3.729,14.9,0.57,,,,
24,10/6/21,Sea street,,250,25.463,,29.366,3.903,15.612,,26.878,,1.415,2.488,10.0,0.64,"Called #31 when weighed later on, either 250 or 500, but no number written down. looks like the others this time were 250 so probably was the same;",,,
25,11/4/21,Barnstable,,,25.327,,27.495,2.168,,,26.7,,1.373,0.795,,0.37,,,,
26,11/4/21,Barnstable,,,25.293,,27.642,2.349,,,26.919,,1.626,0.723,,0.31,,,,
27,11/5/21,Chatham,,,25.739,,28.157,2.418,,,27.321,,1.582,0.836,,0.35,,,,
28,11/5/21,Chatham,,,25.490,,27.772,2.282,,,26.992,,1.502,0.780,,0.34,,,,
29,11/5/21,Eden,,,26.185,,50.512,24.327,,,47.189,,21.004,3.323,,0.14,,,,
30,11/5/21,Eden,,,25.168,,39.993,14.825,,,36.551,,11.383,3.442,,0.23,,,,
32,11/3/21,Nobscussett,,,25.103,,33.597,8.494,,,31.518,,6.415,2.079,,0.24,skip 31 - this was a repeat #,,,
33,11/3/21,Nobscussett,,,25.579,,33.370,7.791,,,32.119,,6.54,1.251,,0.16,,,,
1,3/2/22,Eel Pond,,500,25.939,3/10/22,27.424,1.485,2.970,,26.704,,0.765,0.72,1.4,0.48,,,,
2,3/2/22,Eel Pond,,500,25.793,3/10/22,27.512,1.719,3.438,,26.693,,0.9,0.819,1.6,0.48,,,,
3,3/1/22,Barnstable,,500,25.988,3/10/22,28.752,2.764,5.528,,27.879,,1.891,0.873,1.7,0.32,,,,
4,3/1/22,Barnstable,,500,25.396,3/10/22,28.399,3.003,6.006,,27.511,,2.115,0.888,1.8,0.30,,,,
5,3/3/22,South st Dennis,,500,26.362,3/10/22,28.671,2.309,4.618,,27.98,,1.618,0.691,1.4,0.30,,,,
6,3/3/22,South st Dennis,,300,26.084,3/10/22,28.77,2.686,8.953,,28.003,,1.919,0.767,2.6,0.29,,,,
7,3/4/22,Chatham,,400,25.961,3/10/22,28.613,2.652,6.630,,27.458,,1.497,1.155,2.9,0.44,,,,
8,3/4/22,Chatham,,400,25.990,3/10/22,29.599,3.609,9.023,,28.152,,2.162,1.447,3.6,0.40,,,,
1,4/18/22,Eel Pond,,300,26.509,,27.394,0.885,2.950,,27.019,,0.51,0.375,1.3,0.42,,,,
2,4/18/22,Eel Pond,,300,26.649,,27.44,0.791,2.637,,26.988,,0.339,0.452,1.5,0.57,,,,
3,4/20/22,Barnstable,,300,25.601,,27.863,2.262,7.540,,27.056,,1.455,0.807,2.7,0.36,,,,
4,4/20/22,Barnstable,,300,27.133,,30.175,3.042,10.140,,29.075,,1.942,1.1,3.7,0.36,,,,
5,4/20/22,Ptown,,500,26.235,,27.858,1.623,3.246,,27.066,,0.831,0.792,1.6,0.49,,,,
6,4/20/22,Chatham,,250,26.608,,28.605,1.997,7.988,,27.827,,1.219,0.778,3.1,0.39,,,,
7,4/21/22,Ptown,,500,26.524,,28.482,1.958,3.916,,27.617,,1.093,0.865,1.7,0.44,,,,
8,4/21/22,East Dennis,,300,26.928,,28.433,1.505,5.017,,27.187,,0.259,1.246,4.2,0.83,,,,
9,4/22/22,Chatham,,250,26.937,,29.062,2.125,8.500,,28.234,,1.297,0.828,3.3,0.39,,,,
10,4/22/22,East Dennis,,350,26.053,,28.705,2.652,7.577,,27.33,,1.277,1.375,3.9,0.52,,,,
1,5/17/22,East Dennis,,300,26.616,7/18/22,29.271,2.655,8.850,,28.226,,1.61,1.045,3.5,0.39,,,,
2,5/17/22,East Dennis,,250,25.297,7/18/22,27.56,2.263,9.052,,26.684,,1.387,0.876,3.5,0.39,,,,
3,5/18/22,Provincetown,,300,26.4,7/18/22,27.575,1.175,3.917,,26.592,,0.192,0.983,3.3,0.84,,,,
4,5/18/22,Provincetown,,300,25.866,7/18/22,,,,,,,,,,,Bad measurement. Filter is mangled and final weight (25.376) is less than initial weight. Ash weight is 24.478,,,
5,5/18/22,Provincetown collection site,,300,26.419,7/18/22,27.424,1.005,3.350,,26.979,,0.56,0.445,1.5,0.44,,,,
6,5/18/22,Provincetown collection site,,300,26.07,7/18/22,26.993,0.923,3.077,,27.138,,1.068,,,,,,"bad, negative number for ash weight",
7,5/20/22,Eel Pond,,300,26.183,7/18/22,28.033,1.85,6.167,,27.279,,1.096,0.754,2.5,0.41,,,,
8,5/20/22,Eel Pond,,300,25.764,7/18/22,27.459,1.695,5.650,,26.774,,1.01,0.685,2.3,0.40,,,,
9,6/14/22,Chatham,,302,24.367,11/3/22,29.658,5.291,17.520,,26.757,,2.39,2.901,9.6,0.55,,,,
10,6/14/22,Chatham,,250,25.067,11/3/22,31.328,6.261,25.044,,28.673,,3.606,2.655,10.6,0.42,,,,
11,6/15/22,Provincetown,,250,24.588,11/3/22,28.576,3.988,15.952,,26.607,,2.019,1.969,7.9,0.49,,,,
12,6/15/22,Provincetown,,300,25.355,11/3/22,28.835,3.48,11.600,,27.214,,1.859,1.621,5.4,0.47,,,,
13,6/16/22,Barnstable Harbor,,250,25.529,11/3/22,27.315,1.786,7.144,,26.478,,0.949,0.837,3.3,0.47,,,,
14,6/16/22,Barnstable Harbor,,200,24.604,11/3/22,26.179,1.575,7.875,,25.253,,0.649,0.926,4.6,0.59,,,,
15,6/17/22,Eel Pond,,250,24.967,11/3/22,33.973,9.006,36.024,,29.982,,5.015,3.991,16.0,0.44,,,,
16,6/17/22,Eel Pond,,250,24.457,11/3/22,35.077,10.62,42.480,,30.98,,6.523,4.097,16.4,0.39,,,,
17,6/17/22,East Dennis,,205,25.715,11/3/22,27.079,1.364,6.654,,26.577,,0.862,0.502,2.4,0.37,,,,
18,6/17/22,East Dennis,,205,25.018,11/3/22,30.58,5.562,27.132,,27.886,,2.868,2.694,13.1,0.48,,,,
19,6/28/22,East Dennis,,300,24.988,11/3/22,36.037,11.049,36.830,,31.632,,6.644,4.405,14.7,0.40,,,,
20,6/28/22,East Dennis,,300,26.690,11/3/22,30.533,3.843,12.810,,28.671,,1.981,1.862,6.2,0.48,,,,
21,6/30/22,Eel Pond,,300,24.759,11/3/22,28.196,3.437,11.457,,26.53,,1.771,1.666,5.6,0.48,,,,
22,6/30/22,Eel Pond,,300,25.114,11/3/22,26.736,1.622,5.407,,25.952,,0.838,0.784,2.6,0.48,,,,
23,7/1/22,Ptown,,210,24.833,12/1/11,28.404,3.571,17.005,28.231,26.529,M,1.696,1.875,8.9,0.53,,,,
24,7/1/22,Ptown,,270,26.583,12/1/22,31.966,5.383,19.937,31.723,28.922,M,2.801,2.582,9.6,0.48,,,,
25,7/13/2022,Barnstable Harbor,,310,24.814,11/4/22,28.284,3.47,11.194,,27.613,M,2.799,0.671,2.2,0.19,,,,
26,7/13/2022,Barnstable Harbor,,305,23.879,11/4/22,26.062,2.183,7.157,,26.268,M,2.389,,,,,,"bad, negative number for ash weight",
27,7/14/22,Ptown,,250,24.34,11/4/22,28.833,4.493,17.972,,24.926,M,0.586,3.907,15.6,0.87,,,,
28,7/14/22,Ptown,,250,24.537,11/4/22,,,,,,H,,,,,,,"bad, threw out filter",
29,7/15/22,Eel Pond,,250,25.843,11/4/22,29.02,3.177,12.708,,26.675,M,0.832,2.345,9.4,0.74,,,,
30,7/15/22,Eel Pond,,248,25.011,11/4/22,26.951,1.94,7.823,,26.074,,1.063,0.877,3.5,0.45,,,,
,7/15/22,Chatham,,200,24.851,11/4/22,29.786,4.935,24.675,,27.347,H,2.496,2.439,12.2,0.49,,,,
,7/15/22,Chatham,,200,24.689,11/4/22,28.438,3.749,18.745,,26.564,,1.875,1.874,9.4,0.50,,,,
31,7/18/22,East Dennis,,300,25.055,11/4/22,26.915,1.86,6.200,,25.956,H,0.901,0.959,3.2,0.52,,,,
32,7/18/22,East Dennis,,250,25.441,11/4/22,29.074,3.633,14.532,,27.259,,1.818,1.815,7.3,0.50,,,,
33,7/27/22,East Dennis,,300,24.613,11/4/22,26.864,2.251,7.503,,25.671,M,1.058,1.193,4.0,0.53,,,,
34,7/27/22,East Dennis,,300,25.035,11/4/22,28.45,3.415,11.383,,26.751,M,1.716,1.699,5.7,0.50,,,,
35,7/27/22,Ptown,,300,26.798,11/4/22,28.868,2.07,6.900,,27.789,,0.991,1.079,3.6,0.52,,,,
36,7/27/22,Ptown,,250,26.225,11/4/22,28.16,1.935,7.740,,27.27,,1.045,0.89,3.6,0.46,,,,
15,"Unknown, between 7/11-10/15",Unknown,,,24.978,between 7/11-10/15,31.905,6.927,,,30.049,,5.071,1.856,,0.27,,,,
16,"Unknown, between 7/11-10/16",Unknown,,,24.961,between 7/11-10/15,32.836,7.875,,,30.593,,5.632,2.243,,0.28,,,,
17,"Unknown, between 7/11-10/17",Unknown,,,25.557,between 7/11-10/15,30.787,5.23,,,29.364,,3.807,1.423,,0.27,,,,
18,"Unknown, between 7/11-10/18",Unknown,,,25.665,between 7/11-10/15,31.836,6.171,,,30.186,,4.521,1.65,,0.27,,,,
20,"Unknown, between 7/11-10/19",Unknown,,,26.184,between 7/11-10/15,27.83,1.646,,,27.193,,1.009,0.637,,0.39,,,,
,7/27/22,Eel Pond,,250,26.449,11/4/22,31.124,4.675,18.700,,28.92,,2.471,2.204,8.8,0.47,,,,
,7/27/22,Eel Pond,,250,26.21,11/4/22,28.88,2.67,10.680,,27.875,,1.665,1.005,4.0,0.38,,,,
,8/1/22,Eel Pond,,300,26.296,11/4/22,39.308,13.012,43.373,,36.43,,10.134,2.878,9.6,0.22,,,,
,8/1/22,Eel Pond,,300,26.869,11/4/22,29.718,2.849,9.497,,28.8,,1.931,0.918,3.1,0.32,,,,
,8/2/22,Eel Pond,,300,24.94,11/4/22,32.37,7.43,24.767,,30.722,,5.782,1.648,5.5,0.22,,,,
,8/2/22,Eel Pond,,300,24.82,11/4/22,28.745,3.925,13.083,,27.316,,2.496,1.429,4.8,0.36,,,,
,8/3/22,Ptown,,500,25.733,11/4/22,31.252,5.519,11.038,,28.549,H,2.816,2.703,5.4,0.49,,,,
,8/3/22,Ptown,,450,25.286,11/4/22,32.501,7.215,16.033,,30.777,,5.491,1.724,3.8,0.24,,,,
,8/14/22,Ptown,,250,25.176,11/3/22,28.514,3.338,13.352,,27.001,,1.825,1.513,6.1,0.45,,,,
,8/14/22,Ptown,,252,25.358,11/3/22,29.884,4.526,17.960,,27.59,,2.232,2.294,9.1,0.51,,,,
,8/13/22,Chatham,,255,25.038,11/3/22,28.497,3.459,13.565,,27.164,,2.126,1.333,5.2,0.39,filtered seawater 12 hours after sampling - next morning,,,
,8/13/22,Chatham,,245,25.217,11/3/22,28.998,3.781,15.433,,27.48,,2.263,1.518,6.2,0.40,filtered 12 hours after sampling - next morning,,,
,8/15/22,Eel Pond,,250,25.637,11/3/22,27.24,1.603,6.412,,26.548,,0.911,0.692,2.8,0.43,,,,
,8/15/22,Eel Pond,,251,25.404,11/3/22,26.708,1.304,5.195,,26.11,,0.706,0.598,2.4,0.46,,,,
,8/14/22,East Dennis,,251,25.675,11/3/22,27.476,1.801,7.175,,26.564,,0.889,0.912,3.6,0.51,filtered 12 hours after sampling - next morning,,,
,8/14/22,East Dennis,,250,25.51,11/3/22,26.852,1.342,5.368,,26.162,,0.652,0.69,2.8,0.51,filtered 12 hours after sampling - next morning,,,
,8/16/22,Barnstable,,250,25.345,11/3/22,26.56,1.215,4.860,,26.029,,0.684,0.531,2.1,0.44,,,,
,8/16/22,Barnstable,,250,25.024,11/3/22,26.156,1.132,4.528,,25.606,,0.582,0.55,2.2,0.49,,,,
,8/28/22,East Dennis,,400,25.595,11/3/22,27.805,2.21,5.525,,26.583,,0.988,1.222,3.1,0.55,,,,
,8/28/22,East Dennis,,126,25.551,11/3/22,34.791,9.24,73.333,,31.33,,5.779,3.461,27.5,0.37,,,,
,8/29/22,Ptown,,202,25.522,11/3/22,27.043,1.521,7.530,,26.16,,0.638,0.883,4.4,0.58,,,,
,8/29/22,Ptown,,200,25.094,11/3/22,27.335,2.241,11.205,,26.014,,0.92,1.321,6.6,0.59,,,,
,8/30/22,Eel Pond,,200,25.515,11/3/22,28.52,3.005,15.025,,27.239,,1.724,1.281,6.4,0.43,,,,
,8/30/22,Eel Pond,,201,25.539,11/3/22,27.674,2.135,10.622,,26.817,,1.278,0.857,4.3,0.40,,,,
,9/26/22,Eel Pond,,110,25.622,12/1/22,27.529,1.907,17.336,27.393,26.784,Spots,0.609,1.298,11.8,0.68,,,,
,9/26/22,Eel Pond,,110,24.92,,26.349,,,,27.854,,,,,,Gabby,,"AFDW negative number, ",
,10/11/22,Ptown,,249,25.292,11/4/22,27.517,2.225,8.936,,27.341,None,2.049,0.176,0.7,0.08,,,,
,10/11/22,Ptown,,250,25.634,11/4/22,27.988,2.354,9.416,,26.916,None,1.282,1.072,4.3,0.46,,,,
,10/12/22,Eel Pond,,250,24.899,11/4/22,26.36,1.461,5.844,,25.841,None,0.942,0.519,2.1,0.36,,,,
,10/24/22,Eel Pond,,300,25.17,12/1/22,28.08,2.91,9.700,27.948,27.162,M,0.786,2.124,7.1,0.73,,,,
,10/24/22,Eel Pond,,250,25.597,12/1/22,33.463,7.866,31.464,33.161,31.753,None,1.408,6.458,25.8,0.82,,,,
,10/25/22,Ptown,,320,24.996,12/1/22,27.921,2.925,9.141,27.751,26.61,M,1.141,1.784,5.6,0.61,,,,
,10/25/22,Ptown,,320,25.443,12/1/22,29.136,3.693,11.541,28.926,27.65,None,1.276,2.417,7.6,0.65,,,,
,10/26/22,East Dennis,,340,25.448,Gabby,27.233,1.785,5.250,,26.493,,1.045,0.74,2.2,0.41,,,,
,10/26/22,East Dennis,,340,25.014,Gabby,27.961,2.947,8.668,,26.822,,1.808,1.139,3.4,0.39,,,,
,10/27/22,Barnstable,,250,25.131,11/4/22,27.603,2.472,9.888,,27.226,None,2.095,0.377,1.5,0.15,,,,
,10/27/22,Barnstable,,250,25.272,11/4/22,28.048,2.776,11.104,,26.662,None,1.39,1.386,5.5,0.50,,,,
,10/28/22,Cockle cove,,250,25.338,11/4/22,28.367,3.029,12.116,,26.899,None,1.561,1.468,5.9,0.48,,,,
,10/28/22,Cockle cove,,250,25.342,11/4/22,27.75,2.408,9.632,,27.45,None,2.108,0.3,1.2,0.12,,,,
,11/4/22,Ptown,1,210,25.484,11/8/22,27.759,2.275,10.833,,26.195,,0.711,1.564,7.4,0.69,,,,
,11/4/22,Ptown,2,210,25.872,11/8/22,28.974,3.102,14.771,,26.701,,0.829,2.273,10.8,0.73,,,,
,11/5/22,Barnstable,1,200,24.728,11/8/22,25.533,0.805,4.025,,25.036,,0.308,0.497,2.5,0.62,,,,
,11/5/22,Barnstable,2,200,25.115,11/8/22,25.95,0.835,4.175,,25.388,,0.273,0.562,2.8,0.67,,,,
,11/6/22,Eel Pond,1,300,24.693,11/8/22,25.97,1.277,4.257,,25.444,,0.751,0.526,1.8,0.41,,,,
,11/6/22,Eel Pond,2,300,25.290,11/8/22,28.644,3.354,11.180,,25.8,,0.510,2.844,9.5,0.85,,,,
,11/7/22,Dennis,1,200,25.954,11/8/22,26.867,0.913,4.565,,26.325,,0.371,0.542,2.7,0.59,,,,
,11/7/22,Dennis,2,200,25.374,11/8/22,26.283,0.909,4.545,,25.71,,0.336,0.573,2.9,0.63,,,,
,11/8/22,Cockle cove,1,200,25.703,11/8/22,29.659,3.956,19.780,,27.462,,1.759,2.197,11.0,0.56,,,,
,11/8/22,Cockle cove,2,200,25.608,11/8/22,27.701,2.093,10.465,,26.649,,1.041,1.052,5.3,0.50,,,,
,11/28/22,Eel Pond,,,23.758,12/1/22,25.757,1.999,,25.050,24.532,,0.518,1.481,#DIV/0!,0.74,,,,
,11/28/22,Eel Pond,,,25.44,12/1/22,28.234,2.794,,28.061,27.332,,0.729,2.065,#DIV/0!,0.74,,,,
,~11/29/22,Ptown,,,25.172,12/1/22,27.105,1.933,,27.000,26.391,,0.609,1.324,#DIV/0!,0.68,,,,
,~11/29/22,Ptown,,,24.656,12/1/22,27.57,2.914,,27.330,26.383,,0.947,1.967,#DIV/0!,0.68,,,,
,12/3/22,den #2,,,25.218,,-,,,,,,,,,,too bad to weigh,,,
,12/4/22,pro #2,,,24.996,,26.01,1.014,,,,,,,,,foil degraded,,,
,12/7/22,chm 1,,,25.244,,27.675,2.431,,,,,,,,,foil stained,,,
,12/3/22,den 1,,,25.796,,29.542,3.746,,,,,,,,,"filter wide open, not folded",,,
,12/5/22,eel 2,,,24.052,,28.511,4.459,,,,,,,,,filter staticy and also stuck to foil,,,
,12/7/22,chm 2,,,27.047,,25.783,-1.264,,,,,,,,,stained foil,,,
,12/6/22,bar 1,,,24.989,,26.158,1.169,,,,,,,,,,,,
,12/4/22,pro 1,,,25.651,,26.393,0.742,,,,,,,,,filter on foil,,,
,12/6/22,bar 2,,,25.436,,27.979,2.543,,,,,,,,,,,,
,,,,,24.127,,-,,,,,,,,,,too bad to weigh,,,
,1/18/23,Cockle cove,,350,24.477,,29.521,5.044,,,,,,,,,filter stuck to foil and foil stuck to filter,,,
,1/18/23,Cockle cove,,350,25.875,,28.777,2.902,,,,,,,,,,,,
,1/19/23,Barnstable,,450,24.738,,29.96,5.222,,,,,,,,,,,,
,1/19/23,Barnstable,,450,25.279,,30.465,5.186,,,,,,,,,,,,
,1/20/23,Eel Pond,,400,25.440,,28.555,3.115,,,,,,,,,,,,
,1/20/23,Eel Pond,,400,25.024,,27.347,2.323,,,,,,,,,,,,
,1/21/23,Provincetown,,400,25.098,,26.899,1.801,,,,,,,,,,,,
,1/21/23,Provincetown,,400,25.490,,29.034,3.544,,,,,,,,,filter very stuck to foil,,,
,1/22/23,East Dennis,,450,24.899,,28.074,3.175,,,,,,,,,,,,
,1/22/23,East Dennis,,450,25.299,,27.301,2.002,,,,,,,,,,,,
,2/16/23,East Dennis,,400,26.093,,29.393,3.300,,,,,,,,,,,,
,2/16/23,East Dennis,,400,24.816,,26.688,1.872,,,,,,,,,,,,
,2/21/23,Provincetown,,295,26.052,,28.19,2.138,,,,,,,,,,,,
,2/21/23,Provincetown,,360,25.445,,27.151,1.706,,,,,,,,,,,,
,2/22/23,Cockle Cove,,300,24.55,,26.955,2.405,,,,,,,,,,,,
,2/22/23,Cockle Cove,,300,24.334,,26.638,2.304,,,,,,,,,some filter on foil,,,
,2/23/23,Barnstable Harbor,,300,25.67,,28.024,2.354,,,,,,,,,,,,
,2/23/23,Barnstable Harbor,,300,24.846,,26.9,2.054,,,,,,,,,,,,
,2/24/23,Eel Pond,,400,,,,,,,,,,,,,,,,
,2/24/23,Eel Pond,,400,,,,,,,,,,,,,,,,
