Start_date,Site,Treatment,Buried_Dec,Location_code,color 1,color 2,Start_len_mm,Start_thickness_mm,Collection.month,Collection1_date,Elapsed_days,depth_cm,color_collection,Dissection ID label,Label different when collected,Biodeposition label,Start_height_mm,L_mm,H_mm,T_mm,Collection notes,Dead length,Dead_lengths_mm,Len,Height,Thickness,Est. growth by height,Est start height from linear function,Start_height from marking,Growth increment from mark on shell (height),Tin only,Tin + gonad + somatic tissue,Reweigh (if necessary),Ash weight (tin + gonad + somatic tissue),DW,AFDW,Ratio for samples with DW>0.01g,Corrected AFDW using an average of 82%. Used for <20 samples with % organic <.7 which was identified to caused by incomplete (anoxic) muffle furnace issues.,Notes,% gonad,% digestive,Shell weight,Start height function params
9/27/2022,Ptown,N,N,A2,R,,13.83,5.92,December,12/4/2022,68,4+,R,P125,,,10.86,24.10,19.30,11.20,,,,23.9,19.2,11.20,8.44,10.5,11,10.9,1.095,1.247,,1.177,0.152,0.0700,46%,0.1246,,,,,0.8391070866
9/27/2022,Ptown,N,N,A2,Y,,12.84,5.31,December,12/4/2022,68,4+,NO LABEL,P126,no label,,9.74,21.60,17.10,10.00,,,,21.5,17.1,10.00,7.36,9.6,9.7,9.3,1.104,1.219,,1.152,0.115,0.0670,58%,0.0943,Most likely Y (2nd of color series) given start height,,,,1.388938074
9/27/2022,Ptown,N,N,A2,B,,11.78,5.25,December,12/4/2022,68,,,,,,9.45,,,,,,,,,,,9.3,,,,,,,,,,,,,,,
9/27/2022,Ptown,N,N,A2,L,,11.25,4.55,December,12/4/2022,68,,,,,,8.13,,,,,,,,,,,8.2,,,,,,,,,,,,,,,
9/27/2022,Ptown,N,N,A2,R,Y,10.27,4.61,December,12/4/2022,68,,,,,,8.11,,,,,,,,,,,8.2,,,,,,,,,,,,,,,
9/27/2022,Ptown,N,N,A2,R,B,9.95,4.13,December,12/4/2022,68,,,,,,7.61,,,,,,,,,,,7.8,,,,,,,,,,,,,,,
9/27/2022,Ptown,N,N,A2,R,L,10.11,4.46,December,12/4/2022,68,,,,,,7.9,,,,,,,,,,,8.0,,,,,,,,,,,,,,,
9/27/2022,Ptown,N,N,A2,Y,B,9.67,4.16,December,12/4/2022,68,,,,,,7.51,,,,,,,,,,,7.7,,,,,,,,,,,,,,,
9/27/2022,Ptown,N,N,A2,B,L,8.94,3.91,December,12/4/2022,68,,,,,,7.11,,,,,,,,,,,7.4,,,,,,,,,,,,,,,
9/27/2022,Ptown,N,,A3,R,,13.44,5.68,April,4/17/2023,202,S,,P51,,3,10.63,,,,,,,37.5,29.6,,,10.3,10.85,23.5,1.0825,1.8095,,1.1933,0.727,0.6162,85%,0.6162,,,,,
9/27/2022,Ptown,N,,A3,Y,,12.54,5.01,April,4/17/2023,202,Deep,,P.1,,,9.29,,,,,,,41.03,31.74,18.5,,9.2,9.77,27.2,0.9892,1.9618,,1.1501,0.9726,0.8117,83%,0.8117,,,,,
9/27/2022,Ptown,N,,A3,B,,11.81,5.02,April,4/17/2023,202,Deep,,P.2,,,9.32,,,,,,,37.8,29.4,16.23,,9.2,9.3,24.3,1.0012,1.7844,,1.1089,0.7832,0.6755,86%,0.6755,,,,,
9/27/2022,Ptown,N,,A3,L,,11.11,4.62,April,4/17/2023,202,S,,P52,,4,8.64,,,,,,,37,28,,,8.6,8.49,23.95,1.0873,1.8362,,1.2026,0.7489,0.6336,85%,0.6336,,,,,
9/27/2022,Ptown,N,,A3,R,Y,10.46,4.44,April,4/17/2023,202,S,,P.28,NL,,8.12,,,,,,,34.3,26.4,15.9,,8.2,8.26,22.18,1.0672,1.6413,,1.1493,0.5741,0.4920,86%,0.4920,,,,,
9/27/2022,Ptown,N,,A3,R,B,9.9,3.93,April,4/17/2023,202,,,,A - RY,Used as blank,7.37,,,,,,,34.2,26.9,,,7.6,8.04,22.7,0.9998,2.615,,1.1729,,,,,DW is 3X the others collected this month. There must be a mix up. This dissection data must be included in the wrong row. ,,,,
9/27/2022,Ptown,N,,A3,R,L,9.92,4.13,April,4/17/2023,202,Deep,,P.3,NL,,7.56,,,,,,,32,25.4,15,,7.7,7.8,21.7,1.0114,1.5375,,1.0831,0.5261,0.4544,86%,0.4544,,,,,
9/27/2022,Ptown,N,,A3,Y,B,9.81,4.33,April,4/17/2023,202,Deep,,P.4,,,7.56,,,,,,,35.99,27.4,15.7,,7.7,7.51,23.6,0.9906,1.6323,,1.0791,0.6417,0.5532,86%,0.5532,,,,,
9/27/2022,Ptown,N,,A3,B,L,8.87,3.57,April,4/17/2023,202,,,,,,6.71,,,,,,,,,,,7.0,,,,,,,,,,,,,,,
9/27/2022,Ptown,N,,A4,R,,14.36,5.86,June,6/11/2023,257,,,,Y,GTT-5,10.95,45.76,36.06,21.26,,,,45.76,36.06,21.26,,10.6,10.09,32.21,1.075,2.4026,,1.3064,1.3275,1.0962,83%,1.0962,,,,10.7142,
9/27/2022,Ptown,N,,A4,Y,,11.99,5.16,June,6/11/2023,257,,,,Y,,9.6,23.33,18.40,9.24,,,23.33,23.33,18.40,9.24,,9.4,11.16,8.68,,,,,,,,,,,,,
9/27/2022,Ptown,N,,A4,B,,11.44,5.2,June,6/11/2023,257,,,,NL,2,9.17,46.47,38.50,21.98,,,,46.47,38.50,21.98,,9.1,9.12,34.48,1.074,2.5355,,1.2698,1.4614,1.2657,87%,1.2657,,,,11.5115,
9/27/2022,Ptown,N,,A4,L,,11.94,4.91,June,6/11/2023,257,Deep?,,P3,NL,,9.45,48.88,38.13,23.00,,,,48.88,38.13,23.00,,9.3,9.59,34.36,1.068,2.7159,,1.3308,1.6480,1.3851,84%,1.3851,,,,11.7304,
9/27/2022,Ptown,N,,A4,R,Y,10.58,4.65,June,6/11/2023,257,Shallow?,,P1,RY,,8.3,43.89,35.72,22.65,,,,43.89,35.72,22.65,,8.4,8.29,32.34,1.055,2.3096,,1.2707,1.2548,1.0389,83%,1.0389,,,,10.9723,
