"","Collection.month","as.factor(Location_code)","Site","Li","Lf","Elapsed_days","Start_date","End_date"
"1","Dec","A2","Ptown",13.3,13.3,68,2022-09-27,2022-12-04
"2","Dec","A2","Eel Pond",11.4,11.4,70,2022-09-26,2022-12-05
"3","Dec","B1","Eel Pond",10.5,10.5,70,2022-09-26,2022-12-05
"4","Dec","B3","Ptown",11,11.8,68,2022-09-27,2022-12-04
"5","Dec","C2","Eel Pond",15.6,15.6,70,2022-09-26,2022-12-05
"6","Dec","D2","Ptown",11.2,11.2,68,2022-09-27,2022-12-04
"7","Dec","E2","Ptown",11.1,11.1,68,2022-09-27,2022-12-04
"8","Dec","E2","Eel Pond",11.8,11.8,70,2022-09-26,2022-12-05
"9","Dec","F1","Eel Pond",15.1,15.1,70,2022-09-26,2022-12-05
"10","Dec","F3","Ptown",11.4,11.4,68,2022-09-27,2022-12-04
"11","Dec","G2","Ptown",11.4,11.4,68,2022-09-27,2022-12-04
"12","Dec","G2","Eel Pond",11.8,11.8,70,2022-09-26,2022-12-05
"13","Dec","H2","Ptown",11.2,11.2,68,2022-09-27,2022-12-04
"14","Dec","H2","Eel Pond",11.5,11.5,70,2022-09-26,2022-12-05
"15","Dec","I3","Eel Pond",11.6,11.6,70,2022-09-26,2022-12-05
"16","Dec","I4","Ptown",11,11,68,2022-09-27,2022-12-04
"17","Dec","J3","Eel Pond",11.2,11.2,70,2022-09-26,2022-12-05
"18","Apr","A3","Ptown",11.3,25.2,202,2022-09-27,2023-04-17
"19","Apr","B2","Ptown",11.1,26.1,202,2022-09-27,2023-04-17
"20","Apr","C1","Eel Pond",11,22.3,205,2022-09-26,2023-04-19
"21","Apr","C2","Ptown",10.7,25,202,2022-09-27,2023-04-17
"22","Apr","D3","Ptown",10.6,26.1,202,2022-09-27,2023-04-17
"23","Apr","D4","Eel Pond",11.3,18,205,2022-09-26,2023-04-19
"24","Apr","E3","Eel Pond",8.9,18,205,2022-09-26,2023-04-19
"25","Apr","E4","Ptown",10.5,22.5,202,2022-09-27,2023-04-17
"26","Apr","F1","Ptown",11.6,26.4,202,2022-09-27,2023-04-17
"27","Apr","F2","Eel Pond",12,17.4,205,2022-09-26,2023-04-19
"28","Apr","G3","Ptown",11.4,26.6,202,2022-09-27,2023-04-17
"29","Apr","G4","Eel Pond",13.9,15.7,205,2022-09-26,2023-04-19
"30","Apr","H4","Ptown",11.6,25.3,202,2022-09-27,2023-04-17
"31","Apr","H4","Eel Pond",10.9,15.4,205,2022-09-26,2023-04-19
"32","Apr","I3","Ptown",11,28.2,202,2022-09-27,2023-04-17
"33","Apr","J1","Eel Pond",13,15.7,205,2022-09-26,2023-04-19
"34","Apr","J2","Ptown",11.6,24.1,202,2022-09-27,2023-04-17
"35","Apr","J2","Eel Pond",12.1,17.4,205,2022-09-26,2023-04-19
"36","Jun","A4","Ptown",11,34.7,257,2022-09-27,2023-06-11
"37","Jun","A4","Eel Pond",15,25.3,256,2022-09-26,2023-06-09
"38","Jun","B1","Ptown",11.1,36.5,257,2022-09-27,2023-06-11
"39","Jun","B3","Eel Pond",11.2,20.7,256,2022-09-26,2023-06-09
"40","Jun","C1","Ptown",13.2,34.6,257,2022-09-27,2023-06-11
"41","Jun","C1","Eel Pond",11.7,28.3,256,2022-09-26,2023-06-09
"42","Jun","D4","Ptown",9.9,36.8,257,2022-09-27,2023-06-11
"43","Jun","E3","Ptown",10.5,35,257,2022-09-27,2023-06-11
"44","Jun","F2","Ptown",11.5,34.1,257,2022-09-27,2023-06-11
"45","Jun","G4","Ptown",11.5,36.9,257,2022-09-27,2023-06-11
"46","Jun","H3","Ptown",10.8,35.6,257,2022-09-27,2023-06-11
"47","Jun","I2","Ptown",11.2,32.9,257,2022-09-27,2023-06-11
"48","Jun","J1","Ptown",11.4,32.4,257,2022-09-27,2023-06-11
