Start_date,Site,Treatment,Mesocosm (1-24),Location_code,ID (1-9),Color,,Start_len_mm,Start_height_mm,Start_thickness_mm,Start_note,Collection month,Collection_date,Elapsed_days,Transcriptomics sampling,depth_cm,AliveOrDead,Dead_lengths_mm,L_mm_extra,H_mm_extra,T_mm,Transcript_indiv,Collection_Notes,Additional notes,Dissection ID label,Color 1,Color 2,Len,Height,Start_height from marking,Growth increment from mark_height,Tin only,Tin + gonad + somatic tissue,Reweight total weight on different scale,Ash weight + tin,DW_g,Ash_wt_g,AFDW_g,Org_inorg_ratio,Incomplete ashing,notes,,
6/17/2022,Eel_Pond,N,1,A1,1,R,,18,13.99,7.53,,September,9/11/2022,86,,4-6,D,23.7,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,1,A1,2,Y,,17.64,13.68,7.8,,September,9/11/2022,86,,4-6,D,23.01,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,1,A1,3,B,,16.12,11.99,6.64,,September,9/11/2022,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,1,A1,4,L,,19.62,14.7,8.68,,September,9/11/2022,86,,2-4,D,25.32,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,1,A1,5,R,Y,19.33,14.64,8.05,,September,9/11/2022,86,,4-6,D,24.22,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,1,A1,6,R,B,20.39,15.93,9.15,,September,9/11/2022,86,,4-6,D,25.79,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,1,A1,7,R,L,20.95,16.52,9.11,,September,9/11/2022,86,,2-4,D,32.91,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,1,A1,8,Y,B,18.99,14.44,8.19,,August,8/2/2022,46,T,0-2,L,,31.3,24,15.6,T,dead length marked but it says this one was used for transcriptomics.,,,Y,B,31.3,24,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,1,A1,9,B,L,25.03,19.35,11.03,,September,9/11/2022,86,,2-4,D,29.08,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,2,A2,1,R,,20.44,16.7,9.49,,July,6/30/2022,13,,0-2,L,,24.26,19.9,11.36,,,,E201,R,,24.2,19.9,16.8,4.7,1.095,1.241,,1.1231,0.146,0.0281,0.1179,80.75%,,,,
